split_seed,case,population,kind,support_rows,all_rows,support_counties,raw_label_rmse,clipped_label_rmse,raw_P_contribution_rmse,clipped_P_contribution_rmse,clipped_low,clipped_high
42,F0,all,a,26598,34177,186,0.33232337073009444,0.33231629676678925,0.009442725066698616,0.009442611149386116,260,1
42,F0,all,b,34177,34177,239,0.01592731926183117,0.01591297389559516,0.014835986131308659,0.014822050635848235,13200,0
42,F0,fold0,a,5577,6864,39,0.3034387406693761,0.30343545354342694,0.010218536055311632,0.010218533293518118,63,0
42,F0,fold0,b,6864,6864,48,0.005843277179030194,0.005807574625591054,0.005627599082277458,0.005596389434074078,2913,0
42,F0,fold1,a,5720,6721,40,0.3997815867956821,0.3997780062509283,0.008900210824870079,0.008900207978989366,67,0
42,F0,fold1,b,6721,6721,47,0.011630357024031644,0.011624931494881464,0.011411764278620128,0.011406623929115308,2820,0
42,F0,fold2,a,5291,6864,37,0.3324917797510906,0.3324694069213169,0.009450343511429945,0.009450334948683508,40,0
42,F0,fold2,b,6864,6864,48,0.018665440659437562,0.01866104193005693,0.0184473721242084,0.018443312623995588,2149,0
42,F0,fold3,a,5148,6864,36,0.33377367506204036,0.33377084429079623,0.008552600892987088,0.008551993695624757,7,1
42,F0,fold3,b,6864,6864,48,0.02475591292195772,0.024737777533808854,0.02152299462495997,0.021504463095463652,2643,0
42,F0,fold4,a,4862,6864,34,0.2688059907947546,0.2688025052748784,0.009976460205616171,0.009976457285657249,83,0
42,F0,fold4,b,6864,6864,48,0.011630457324097948,0.01160148849425366,0.011541962151240308,0.011513959938038243,2675,0
42,F2,all,a,26598,34177,186,0.33241624355683114,0.3323970349988599,0.009190706559384606,0.0091899058067544,1089,4
42,F2,all,b,34177,34177,239,0.015844429931034812,0.015821771816034433,0.014737752609687751,0.01471576505731915,13829,0
42,F2,fold0,a,5577,6864,39,0.3082680252936494,0.30823141980077,0.010326836314658534,0.010326721658791994,661,0
42,F2,fold0,b,6864,6864,48,0.005988897170112646,0.005921508093334533,0.005709341274402485,0.005646250673443305,2917,0
42,F2,fold1,a,5720,6721,40,0.4051030373244579,0.4051030296743002,0.008422237112905658,0.008422237112882838,9,0
42,F2,fold1,b,6721,6721,47,0.011116664963397757,0.011102044156155483,0.010935012052482537,0.010921702490720919,3110,0
42,F2,fold2,a,5291,6864,37,0.32462035378558185,0.32455919439501446,0.008162637275043823,0.008162105751950905,337,2
42,F2,fold2,b,6864,6864,48,0.018555199816047096,0.018538871877617463,0.018333306215270687,0.018318218519253665,2251,0
42,F2,fold3,a,5148,6864,36,0.3292471974214029,0.3292467316880445,0.009044299489063495,0.009040859062245249,0,2
42,F2,fold3,b,6864,6864,48,0.02489400454413393,0.024872304665282067,0.021639997045617355,0.021618223341965642,2844,0
42,F2,fold4,a,4862,6864,34,0.27013578509963204,0.27013497936003794,0.009800909608821436,0.009800908624607566,82,0
42,F2,fold4,b,6864,6864,48,0.011363108363737827,0.011329342822061536,0.011287258818757565,0.01125494568551363,2707,0
20260917,F0,all,a,26598,34177,186,0.33009246447664825,0.3300838708219729,0.008994603951967472,0.008994578661854982,582,3
20260917,F0,all,b,34177,34177,239,0.016275674915713443,0.016257543761037614,0.015199698900215487,0.015181798536727822,12238,0
20260917,F0,fold0,a,5720,6864,40,0.30749743313429484,0.30749721984326334,0.008257134350736038,0.008257132899359901,4,0
20260917,F0,fold0,b,6864,6864,48,0.01481122063090347,0.014763721102881773,0.014506163782191214,0.01445889514322959,2760,0
20260917,F0,fold1,a,4719,6864,33,0.32161063158052117,0.3216103768774417,0.009224011890985751,0.009224002587558008,10,0
20260917,F0,fold1,b,6864,6864,48,0.00762198019311404,0.007580311617711613,0.007511467178818653,0.007472208347562637,3076,0
