horizon,fipsCode,countyName,improved_splits,worsened_splits,minimum_rmse_change_pct,maximum_rmse_change_pct
osi_target_t01h,39033,Crawford County,2,1,-3.5495854906467117,5.180482350461424
osi_target_t01h,39035,Cuyahoga County,2,1,-1.77774501616359,0.5270558527589841
osi_target_t01h,39037,Darke County,3,0,-3.2491946826217144,-1.6301302686728691
osi_target_t01h,39039,Defiance County,3,0,-4.70873877714032,-0.2266368780901029
osi_target_t01h,39045,Fairfield County,2,1,-2.879719681544246,1.3494609802432445
osi_target_t01h,39049,Franklin County,3,0,-16.025605354034333,-8.600669590557143
osi_target_t01h,39051,Fulton County,2,1,-5.4794615172895185,1.6256839761957353
osi_target_t01h,39053,Gallia County,2,1,-0.5889944517162515,0.04479985843472978
osi_target_t01h,39055,Geauga County,0,3,4.314278903375501,9.327511801262855
osi_target_t01h,39059,Guernsey County,2,1,-4.3254453133778075,2.540337549448224
osi_target_t01h,39061,Hamilton County,1,2,-0.468993966515574,16.936424567770224
osi_target_t01h,39063,Hancock County,3,0,-7.589861992544044,-1.8820223299705452
osi_target_t01h,39065,Hardin County,2,1,-6.032550466177655,2.1079322258362954
osi_target_t01h,39069,Henry County,2,1,-3.12075245003659,0.5305322688072822
osi_target_t01h,39073,Hocking County,3,0,-4.984255679097682,-0.2658394368038275
osi_target_t01h,39075,Holmes County,2,1,-4.8865133879691385,16.275011894885203
osi_target_t01h,39077,Huron County,3,0,-16.766719684427212,-14.314114325348315
osi_target_t01h,39081,Jefferson County,2,1,-9.523222018534094,3.1134911017941747
osi_target_t01h,39085,Lake County,2,1,-10.584872651598488,0.7975320400173347
osi_target_t01h,39087,Lawrence County,2,1,-0.8414036254936308,0.15170650090734483
osi_target_t01h,39089,Licking County,3,0,-9.806663126702176,-6.767589486087788
osi_target_t01h,39091,Logan County,3,0,-7.571207332954999,-3.3202420543264832
osi_target_t01h,39093,Lorain County,0,3,0.8335348690611921,5.374352102541158
osi_target_t01h,39095,Lucas County,0,3,0.5795563484616739,8.78105639830984
osi_target_t01h,39097,Madison County,0,3,4.0858627941755765,10.126666917530258
osi_target_t01h,39099,Mahoning County,2,1,-2.8551884454678156,1.2931350868851332
osi_target_t01h,39101,Marion County,1,2,-3.0992847960847003,4.994768242660275
osi_target_t01h,39103,Medina County,2,1,-4.601844324369553,0.8122338652243322
osi_target_t01h,39105,Meigs County,3,0,-0.7314508389085428,-0.3191410108587922
osi_target_t01h,39107,Mercer County,3,0,-5.656041795569877,-4.071329054345496
osi_target_t01h,39109,Miami County,3,0,-5.826619597799909,-3.0314208352755667
osi_target_t01h,39111,Monroe County,2,1,-1.3505088450900704,1.3846925453067094
osi_target_t01h,39113,Montgomery County,1,2,-0.058704687398447586,1.432072311272825
osi_target_t01h,39115,Morgan County,2,1,-0.03279494406239758,0.021535619592372157
osi_target_t01h,39117,Morrow County,3,0,-19.74046752253914,-4.956186438167998
osi_target_t01h,39119,Muskingum County,1,2,-0.48508834004008516,1.944016805509019
osi_target_t01h,39121,Noble County,1,2,-3.3134398936072507,6.134317293279068
osi_target_t01h,39123,Ottawa County,3,0,-8.240261208128386,-2.8575341343419325
osi_target_t01h,39125,Paulding County,3,0,-5.861193268736953,-4.7093746305372886
osi_target_t01h,39127,Perry County,2,1,-3.996364769664562,0.9397233019801554
osi_target_t01h,39129,Pickaway County,2,1,-6.220556259055954,2.537259743316045
osi_target_t01h,39131,Pike County,2,1,-0.6063362236765957,0.5474809242582923
osi_target_t01h,39133,Portage County,0,3,0.43158703994379266,1.8358486154495424
osi_target_t01h,39135,Preble County,0,3,0.27631447985212443,0.924887048526446
osi_target_t01h,39137,Putnam County,0,3,0.13238478409769439,3.5613848768026646
osi_target_t01h,39139,Richland County,3,0,-9.328949621381321,-8.338089043037256
osi_target_t01h,39141,Ross County,3,0,-7.443027746052177,-4.000059134083466
osi_target_t01h,39143,Sandusky County,3,0,-12.965119652880508,-6.444956420309511
osi_target_t01h,39145,Scioto County,2,1,-3.9506311373665337,1.0795515551997426
osi_target_t01h,39147,Seneca County,0,3,0.7907481687203788,2.0604041429307385
osi_target_t01h,39149,Shelby County,1,2,-0.08470780330122052,1.6396782930125253
osi_target_t01h,39151,Stark County,3,0,-15.781094907531834,-2.847804693181333
osi_target_t01h,39153,Summit County,1,2,-0.7584297186310818,2.8359380130474676
osi_target_t01h,39155,Trumbull County,2,1,-1.2073442894676378,2.205262679004094
osi_target_t01h,39157,Tuscarawas County,1,2,-0.5840667264863653,2.2492270996031793
osi_target_t01h,39159,Union County,0,3,5.3096105970151575,13.88577100639945
osi_target_t01h,39161,Van Wert County,2,1,-14.705323860011699,4.597034746408024
osi_target_t01h,39163,Vinton County,3,0,-6.042788934279897,-0.26313478130737256
osi_target_t01h,39165,Warren County,2,1,-3.2073697651511357,1.136671795435551
osi_target_t01h,39167,Washington County,1,2,-0.9515773826525908,0.5673224909355845
osi_target_t01h,39169,Wayne County,2,1,-2.7608981602276983,5.313535544403014
osi_target_t01h,39171,Williams County,2,1,-2.4208863023159055,0.16230800990166827
osi_target_t01h,39173,Wood County,3,0,-11.077133877420831,-6.323789038176775
osi_target_t01h,39175,Wyandot County,0,3,3.322323038139774,7.269422258122971
osi_target_t01h,42005,Armstrong County,3,0,-7.12563190597667,-0.5708173890763835
osi_target_t01h,42007,Beaver County,0,3,0.4753017256818648,7.073033350890712
osi_target_t01h,42009,Bedford County,2,1,-9.250550769855748,11.638390887248873
osi_target_t01h,42013,Blair County,0,3,0.7408750741136227,5.558976526879622
osi_target_t01h,42015,Bradford County,2,1,-4.286855047754989,2.0864864958317186
osi_target_t01h,42019,Butler County,2,1,-6.565429162590453,9.178261883049155
osi_target_t01h,42021,Cambria County,1,2,-0.909345601486089,1.2100561250884434
osi_target_t01h,42023,Cameron County,1,2,-4.926250960258938,2.4677253821517198
osi_target_t01h,42025,Carbon County,0,3,0.19964025008814001,8.823130604521934
osi_target_t01h,42027,Centre County,2,1,-15.509878082544748,3.39844216609404
osi_target_t01h,42029,Chester County,1,2,-0.4790242381745191,0.9964705119394512
osi_target_t01h,42031,Clarion County,3,0,-11.14216792504601,-7.529444230727112
osi_target_t01h,42033,Clearfield County,0,3,8.050857615486983,13.234008387448238
osi_target_t01h,42035,Clinton County,1,2,-2.1152823832508605,2.834612195364783
osi_target_t01h,42039,Crawford County,3,0,-10.694184602008905,-7.36668093374594
osi_target_t01h,42041,Cumberland County,2,1,-1.4211884585272117,0.15970909446343384
osi_target_t01h,42043,Dauphin County,2,1,-9.332911502908603,1.1112478038822982
osi_target_t01h,42045,Delaware County,1,2,-1.8997604682324032,1.7321952390972895
osi_target_t01h,42047,Elk County,3,0,-1.2594067885410953,-0.22082185944498622
osi_target_t01h,42049,Erie County,2,1,-3.012930202225017,2.542100738828035
osi_target_t01h,42051,Fayette County,2,1,-1.5277710482058837,2.121552645344904
osi_target_t01h,42053,Forest County,2,1,-1.1558245631999586,0.2956750759679272
osi_target_t01h,42055,Franklin County,3,0,-7.67719239961796,-1.5940575493653353
osi_target_t01h,42057,Fulton County,3,0,-4.884220147279139,-0.04098839763002626
osi_target_t01h,42059,Greene County,2,1,-0.23223319234195738,0.2910732660346804
osi_target_t01h,42061,Huntingdon County,1,2,-1.9373682841985373,1.8178957096660397
osi_target_t01h,42063,Indiana County,3,0,-4.6511176538167165,-0.13076519102874773
osi_target_t01h,42065,Jefferson County,0,3,13.42405606081285,19.0233554130129
osi_target_t01h,42067,Juniata County,3,0,-5.738429787654042,-2.9817813738207466
osi_target_t01h,42069,Lackawanna County,1,2,-1.3806286685119185,11.244233409558536
osi_target_t01h,42075,Lebanon County,1,2,-0.39731552635065004,0.47597668340804145
osi_target_t01h,42077,Lehigh County,2,1,-3.552039845360355,0.3422729213034881
osi_target_t01h,42079,Luzerne County,2,1,-7.611304666083651,2.084509725758199
osi_target_t01h,42081,Lycoming County,2,1,-5.192077577156584,2.194309104155767
osi_target_t01h,42083,McKean County,0,3,17.826308724107843,23.91754265028967
osi_target_t01h,42085,Mercer County,0,3,2.7545228715062153,6.847668401957696
osi_target_t01h,42089,Monroe County,2,1,-0.6352343515132919,0.1582957788634376
osi_target_t01h,42091,Montgomery County,0,3,0.4485246566203749,4.108769428823256
osi_target_t01h,42095,Northampton County,3,0,-4.212562954568455,-0.553784285175829
osi_target_t01h,42097,Northumberland County,0,3,0.43214059408980265,2.1244108363838388
osi_target_t01h,42101,Philadelphia County,1,2,-3.3224633218255417,1.0992480892932255
osi_target_t01h,42103,Pike County,2,1,-5.076646265367257,1.5193344200401082
osi_target_t01h,42109,Snyder County,1,2,-0.2616691952391559,0.6819791128940045
osi_target_t01h,42113,Sullivan County,2,1,-4.62915937420979,2.8442767657680834
osi_target_t01h,42115,Susquehanna County,3,0,-2.1388446816268836,-0.7703655792478004
osi_target_t01h,42119,Union County,1,2,-5.185296435527786,2.37933997990738
osi_target_t01h,42121,Venango County,3,0,-7.8788425678736225,-4.610652840631923
osi_target_t01h,42125,Washington County,3,0,-9.001971470295778,-6.678836351071416
osi_target_t01h,42127,Wayne County,3,0,-6.790973998340211,-0.1613394793971934
osi_target_t01h,42129,Westmoreland County,3,0,-5.060921959864039,-1.1724206068487564
osi_target_t01h,42131,Wyoming County,0,3,0.23300941918726892,1.4121388275050828
osi_target_t01h,42133,York County,2,1,-1.8843952301061062,3.8971925535472574
osi_target_t01h,54007,Braxton County,2,1,-0.3579396424697845,0.3137515217687348
osi_target_t01h,54009,Brooke County,0,3,2.59406093600687,8.992728986252164
