outer_fold,kind,target,inner_fold,best_iteration,refit_rounds,actual_trees,training_rows,training_counties,validation_rows,weight_mean,row_weight_ess,model_id
0,direct,P_direct_l2_t01h,1,188,230,230,20592,144,6721,1.0,20592.0,afe3a5339c38ebb4955806ca19c70757cbb1777aed092f0c75a192dffea65056
0,direct,P_direct_l2_t01h,2,187,230,230,20449,143,6864,1.0,20449.0,afe3a5339c38ebb4955806ca19c70757cbb1777aed092f0c75a192dffea65056
0,direct,P_direct_l2_t01h,3,130,230,230,20449,143,6864,1.0,20449.0,afe3a5339c38ebb4955806ca19c70757cbb1777aed092f0c75a192dffea65056
0,direct,P_direct_l2_t01h,4,417,230,230,20449,143,6864,1.0,20449.0,afe3a5339c38ebb4955806ca19c70757cbb1777aed092f0c75a192dffea65056
0,a,P_anchor_a_t01h,1,60,117,117,15301,107,5720,0.016786386534640076,778.2271372758061,f8f83d6d895e7154aa2af010d7a80d8e3cdaa541de942b9d0b7159532f29a157
0,a,P_anchor_a_t01h,2,247,117,117,15730,110,5291,0.015900277550404,760.218408421251,f8f83d6d895e7154aa2af010d7a80d8e3cdaa541de942b9d0b7159532f29a157
0,a,P_anchor_a_t01h,3,97,117,117,15873,111,5148,0.015428857447791924,778.5049647893017,f8f83d6d895e7154aa2af010d7a80d8e3cdaa541de942b9d0b7159532f29a157
0,a,P_anchor_a_t01h,4,66,117,117,16159,113,4862,0.010857478494929452,1510.0733136440367,f8f83d6d895e7154aa2af010d7a80d8e3cdaa541de942b9d0b7159532f29a157
0,b,P_excess_b_t01h,1,158,191,191,20592,144,6721,0.9228526686056006,20050.082294328626,81a9d67739f077aee9c1015ae26d01204b6fb2a4767d28a92700fbaa9de11ef8
0,b,P_excess_b_t01h,2,313,191,191,20449,143,6864,0.9217062437520591,19920.98648945369,81a9d67739f077aee9c1015ae26d01204b6fb2a4767d28a92700fbaa9de11ef8
0,b,P_excess_b_t01h,3,195,191,191,20449,143,6864,0.9204651599909434,19922.83189464363,81a9d67739f077aee9c1015ae26d01204b6fb2a4767d28a92700fbaa9de11ef8
0,b,P_excess_b_t01h,4,98,191,191,20449,143,6864,0.9243763103631262,20002.429142041503,81a9d67739f077aee9c1015ae26d01204b6fb2a4767d28a92700fbaa9de11ef8
1,direct,P_direct_l2_t01h,0,223,169,169,20592,144,6864,1.0,20592.0,0caabb250462c0a8cd084198258b0c62f3a28dc6714dbebe132de3a0812ed18b
1,direct,P_direct_l2_t01h,2,244,169,169,20592,144,6864,1.0,20592.0,0caabb250462c0a8cd084198258b0c62f3a28dc6714dbebe132de3a0812ed18b
1,direct,P_direct_l2_t01h,3,100,169,169,20592,144,6864,1.0,20592.0,0caabb250462c0a8cd084198258b0c62f3a28dc6714dbebe132de3a0812ed18b
1,direct,P_direct_l2_t01h,4,112,169,169,20592,144,6864,1.0,20592.0,0caabb250462c0a8cd084198258b0c62f3a28dc6714dbebe132de3a0812ed18b
1,a,P_anchor_a_t01h,0,225,138,138,15301,107,5577,0.016786386534640076,778.2271372758061,e19d79b7833ea3ee2411959c2ff74fde3bff31377a84c20fdace847384fb0c7b
1,a,P_anchor_a_t01h,2,175,138,138,15587,109,5291,0.01719661854779065,839.7699597351784,e19d79b7833ea3ee2411959c2ff74fde3bff31377a84c20fdace847384fb0c7b
1,a,P_anchor_a_t01h,3,69,138,138,15730,110,5148,0.016709127889724035,860.1812718355434,e19d79b7833ea3ee2411959c2ff74fde3bff31377a84c20fdace847384fb0c7b
