horizon,model,counties,replicates,rmse_delta,rmse_ci_low,rmse_ci_high,rmse_probability_improved,mae_delta,mae_ci_low,mae_ci_high,mae_probability_improved
osi_target_t01h,tail_protected,239,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
osi_target_t06h,tail_protected,239,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
osi_target_t24h,tail_protected,239,2000,-0.0001638509930272907,-0.0002573670542538933,-8.89674474361083e-05,1.0,-0.00034824097193850373,-0.00041882413291579023,-0.0002774777166909965,1.0
osi_target_t48h,tail_protected,239,2000,-4.3057045015048104e-05,-9.456255353215342e-05,-5.370126821539323e-06,0.9895,-0.00025769123180278096,-0.00031904171205232124,-0.0002019063911348422,1.0
