cv_seed,pair,candidate,reference,horizon,n,rmse,mae,sse,sae,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
20260918,I3_minus_I1,I3,I1,1,34177,0.01055449106533266,0.003229156298840456,3.8072248948900858,110.36287482547026,-5.968048855843743e-05,0.01055449106533266,0.0,0.0,0.0
20260918,I3_minus_I1,I3,I1,6,32982,0.00954921332229313,0.0030963344331429855,3.0075453029124564,102.12330227392195,-4.027044658716905e-05,0.00954921332229313,0.0,0.0,0.0
20260918,I3_minus_I1,I3,I1,24,28680,0.007942174103312357,0.002679105817416192,1.8090807536964937,76.83675484349638,-0.00013078154641495748,0.008030970870658143,-8.879676734578623e-05,-1.1056791112294184,0.04067866913881968
20260918,I3_minus_I1,I3,I1,48,22944,0.007313159737981613,0.002156003913490247,1.2270980140246306,49.46735379112023,-0.0001396090652224994,0.007313159737981613,0.0,0.0,0.0
20260918,I3_minus_I2,I3,I2,1,34177,0.01055449106533266,0.003229156298840456,3.8072248948900858,110.36287482547026,-5.968048855843743e-05,0.01055449106533266,0.0,0.0,0.0
20260918,I3_minus_I2,I3,I2,6,32982,0.00954921332229313,0.0030963344331429855,3.0075453029124564,102.12330227392195,-4.027044658716905e-05,0.00954921332229313,0.0,0.0,0.0
20260918,I3_minus_I2,I3,I2,24,28680,0.007942174103312357,0.002679105817416192,1.8090807536964937,76.83675484349638,-0.00013078154641495748,0.007918134856272884,2.4039247039472217e-05,0.30359734300846597,-0.0109348203075883
20260918,I3_minus_I2,I3,I2,48,22944,0.007313159737981613,0.002156003913490247,1.2270980140246306,49.46735379112023,-0.0001396090652224994,0.007313159737981613,0.0,0.0,0.0
20260918,I2_minus_I1,I2,I1,1,34177,0.01055449106533266,0.003229156298840456,3.8072248948900858,110.36287482547026,-5.968048855843743e-05,0.01055449106533266,0.0,0.0,0.0
20260918,I2_minus_I1,I2,I1,6,32982,0.00954921332229313,0.0030963344331429855,3.0075453029124564,102.12330227392195,-4.027044658716905e-05,0.00954921332229313,0.0,0.0,0.0
20260918,I2_minus_I1,I2,I1,24,28680,0.007918134856272884,0.00263796584027466,1.7981459333889054,75.65686029907725,-0.00015679471340414498,0.008030970870658143,-0.00011283601438525845,-1.405010878541657,0.05161348944640798
20260918,I2_minus_I1,I2,I1,48,22944,0.007313159737981613,0.002156003913490247,1.2270980140246306,49.46735379112023,-0.0001396090652224994,0.007313159737981613,0.0,0.0,0.0
20260918,I1_minus_B0,I1,B0,1,34177,0.01055449106533266,0.003229156298840456,3.8072248948900858,110.36287482547026,-5.968048855843743e-05,0.01055449106533266,0.0,0.0,0.0
20260918,I1_minus_B0,I1,B0,6,32982,0.00954921332229313,0.0030963344331429855,3.0075453029124564,102.12330227392195,-4.027044658716905e-05,0.00954921332229313,0.0,0.0,0.0
20260918,I1_minus_B0,I1,B0,24,28680,0.008030970870658143,0.0027950065193870217,1.8497594228353134,80.16078697601978,-1.3201457042298306e-05,0.008030970870658143,0.0,0.0,0.0
20260918,I1_minus_B0,I1,B0,48,22944,0.007313159737981613,0.002156003913490247,1.2270980140246306,49.46735379112023,-0.0001396090652224994,0.007386039443917857,-7.287970593624401e-05,-0.9867224036592126,0.024579294913550598
20260918,I3_minus_B0,I3,B0,1,34177,0.01055449106533266,0.003229156298840456,3.8072248948900858,110.36287482547026,-5.968048855843743e-05,0.01055449106533266,0.0,0.0,0.0
20260918,I3_minus_B0,I3,B0,6,32982,0.00954921332229313,0.0030963344331429855,3.0075453029124564,102.12330227392195,-4.027044658716905e-05,0.00954921332229313,0.0,0.0,0.0
20260918,I3_minus_B0,I3,B0,24,28680,0.007942174103312357,0.002679105817416192,1.8090807536964937,76.83675484349638,-0.00013078154641495748,0.008030970870658143,-8.879676734578623e-05,-1.1056791112294184,0.04067866913881968
20260918,I3_minus_B0,I3,B0,48,22944,0.007313159737981613,0.002156003913490247,1.2270980140246306,49.46735379112023,-0.0001396090652224994,0.007386039443917857,-7.287970593624401e-05,-0.9867224036592126,0.024579294913550598
