cv_seed,pair,candidate,reference,horizon,target_day,n,rmse,mae,sse,sae,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
20260918,I3_minus_I1,I3,I1,1,2026-03-14,5497,0.0194691842354253,0.006152487388519108,2.0836330939567533,33.82022317468954,-0.0004283986595843238,0.0194691842354253,0.0,0.0,0.0
20260918,I3_minus_I1,I3,I1,1,2026-03-15,5736,0.010719143393607489,0.00472218613855312,0.6590666012918367,27.086459690740696,-0.00017488376019428746,0.010719143393607489,0.0,0.0,0.0
20260918,I3_minus_I1,I3,I1,1,2026-03-16,5736,0.00886352223086003,0.004231383391412293,0.45063178306874485,24.271215133140913,0.0002917806653443989,0.00886352223086003,0.0,0.0,0.0
20260918,I3_minus_I1,I3,I1,1,2026-03-17,5736,0.008495589056218732,0.0032088541195165834,0.4139959916520551,18.405987229547122,-0.0001734273707099576,0.008495589056218732,0.0,0.0,0.0
20260918,I3_minus_I1,I3,I1,1,2026-03-18,5736,0.005609964627946924,0.0008198166313660505,0.18052168913541466,4.702468197515666,6.691271237164087e-05,0.005609964627946924,0.0,0.0,0.0
20260918,I3_minus_I1,I3,I1,1,2026-03-19,5736,0.0018379112261636078,0.00036201558574552525,0.019375735785281126,2.076521399836333,4.4570224295826095e-05,0.0018379112261636078,0.0,0.0,0.0
20260918,I3_minus_I1,I3,I1,6,2026-03-14,4302,0.01727585081495408,0.005946222831971463,1.283953501979124,25.580650623141235,-0.0003820100519784573,0.01727585081495408,0.0,0.0,0.0
20260918,I3_minus_I1,I3,I1,6,2026-03-15,5736,0.010719143393607489,0.00472218613855312,0.6590666012918367,27.086459690740696,-0.00017488376019428746,0.010719143393607489,0.0,0.0,0.0
20260918,I3_minus_I1,I3,I1,6,2026-03-16,5736,0.00886352223086003,0.004231383391412293,0.45063178306874485,24.271215133140913,0.0002917806653443989,0.00886352223086003,0.0,0.0,0.0
20260918,I3_minus_I1,I3,I1,6,2026-03-17,5736,0.008495589056218732,0.0032088541195165834,0.4139959916520551,18.405987229547122,-0.0001734273707099576,0.008495589056218732,0.0,0.0,0.0
20260918,I3_minus_I1,I3,I1,6,2026-03-18,5736,0.005609964627946924,0.0008198166313660505,0.18052168913541466,4.702468197515666,6.691271237164087e-05,0.005609964627946924,0.0,0.0,0.0
20260918,I3_minus_I1,I3,I1,6,2026-03-19,5736,0.0018379112261636078,0.00036201558574552525,0.019375735785281126,2.076521399836333,4.4570224295826095e-05,0.0018379112261636078,0.0,0.0,0.0
20260918,I3_minus_I1,I3,I1,24,2026-03-15,5736,0.011227305228501502,0.0049424343025991,0.7230364671324236,28.349803159708436,-0.0003018288276667721,0.011332641102976925,-0.00010533587447542243,-0.929490959064716,0.013630867927483692
20260918,I3_minus_I1,I3,I1,24,2026-03-16,5736,0.009107233457548807,0.004265678687821321,0.47575359837170006,24.467932953343094,2.4447901146737938e-05,0.009239409684687764,-0.00013217622713895642,-1.430570043430468,0.013909743048435619
20260918,I3_minus_I1,I3,I1,24,2026-03-17,5736,0.008482346218913651,0.003161798354304968,0.4127063321574473,18.136075360293297,-0.0002909348452682394,0.00852108864421808,-3.8742425304428424e-05,-0.45466520678336675,0.0037786146940743115
20260918,I3_minus_I1,I3,I1,24,2026-03-18,5736,0.005642567541136617,0.0007207953611900835,0.18262602866527097,4.134482191786319,-6.105559756470126e-05,0.005700985706547104,-5.8418165410487576e-05,-1.024702892052498,0.003801072653324189
20260918,I3_minus_I1,I3,I1,24,2026-03-19,5736,0.0016148676907370466,0.00030482238116548747,0.014958327369651601,1.7484611783652362,-2.4536362721812262e-05,0.001891250968945485,-0.00027638327820843833,-14.613781182226859,0.005558370815501985
20260918,I3_minus_I1,I3,I1,48,2026-03-16,5736,0.00927288199344624,0.004099853352408336,0.4932176489036809,23.51675882941421,-0.00021054149785129105,0.00927288199344624,0.0,0.0,0.0
20260918,I3_minus_I1,I3,I1,48,2026-03-17,5736,0.009416383954402644,0.0033467577979334026,0.5086012929513324,19.197002728945996,-0.00038668555168221483,0.009416383954402644,0.0,0.0,0.0
20260918,I3_minus_I1,I3,I1,48,2026-03-18,5736,0.0057493067220419115,0.0007931056965340136,0.18960077136969117,4.549254275319102,-9.873429878270908e-06,0.0057493067220419115,0.0,0.0,0.0
20260918,I3_minus_I1,I3,I1,48,2026-03-19,5736,0.0024940060921565033,0.00038429880708523815,0.03567830079992609,2.204337957440926,4.866421852177923e-05,0.0024940060921565033,0.0,0.0,0.0
20260918,I3_minus_I2,I3,I2,1,2026-03-14,5497,0.0194691842354253,0.006152487388519108,2.0836330939567533,33.82022317468954,-0.0004283986595843238,0.0194691842354253,0.0,0.0,0.0
20260918,I3_minus_I2,I3,I2,1,2026-03-15,5736,0.010719143393607489,0.00472218613855312,0.6590666012918367,27.086459690740696,-0.00017488376019428746,0.010719143393607489,0.0,0.0,0.0
20260918,I3_minus_I2,I3,I2,1,2026-03-16,5736,0.00886352223086003,0.004231383391412293,0.45063178306874485,24.271215133140913,0.0002917806653443989,0.00886352223086003,0.0,0.0,0.0
20260918,I3_minus_I2,I3,I2,1,2026-03-17,5736,0.008495589056218732,0.0032088541195165834,0.4139959916520551,18.405987229547122,-0.0001734273707099576,0.008495589056218732,0.0,0.0,0.0
20260918,I3_minus_I2,I3,I2,1,2026-03-18,5736,0.005609964627946924,0.0008198166313660505,0.18052168913541466,4.702468197515666,6.691271237164087e-05,0.005609964627946924,0.0,0.0,0.0
20260918,I3_minus_I2,I3,I2,1,2026-03-19,5736,0.0018379112261636078,0.00036201558574552525,0.019375735785281126,2.076521399836333,4.4570224295826095e-05,0.0018379112261636078,0.0,0.0,0.0
20260918,I3_minus_I2,I3,I2,6,2026-03-14,4302,0.01727585081495408,0.005946222831971463,1.283953501979124,25.580650623141235,-0.0003820100519784573,0.01727585081495408,0.0,0.0,0.0
20260918,I3_minus_I2,I3,I2,6,2026-03-15,5736,0.010719143393607489,0.00472218613855312,0.6590666012918367,27.086459690740696,-0.00017488376019428746,0.010719143393607489,0.0,0.0,0.0
20260918,I3_minus_I2,I3,I2,6,2026-03-16,5736,0.00886352223086003,0.004231383391412293,0.45063178306874485,24.271215133140913,0.0002917806653443989,0.00886352223086003,0.0,0.0,0.0
