outer_fold,kind,target,inner_fold,best_iteration,refit_rounds,actual_trees,training_rows,training_counties,validation_rows,weight_mean,row_weight_ess,model_id
0,direct,P_direct_l2_t01h,1,133,142,142,20592,144,6721,1.0,20592.0,f50ffcb3d3e55edc01f628f0452dbb13970234e0bab5c412070b2ee5d1627b04
0,direct,P_direct_l2_t01h,2,147,142,142,20449,143,6864,1.0,20449.0,f50ffcb3d3e55edc01f628f0452dbb13970234e0bab5c412070b2ee5d1627b04
0,direct,P_direct_l2_t01h,3,204,142,142,20449,143,6864,1.0,20449.0,f50ffcb3d3e55edc01f628f0452dbb13970234e0bab5c412070b2ee5d1627b04
0,direct,P_direct_l2_t01h,4,85,142,142,20449,143,6864,1.0,20449.0,f50ffcb3d3e55edc01f628f0452dbb13970234e0bab5c412070b2ee5d1627b04
0,a,P_anchor_a_t01h,1,52,175,175,15587,109,5148,0.012898766168363473,1633.4988299901036,a3f70be22318b3cebd8d521a462625cecbbcaceb51bac4275081cddf3db7e911
0,a,P_anchor_a_t01h,2,102,175,175,15730,110,5005,0.01606537335234457,822.1652824401574,a3f70be22318b3cebd8d521a462625cecbbcaceb51bac4275081cddf3db7e911
0,a,P_anchor_a_t01h,3,441,175,175,15587,109,5148,0.01859197286116707,925.9675155517803,a3f70be22318b3cebd8d521a462625cecbbcaceb51bac4275081cddf3db7e911
0,a,P_anchor_a_t01h,4,106,175,175,15301,107,5434,0.01684826463031558,778.6947154648161,a3f70be22318b3cebd8d521a462625cecbbcaceb51bac4275081cddf3db7e911
0,b,P_excess_b_t01h,1,26,223,223,20592,144,6721,0.9214933706552195,20082.791402330273,5474cc6a15f5d8b7c4ec67a40e933d1ae169a4651b367651eb0df42d2e87c0bd
0,b,P_excess_b_t01h,2,670,223,223,20449,143,6864,0.9171621725087965,19905.395485192388,5474cc6a15f5d8b7c4ec67a40e933d1ae169a4651b367651eb0df42d2e87c0bd
0,b,P_excess_b_t01h,3,170,223,223,20449,143,6864,0.9175341661389315,19830.426018048674,5474cc6a15f5d8b7c4ec67a40e933d1ae169a4651b367651eb0df42d2e87c0bd
0,b,P_excess_b_t01h,4,28,223,223,20449,143,6864,0.9232117898562502,19905.556940570852,5474cc6a15f5d8b7c4ec67a40e933d1ae169a4651b367651eb0df42d2e87c0bd
1,direct,P_direct_l2_t01h,0,542,372,372,20592,144,6864,1.0,20592.0,ff2b1c5dddb4206136f973fe80679626922efbb72a1c15faf65ae67a962f9465
1,direct,P_direct_l2_t01h,2,340,372,372,20592,144,6864,1.0,20592.0,ff2b1c5dddb4206136f973fe80679626922efbb72a1c15faf65ae67a962f9465
1,direct,P_direct_l2_t01h,3,494,372,372,20592,144,6864,1.0,20592.0,ff2b1c5dddb4206136f973fe80679626922efbb72a1c15faf65ae67a962f9465
1,direct,P_direct_l2_t01h,4,114,372,372,20592,144,6864,1.0,20592.0,ff2b1c5dddb4206136f973fe80679626922efbb72a1c15faf65ae67a962f9465
1,a,P_anchor_a_t01h,0,87,139,139,15587,109,5863,0.012898766168363473,1633.4988299901036,f02bb83d6a9988c2116fb1b53b5f2f193c7ed01f35a770ace09e744e2ece2114
1,a,P_anchor_a_t01h,2,219,139,139,16445,115,5005,0.010062883290226211,2360.673400401161,f02bb83d6a9988c2116fb1b53b5f2f193c7ed01f35a770ace09e744e2ece2114
1,a,P_anchor_a_t01h,3,85,139,139,16302,114,5148,0.012426013609520373,1666.6935422710965,f02bb83d6a9988c2116fb1b53b5f2f193c7ed01f35a770ace09e744e2ece2114
1,a,P_anchor_a_t01h,4,166,139,139,16016,112,5434,0.010650043080909631,1509.7043784075847,f02bb83d6a9988c2116fb1b53b5f2f193c7ed01f35a770ace09e744e2ece2114
1,b,P_excess_b_t01h,0,272,310,310,20592,144,6864,0.9214933706552195,20082.791402330273,7a8a7906d5105b97805d0bb44c80b9bdf216b4946b0bf7424e1f3da2f23cd0a0
1,b,P_excess_b_t01h,2,568,310,310,20592,144,6864,0.9206337351692779,20152.37670428022,7a8a7906d5105b97805d0bb44c80b9bdf216b4946b0bf7424e1f3da2f23cd0a0
1,b,P_excess_b_t01h,3,389,310,310,20592,144,6864,0.9210031455103148,20077.140530156852,7a8a7906d5105b97805d0bb44c80b9bdf216b4946b0bf7424e1f3da2f23cd0a0
1,b,P_excess_b_t01h,4,12,310,310,20592,144,6864,0.926641341285152,20152.1164388428,7a8a7906d5105b97805d0bb44c80b9bdf216b4946b0bf7424e1f3da2f23cd0a0
2,direct,P_direct_l2_t01h,0,480,312,312,20449,143,6864,1.0,20449.0,f77d932c6273fef8f401c972218d171b698392f3b941615b66a1d838dfd8374a
2,direct,P_direct_l2_t01h,1,155,312,312,20592,144,6721,1.0,20592.0,f77d932c6273fef8f401c972218d171b698392f3b941615b66a1d838dfd8374a
2,direct,P_direct_l2_t01h,3,478,312,312,20449,143,6864,1.0,20449.0,f77d932c6273fef8f401c972218d171b698392f3b941615b66a1d838dfd8374a
2,direct,P_direct_l2_t01h,4,137,312,312,20449,143,6864,1.0,20449.0,f77d932c6273fef8f401c972218d171b698392f3b941615b66a1d838dfd8374a
2,a,P_anchor_a_t01h,0,93,73,73,15730,110,5863,0.01606537335234457,822.1652824401574,1370beea2a4178a7b4c9d6c701864d263f5ea4fc52673e9da4041e25fcfbc4cc
2,a,P_anchor_a_t01h,1,38,73,73,16445,115,5148,0.010062883290226211,2360.673400401161,1370beea2a4178a7b4c9d6c701864d263f5ea4fc52673e9da4041e25fcfbc4cc
2,a,P_anchor_a_t01h,3,68,73,73,16445,115,5148,0.015459053112100926,833.4073934968659,1370beea2a4178a7b4c9d6c701864d263f5ea4fc52673e9da4041e25fcfbc4cc
2,a,P_anchor_a_t01h,4,95,73,73,16159,113,5434,0.013752481251930643,683.9912416068033,1370beea2a4178a7b4c9d6c701864d263f5ea4fc52673e9da4041e25fcfbc4cc
