model,scope,horizon,horizon_hours,rmse,mae,n,rmse_change_vs_B0_pct,mae_change_vs_B0_pct,prediction_mean,prediction_max,zero_pct,worst_county,worst_county_sse_share_pct,evaluation_status
B3_mlp_convex,horizon,osi_target_t48h,48,0.007818137100228743,0.00220997489952419,22944,1.1262421209607743,-1.0507367911721022,0.002016367157921195,0.054456405341625214,60.04184100418411,54015,24.521364958199335,strict_nested_cv
B3_mlp_convex,mean_horizon,mean_horizon,0,0.009691201854763321,0.00294394159049807,118783,,,,,,,,strict_nested_cv
B4_gru_no_future,horizon,osi_target_t01h,1,0.0119262587898047,0.00351797332398066,34177,-0.883862889632403,-2.3697026500562934,0.005593355745077133,0.29361575841903687,51.38836059338151,42053,27.00427184846954,strict_nested_cv
B4_gru_no_future,horizon,osi_target_t06h,6,0.010522287682837412,0.003298697312024036,32982,-2.0249893165165345,-4.7579538574308415,0.004767887759953737,0.2803885340690613,52.12540173427931,42053,18.453885989930153,strict_nested_cv
B4_gru_no_future,horizon,osi_target_t24h,24,0.008508964619762575,0.0027491921370265534,28680,-1.2207627407941568,-3.1045647886913663,0.002999980002641678,0.1317286491394043,54.3444909344491,54015,16.617343046115813,strict_nested_cv
B4_gru_no_future,horizon,osi_target_t48h,48,0.007820050556994435,0.002208392759627943,22944,1.1509923510596876,-1.1215754133938383,0.0020076718647032976,0.05301767587661743,60.111576011157595,54015,24.509366828302966,strict_nested_cv
B4_gru_no_future,mean_horizon,mean_horizon,0,0.00969439041234978,0.002943563883164798,118783,,,,,,,,strict_nested_cv
B5_gru_future,horizon,osi_target_t01h,1,0.011927240734821515,0.0035236534689495383,34177,-0.8757021915763774,-2.2120680714987517,0.005595754832029343,0.29361575841903687,51.27717470813705,42053,26.994936118675653,strict_nested_cv
B5_gru_future,horizon,osi_target_t06h,6,0.010523440956192188,0.0033045832593468594,32982,-2.014250970192899,-4.588011115346058,0.004770373459905386,0.28033921122550964,52.01018737493178,42053,18.443329393327943,strict_nested_cv
B5_gru_future,horizon,osi_target_t24h,24,0.008513229938313044,0.0027551272898611386,28680,-1.1712473259451794,-2.8953799851967776,0.0030033569782972336,0.1317286491394043,54.211994421199435,54015,16.60069752786636,strict_nested_cv
B5_gru_future,horizon,osi_target_t48h,48,0.007823277134413206,0.002213410532496362,22944,1.192727568169527,-0.8969099982408468,0.0020102683920413256,0.05223805457353592,59.94595536959554,54015,24.48915555155623,strict_nested_cv
B5_gru_future,mean_horizon,mean_horizon,0,0.009696797190934988,0.0029491936376634747,118783,,,,,,,,strict_nested_cv
D0_oracle_convex_hull,horizon,osi_target_t01h,1,0.011175767959891536,0.0026852311891864492,34177,-7.121003413644522,-25.47984441309619,0.0052566248923540115,0.29361575841903687,59.52248588231852,42053,30.398600017493358,strict_nested_cv
D0_oracle_convex_hull,horizon,osi_target_t06h,6,0.00963080970360083,0.0024357833607517743,32982,-10.325709385428572,-29.672543645516434,0.004418955650180578,0.2804841995239258,60.55424170759809,42053,21.53399392318233,strict_nested_cv
D0_oracle_convex_hull,horizon,osi_target_t24h,24,0.007614660921433088,0.0019248567051727405,28680,-11.60259427337591,-32.15831456260388,0.002637065015733242,0.13664300739765167,63.35774058577406,54015,18.30411681255811,strict_nested_cv
D0_oracle_convex_hull,horizon,osi_target_t48h,48,0.007005180397406412,0.0014828856038329933,22944,-9.389211280472109,-33.60538259785494,0.0016495289746671915,0.06099781394004822,69.70885634588564,54015,26.95286200277038,strict_nested_cv
D0_oracle_convex_hull,mean_horizon,mean_horizon,0,0.008856604745582966,0.0021321892147359895,118783,,,,,,,,strict_nested_cv
B1_equal_mean,unique_trajectory,unique_trajectory,0,0.011916308825089292,0.003514331037479661,34177,,,0.005610436784705001,0.29361575841903687,51.23913743160605,,,strict_nested_cv
B2_static_convex,unique_trajectory,unique_trajectory,0,0.011913912580456978,0.0035131435575885424,34177,,,0.005605933592589447,0.29361575841903687,51.28887848553121,,,strict_nested_cv
B3_mlp_convex,unique_trajectory,unique_trajectory,0,0.011922548708714297,0.0035178319841110096,34177,,,0.005599666825121191,0.29361575841903687,51.32691576206221,,,strict_nested_cv
B4_gru_no_future,unique_trajectory,unique_trajectory,0,0.0119262587898047,0.00351797332398066,34177,,,0.00559335613640388,0.29361575841903687,51.38836059338151,,,strict_nested_cv
B5_gru_future,unique_trajectory,unique_trajectory,0,0.011927240734821515,0.0035236534689495383,34177,,,0.005595754792237559,0.29361575841903687,51.27717470813705,,,strict_nested_cv
D0_oracle_convex_hull,unique_trajectory,unique_trajectory,0,0.011175767959891536,0.0026852311891864492,34177,,,0.005256624588530357,0.29361575841903687,59.52248588231852,,,strict_nested_cv
