model,scope,horizon,horizon_hours,rmse,mae,n,rmse_change_vs_B0_pct,mae_change_vs_B0_pct,prediction_mean,prediction_max,zero_pct,worst_county,worst_county_sse_share_pct,evaluation_status
B0_lightgbm,horizon,osi_target_t01h,1,0.012032610569280556,0.0036033622957952496,34177,0.0,0.0,0.005618931290558258,0.29361575841903687,52.14325423530445,42053,26.48816538625099,strict_nested_cv
B0_lightgbm,horizon,osi_target_t06h,6,0.01073976681342812,0.003463488496547176,32982,0.0,0.0,0.004904752371141451,0.2588467597961426,51.64028864228973,42053,18.67219536155779,strict_nested_cv
B0_lightgbm,horizon,osi_target_t24h,24,0.0086141226191434,0.002837277247407106,28680,0.0,0.0,0.00304297469540907,0.11929267644882202,57.04323570432357,54015,15.214752832961983,strict_nested_cv
B0_lightgbm,horizon,osi_target_t48h,48,0.007731066572094298,0.0022334425015981562,22944,0.0,0.0,0.002007171627497132,0.06099781394004822,61.362447698744774,54015,22.73463428632336,strict_nested_cv
B0_lightgbm,mean_horizon,mean_horizon,0,0.009779391643486592,0.003034392635336922,118783,,,,,,,,strict_nested_cv
B1_equal_mean,horizon,osi_target_t01h,1,0.011916308825089292,0.003514331037479661,34177,-0.9665545437677836,-2.4707828690853195,0.005610436666756868,0.29361575841903687,51.23913743160605,42053,27.322830839272658,strict_nested_cv
B1_equal_mean,horizon,osi_target_t06h,6,0.010510599887065562,0.0032949230586208273,32982,-2.133816593448057,-4.866926455635556,0.004785587079823017,0.27207040786743164,51.970771936207626,42053,18.859159797550284,strict_nested_cv
B1_equal_mean,horizon,osi_target_t24h,24,0.008481301861547986,0.0027460605657593693,28680,-1.5418953672686642,-3.214937198368495,0.0030201778281480074,0.1317286491394043,54.187587168758725,54015,16.725918149513898,strict_nested_cv
B1_equal_mean,horizon,osi_target_t48h,48,0.0078033864811678086,0.002210913431190166,22944,0.9354454317409777,-1.0087150393112476,0.0020269134547561407,0.050758231431245804,59.95031380753139,54015,24.614155382050654,strict_nested_cv
B1_equal_mean,mean_horizon,mean_horizon,0,0.009677899263717663,0.0029415570232625057,118783,,,,,,,,strict_nested_cv
B2_static_convex,horizon,osi_target_t01h,1,0.011913912580456978,0.0035131435575885424,34177,-0.9864691302036821,-2.503737642811632,0.0056059337221086025,0.29361575841903687,51.28887848553121,42053,27.262709766911346,strict_nested_cv
B2_static_convex,horizon,osi_target_t06h,6,0.010507784637835102,0.003293692554095972,32982,-2.1600299114778454,-4.9024543497250495,0.004780920688062906,0.27207040786743164,52.02231520223152,42053,18.774538886618544,strict_nested_cv
B2_static_convex,horizon,osi_target_t24h,24,0.008483974195640087,0.002745460002086099,28680,-1.5108726594404431,-3.2361040996228274,0.0030164874624460936,0.1317286491394043,54.187587168758725,54015,16.715384284003477,strict_nested_cv
B2_static_convex,horizon,osi_target_t48h,48,0.007803577472630553,0.002208569597534716,22944,0.9379158730567161,-1.1136576851941582,0.0020216049160808325,0.050758231431245804,59.94159693165969,54015,24.612954129129193,strict_nested_cv
B2_static_convex,mean_horizon,mean_horizon,0,0.00967731222164068,0.0029402164278263324,118783,,,,,,,,strict_nested_cv
B3_mlp_convex,horizon,osi_target_t01h,1,0.011922548708714297,0.0035178319841110096,34177,-0.914696440415419,-2.373625094097387,0.005599666852504015,0.29361575841903687,51.32691576206221,42053,26.999218123362585,strict_nested_cv
B3_mlp_convex,horizon,osi_target_t06h,6,0.010517929988214278,0.003298550851144616,32982,-2.065564635318473,-4.762182567286988,0.0047744270414114,0.2804393470287323,52.06173064095567,42053,18.44006828660247,strict_nested_cv
B3_mlp_convex,horizon,osi_target_t24h,24,0.008506191621895962,0.0027494086272124648,28680,-1.252954038610743,-3.096934579620003,0.003006708575412631,0.1317286491394043,54.274755927475596,54015,16.62817968546874,strict_nested_cv
