model,reference,horizon,metric,difference,ci_2_5,ci_97_5,bootstrap_improvement_probability,replicates,resampling_unit,evaluation_status
B1_equal_mean,B0_lightgbm,osi_target_t01h,rmse,-0.00011630182804831836,-0.0002801078686640765,2.809423867788303e-05,0.9365,2000,county_full_trajectory,strict_nested_cv
B1_equal_mean,B0_lightgbm,osi_target_t01h,mae,-8.90312814680657e-05,-0.0001483016642857732,-2.7924465795519664e-05,0.9965,2000,county_full_trajectory,strict_nested_cv
B2_static_convex,B1_equal_mean,osi_target_t01h,rmse,-2.3957621237379045e-06,-1.3545459067889308e-05,1.1005932821970011e-05,0.628,2000,county_full_trajectory,strict_nested_cv
B2_static_convex,B1_equal_mean,osi_target_t01h,mae,-1.1873701469327855e-06,-6.808984041402127e-06,4.864405918788149e-06,0.662,2000,county_full_trajectory,strict_nested_cv
B3_mlp_convex,B1_equal_mean,osi_target_t01h,rmse,6.240069005092677e-06,-3.83704311499158e-05,5.929483292917918e-05,0.3895,2000,county_full_trajectory,strict_nested_cv
B3_mlp_convex,B1_equal_mean,osi_target_t01h,mae,3.5009449171545352e-06,-1.074202208520788e-05,1.9579871010500758e-05,0.328,2000,county_full_trajectory,strict_nested_cv
B4_gru_no_future,B1_equal_mean,osi_target_t01h,rmse,9.950255298249444e-06,-3.6146372047595866e-05,6.839546159852988e-05,0.3555,2000,county_full_trajectory,strict_nested_cv
B4_gru_no_future,B1_equal_mean,osi_target_t01h,mae,3.642473902519105e-06,-1.4980329667635352e-05,2.4431178801187266e-05,0.367,2000,county_full_trajectory,strict_nested_cv
B5_gru_future,B1_equal_mean,osi_target_t01h,rmse,1.0932307867781571e-05,-3.316466652190609e-05,6.536799591221321e-05,0.3285,2000,county_full_trajectory,strict_nested_cv
B5_gru_future,B1_equal_mean,osi_target_t01h,mae,9.322384791512432e-06,-7.5809699647669145e-06,2.922769991800458e-05,0.156,2000,county_full_trajectory,strict_nested_cv
B5_gru_future,B2_static_convex,osi_target_t01h,rmse,1.3328069991519476e-05,-2.0962389004008324e-05,5.601432258815199e-05,0.2335,2000,county_full_trajectory,strict_nested_cv
B5_gru_future,B2_static_convex,osi_target_t01h,mae,1.0509754938445217e-05,-2.4874612105215614e-06,2.521237303787427e-05,0.0595,2000,county_full_trajectory,strict_nested_cv
B5_gru_future,B3_mlp_convex,osi_target_t01h,rmse,4.692238862688894e-06,-5.252597576249282e-06,1.455881685513311e-05,0.171,2000,county_full_trajectory,strict_nested_cv
B5_gru_future,B3_mlp_convex,osi_target_t01h,mae,5.821439874357896e-06,-1.11138761003433e-06,1.31541258079778e-05,0.045,2000,county_full_trajectory,strict_nested_cv
B5_gru_future,B4_gru_no_future,osi_target_t01h,rmse,9.82052569532127e-07,-8.007951632669997e-06,8.864191353591601e-06,0.373,2000,county_full_trajectory,strict_nested_cv
B5_gru_future,B4_gru_no_future,osi_target_t01h,mae,5.679910888993327e-06,1.7421570726053548e-07,1.1452596929907195e-05,0.021,2000,county_full_trajectory,strict_nested_cv
B1_equal_mean,B0_lightgbm,osi_target_t06h,rmse,-0.00022916687800547675,-0.00036476959745372444,-7.879936018217593e-05,0.999,2000,county_full_trajectory,strict_nested_cv
B1_equal_mean,B0_lightgbm,osi_target_t06h,mae,-0.000168565303948751,-0.00025107422247812024,-9.646061227970515e-05,1.0,2000,county_full_trajectory,strict_nested_cv
B2_static_convex,B1_equal_mean,osi_target_t06h,rmse,-2.8153702414674547e-06,-1.635214684788185e-05,1.2096948261105811e-05,0.628,2000,county_full_trajectory,strict_nested_cv
B2_static_convex,B1_equal_mean,osi_target_t06h,mae,-1.2303908044305513e-06,-7.055212155848961e-06,5.041120932943689e-06,0.662,2000,county_full_trajectory,strict_nested_cv
B3_mlp_convex,B1_equal_mean,osi_target_t06h,rmse,7.329631535189091e-06,-4.777767752154822e-05,6.686406677891951e-05,0.3895,2000,county_full_trajectory,strict_nested_cv
B3_mlp_convex,B1_equal_mean,osi_target_t06h,mae,3.6275594275381184e-06,-1.1130768927049945e-05,2.02895121637728e-05,0.328,2000,county_full_trajectory,strict_nested_cv
B4_gru_no_future,B1_equal_mean,osi_target_t06h,rmse,1.1687793426940277e-05,-4.4417697386864814e-05,7.643336816807555e-05,0.3555,2000,county_full_trajectory,strict_nested_cv
B4_gru_no_future,B1_equal_mean,osi_target_t06h,mae,3.7739849547430843e-06,-1.5523314989254224e-05,2.5316829078808007e-05,0.367,2000,county_full_trajectory,strict_nested_cv
B5_gru_future,B1_equal_mean,osi_target_t06h,rmse,1.2840849653951436e-05,-4.095224978750644e-05,7.286211242924057e-05,0.3285,2000,county_full_trajectory,strict_nested_cv
B5_gru_future,B1_equal_mean,osi_target_t06h,mae,9.660152356422494e-06,-7.854971961727389e-06,3.0286680335713656e-05,0.156,2000,county_full_trajectory,strict_nested_cv
B5_gru_future,B2_static_convex,osi_target_t06h,rmse,1.565621989541889e-05,-2.6090179882541336e-05,6.205321259279586e-05,0.2335,2000,county_full_trajectory,strict_nested_cv
B5_gru_future,B2_static_convex,osi_target_t06h,mae,1.0890543160853045e-05,-2.577580833701095e-06,2.6125639277659585e-05,0.0595,2000,county_full_trajectory,strict_nested_cv
B5_gru_future,B3_mlp_convex,osi_target_t06h,rmse,5.5112181187623455e-06,-6.3495600998342025e-06,1.653191569361546e-05,0.171,2000,county_full_trajectory,strict_nested_cv
B5_gru_future,B3_mlp_convex,osi_target_t06h,mae,6.0325929288843755e-06,-1.1514239571166736e-06,1.3630267712238649e-05,0.045,2000,county_full_trajectory,strict_nested_cv
B5_gru_future,B4_gru_no_future,osi_target_t06h,rmse,1.1530562270111594e-06,-9.310437788729231e-06,1.0005324489453573e-05,0.373,2000,county_full_trajectory,strict_nested_cv
B5_gru_future,B4_gru_no_future,osi_target_t06h,mae,5.88616740167941e-06,1.8074184151932725e-07,1.1867314774085795e-05,0.021,2000,county_full_trajectory,strict_nested_cv
B1_equal_mean,B0_lightgbm,osi_target_t24h,rmse,-0.00013282074840539893,-0.00032546556756153964,1.9704504720428503e-05,0.9525,2000,county_full_trajectory,strict_nested_cv
B1_equal_mean,B0_lightgbm,osi_target_t24h,mae,-9.121661132032973e-05,-0.00016071243868739487,-2.2579368605329604e-05,0.9945,2000,county_full_trajectory,strict_nested_cv
B2_static_convex,B1_equal_mean,osi_target_t24h,rmse,2.671994276179715e-06,-2.304702111531739e-06,7.669546623670321e-06,0.153,2000,county_full_trajectory,strict_nested_cv
B2_static_convex,B1_equal_mean,osi_target_t24h,mae,-6.006685094686083e-07,-4.817937374779929e-06,3.9353497025024755e-06,0.6065,2000,county_full_trajectory,strict_nested_cv
B3_mlp_convex,B1_equal_mean,osi_target_t24h,rmse,2.4889521401012804e-05,2.7054764181295816e-06,5.746324682350388e-05,0.0095,2000,county_full_trajectory,strict_nested_cv
B3_mlp_convex,B1_equal_mean,osi_target_t24h,mae,3.3481017981283265e-06,-7.5966344218869134e-06,1.471502844093573e-05,0.278,2000,county_full_trajectory,strict_nested_cv
B4_gru_no_future,B1_equal_mean,osi_target_t24h,rmse,2.7662633353074326e-05,3.3581173718060316e-06,5.8691478802325144e-05,0.0095,2000,county_full_trajectory,strict_nested_cv
B4_gru_no_future,B1_equal_mean,osi_target_t24h,mae,3.1312971766855706e-06,-1.090295145202391e-05,1.7022760675874575e-05,0.3365,2000,county_full_trajectory,strict_nested_cv
B5_gru_future,B1_equal_mean,osi_target_t24h,rmse,3.192753357354229e-05,1.0087219161607468e-05,6.087875808845776e-05,0.001,2000,county_full_trajectory,strict_nested_cv
B5_gru_future,B1_equal_mean,osi_target_t24h,mae,9.066423445399686e-06,-4.5084188506527146e-06,2.3416328962211608e-05,0.0965,2000,county_full_trajectory,strict_nested_cv
B5_gru_future,B2_static_convex,osi_target_t24h,rmse,2.9255539297362576e-05,1.0552442003410306e-05,5.438806266740563e-05,0.0,2000,county_full_trajectory,strict_nested_cv
B5_gru_future,B2_static_convex,osi_target_t24h,mae,9.667091954868295e-06,-1.8017328600171975e-06,2.1017665144788527e-05,0.0465,2000,county_full_trajectory,strict_nested_cv
B5_gru_future,B3_mlp_convex,osi_target_t24h,rmse,7.038012172529487e-06,-3.3162882058941286e-06,1.7749289386111464e-05,0.087,2000,county_full_trajectory,strict_nested_cv
B5_gru_future,B3_mlp_convex,osi_target_t24h,mae,5.71832164727136e-06,-1.845253395069775e-06,1.360993006239354e-05,0.07,2000,county_full_trajectory,strict_nested_cv
B5_gru_future,B4_gru_no_future,osi_target_t24h,rmse,4.264900220467965e-06,-1.8761577929464436e-06,1.0864838232853625e-05,0.0885,2000,county_full_trajectory,strict_nested_cv
B5_gru_future,B4_gru_no_future,osi_target_t24h,mae,5.935126268714116e-06,6.569645561104246e-07,1.1854810195986664e-05,0.0155,2000,county_full_trajectory,strict_nested_cv
B1_equal_mean,B0_lightgbm,osi_target_t48h,rmse,7.232032355562832e-05,-0.00021245678906372048,0.00031929206003005416,0.325,2000,county_full_trajectory,strict_nested_cv
B1_equal_mean,B0_lightgbm,osi_target_t48h,mae,-2.252915868732573e-05,-9.704025373256026e-05,5.258058050062456e-05,0.708,2000,county_full_trajectory,strict_nested_cv
B2_static_convex,B1_equal_mean,osi_target_t48h,rmse,1.904226303974313e-07,-4.8193372725120275e-06,4.931901658590245e-06,0.5135,2000,county_full_trajectory,strict_nested_cv
B2_static_convex,B1_equal_mean,osi_target_t48h,mae,-2.343618055101592e-06,-6.738400692055601e-06,2.122166432762358e-06,0.8585,2000,county_full_trajectory,strict_nested_cv
B3_mlp_convex,B1_equal_mean,osi_target_t48h,rmse,1.475031836091923e-05,-4.63879215429697e-06,4.783496120512021e-05,0.107,2000,county_full_trajectory,strict_nested_cv
B3_mlp_convex,B1_equal_mean,osi_target_t48h,mae,-9.383782848320851e-07,-1.047864618660529e-05,8.977170269858386e-06,0.591,2000,county_full_trajectory,strict_nested_cv
B4_gru_no_future,B1_equal_mean,osi_target_t48h,rmse,1.6663700077420608e-05,-4.032859618791594e-06,4.589473396422469e-05,0.0655,2000,county_full_trajectory,strict_nested_cv
B4_gru_no_future,B1_equal_mean,osi_target_t48h,mae,-2.520519985481102e-06,-1.495155496743616e-05,9.216706955615643e-06,0.6655,2000,county_full_trajectory,strict_nested_cv
B5_gru_future,B1_equal_mean,osi_target_t48h,rmse,1.9890038546820955e-05,9.050066541111411e-07,4.584100404772552e-05,0.019,2000,county_full_trajectory,strict_nested_cv
B5_gru_future,B1_equal_mean,osi_target_t48h,mae,2.4972434156940275e-06,-1.0759631792704206e-05,1.4435505102202948e-05,0.355,2000,county_full_trajectory,strict_nested_cv
B5_gru_future,B2_static_convex,osi_target_t48h,rmse,1.9699615916423524e-05,3.908730083161433e-06,4.3183110363436336e-05,0.0025,2000,county_full_trajectory,strict_nested_cv
B5_gru_future,B2_static_convex,osi_target_t48h,mae,4.84086147079562e-06,-6.776150300413038e-06,1.550584075507413e-05,0.1975,2000,county_full_trajectory,strict_nested_cv
B5_gru_future,B3_mlp_convex,osi_target_t48h,rmse,5.139720185901725e-06,-8.056051428712518e-06,1.898296903662201e-05,0.2245,2000,county_full_trajectory,strict_nested_cv
B5_gru_future,B3_mlp_convex,osi_target_t48h,mae,3.4356217005261126e-06,-5.323060553110467e-06,1.1875780722752302e-05,0.2115,2000,county_full_trajectory,strict_nested_cv
B5_gru_future,B4_gru_no_future,osi_target_t48h,rmse,3.226338469400347e-06,-4.52178510074331e-06,1.159574720340924e-05,0.2,2000,county_full_trajectory,strict_nested_cv
B5_gru_future,B4_gru_no_future,osi_target_t48h,mae,5.017763401175129e-06,-1.3332819173857883e-06,1.2084484266602826e-05,0.0635,2000,county_full_trajectory,strict_nested_cv
