model,outer_fold,scope,horizon,horizon_hours,rmse,mae,n,evaluation_status
B2_static_convex,4,horizon,osi_target_t06h,6,0.009047216954262206,0.0029632332888455044,6624,strict_nested_cv
B2_static_convex,0,horizon,osi_target_t24h,24,0.004543475961203585,0.002016820482472465,5760,strict_nested_cv
B2_static_convex,1,horizon,osi_target_t24h,24,0.008763650049962232,0.002819657127379319,5640,strict_nested_cv
B2_static_convex,2,horizon,osi_target_t24h,24,0.012965211788938375,0.003706947741218553,5760,strict_nested_cv
B2_static_convex,3,horizon,osi_target_t24h,24,0.006003044112558248,0.0027272574078652826,5760,strict_nested_cv
B2_static_convex,4,horizon,osi_target_t24h,24,0.007642747808967196,0.002458163024938484,5760,strict_nested_cv
B2_static_convex,0,horizon,osi_target_t48h,48,0.00348152664289903,0.0014930760212652988,4608,strict_nested_cv
B2_static_convex,1,horizon,osi_target_t48h,48,0.005643748385987384,0.0019559528093992438,4512,strict_nested_cv
B2_static_convex,2,horizon,osi_target_t48h,48,0.013598228357941937,0.003324777059417114,4608,strict_nested_cv
B2_static_convex,3,horizon,osi_target_t48h,48,0.005322077268405463,0.0022207610766508245,4608,strict_nested_cv
B2_static_convex,4,horizon,osi_target_t48h,48,0.006831162458890657,0.0020430181711882747,4608,strict_nested_cv
B3_mlp_convex,0,horizon,osi_target_t01h,1,0.006771912799174502,0.002711973727809785,6864,strict_nested_cv
B3_mlp_convex,1,horizon,osi_target_t01h,1,0.010580830997091391,0.0036745514973103503,6721,strict_nested_cv
B3_mlp_convex,2,horizon,osi_target_t01h,1,0.012960013240889369,0.004005635182446384,6864,strict_nested_cv
B3_mlp_convex,3,horizon,osi_target_t01h,1,0.016117855710495052,0.003959996620054846,6864,strict_nested_cv
B3_mlp_convex,4,horizon,osi_target_t01h,1,0.01116005423163065,0.0032402678827920025,6864,strict_nested_cv
B3_mlp_convex,0,horizon,osi_target_t06h,6,0.00655857398863888,0.0025917953403695104,6624,strict_nested_cv
B3_mlp_convex,1,horizon,osi_target_t06h,6,0.010125778966957159,0.0034861577396202753,6486,strict_nested_cv
B3_mlp_convex,2,horizon,osi_target_t06h,6,0.012878974101453257,0.0039119234252739,6624,strict_nested_cv
B3_mlp_convex,3,horizon,osi_target_t06h,6,0.012637925325740961,0.0035427376998187457,6624,strict_nested_cv
B3_mlp_convex,4,horizon,osi_target_t06h,6,0.009046224518949578,0.0029640485274838916,6624,strict_nested_cv
B3_mlp_convex,0,horizon,osi_target_t24h,24,0.004597309627826334,0.0020286597179152623,5760,strict_nested_cv
B3_mlp_convex,1,horizon,osi_target_t24h,24,0.008763650049962232,0.002819657127379319,5640,strict_nested_cv
B3_mlp_convex,2,horizon,osi_target_t24h,24,0.012965211788938375,0.003706947741218553,5760,strict_nested_cv
B3_mlp_convex,3,horizon,osi_target_t24h,24,0.0061224982196783845,0.0027349602499548886,5760,strict_nested_cv
B3_mlp_convex,4,horizon,osi_target_t24h,24,0.007638755847353009,0.0024582818100144423,5760,strict_nested_cv
B3_mlp_convex,0,horizon,osi_target_t48h,48,0.0034660982251440925,0.0014926066394878035,4608,strict_nested_cv
B3_mlp_convex,1,horizon,osi_target_t48h,48,0.005643748385987384,0.0019559528093992438,4512,strict_nested_cv
B3_mlp_convex,2,horizon,osi_target_t48h,48,0.013598228357941937,0.003324777059417114,4608,strict_nested_cv
B3_mlp_convex,3,horizon,osi_target_t48h,48,0.005443651633797404,0.002227040358458036,4608,strict_nested_cv
B3_mlp_convex,4,horizon,osi_target_t48h,48,0.0068260990328982436,0.0020442055039811497,4608,strict_nested_cv
B4_gru_no_future,0,horizon,osi_target_t01h,1,0.0068278265062562855,0.0027305774772734014,6864,strict_nested_cv
B4_gru_no_future,1,horizon,osi_target_t01h,1,0.010580830997091391,0.0036745514973103503,6721,strict_nested_cv
B4_gru_no_future,2,horizon,osi_target_t01h,1,0.012960013240889369,0.004005635182446384,6864,strict_nested_cv
B4_gru_no_future,3,horizon,osi_target_t01h,1,0.0161129940660043,0.00394136510094922,6864,strict_nested_cv
B4_gru_no_future,4,horizon,osi_target_t01h,1,0.011152742050300807,0.0032409994072016466,6864,strict_nested_cv
B4_gru_no_future,0,horizon,osi_target_t06h,6,0.006618372591353784,0.002611073138726736,6624,strict_nested_cv
B4_gru_no_future,1,horizon,osi_target_t06h,6,0.010125778966957159,0.0034861577396202753,6486,strict_nested_cv
B4_gru_no_future,2,horizon,osi_target_t06h,6,0.012878974101453257,0.0039119234252739,6624,strict_nested_cv
B4_gru_no_future,3,horizon,osi_target_t06h,6,0.01263149968345417,0.0035234311256730605,6624,strict_nested_cv
B4_gru_no_future,4,horizon,osi_target_t06h,6,0.009036875091209151,0.0029648065564011313,6624,strict_nested_cv
B4_gru_no_future,0,horizon,osi_target_t24h,24,0.004631103057735367,0.00204029415836102,5760,strict_nested_cv
B4_gru_no_future,1,horizon,osi_target_t24h,24,0.008763650049962232,0.002819657127379319,5640,strict_nested_cv
B4_gru_no_future,2,horizon,osi_target_t24h,24,0.012965211788938375,0.003706947741218553,5760,strict_nested_cv
B4_gru_no_future,3,horizon,osi_target_t24h,24,0.006099662459459418,0.0027196797333267062,5760,strict_nested_cv
B4_gru_no_future,4,horizon,osi_target_t24h,24,0.007651977880889824,0.002460849945479519,5760,strict_nested_cv
B4_gru_no_future,0,horizon,osi_target_t48h,48,0.003480647223617026,0.0014950299691570813,4608,strict_nested_cv
B4_gru_no_future,1,horizon,osi_target_t48h,48,0.005643748385987384,0.0019559528093992438,4512,strict_nested_cv
B4_gru_no_future,2,horizon,osi_target_t48h,48,0.013598228357941937,0.003324777059417114,4608,strict_nested_cv
B4_gru_no_future,3,horizon,osi_target_t48h,48,0.005421570689789094,0.0022125103070275523,4608,strict_nested_cv
B4_gru_no_future,4,horizon,osi_target_t48h,48,0.006847150193175502,0.0020484344875089594,4608,strict_nested_cv
B5_gru_future,0,horizon,osi_target_t01h,1,0.006832254168014612,0.0027474455776890097,6864,strict_nested_cv
B5_gru_future,1,horizon,osi_target_t01h,1,0.010580830997091391,0.0036745514973103503,6721,strict_nested_cv
B5_gru_future,2,horizon,osi_target_t01h,1,0.012960013240889369,0.004005635182446384,6864,strict_nested_cv
B5_gru_future,3,horizon,osi_target_t01h,1,0.016111266848058043,0.003950491334285766,6864,strict_nested_cv
B5_gru_future,4,horizon,osi_target_t01h,1,0.011157753245834253,0.003243287461940366,6864,strict_nested_cv
B5_gru_future,0,horizon,osi_target_t06h,6,0.006623105718578513,0.0026285524022008813,6624,strict_nested_cv
B5_gru_future,1,horizon,osi_target_t06h,6,0.010125778966957159,0.0034861577396202753,6486,strict_nested_cv
B5_gru_future,2,horizon,osi_target_t06h,6,0.012878974101453257,0.0039119234252739,6624,strict_nested_cv
B5_gru_future,3,horizon,osi_target_t06h,6,0.012629216496896647,0.0035328880196377416,6624,strict_nested_cv
B5_gru_future,4,horizon,osi_target_t06h,6,0.009043282837267193,0.0029671775116738622,6624,strict_nested_cv
B5_gru_future,0,horizon,osi_target_t24h,24,0.004672001462361199,0.0020608487760569007,5760,strict_nested_cv
B5_gru_future,1,horizon,osi_target_t24h,24,0.008763650049962232,0.002819657127379319,5640,strict_nested_cv
B5_gru_future,2,horizon,osi_target_t24h,24,0.012965211788938375,0.003706947741218553,5760,strict_nested_cv
B5_gru_future,3,horizon,osi_target_t24h,24,0.006090607451802412,0.002726055484370388,5760,strict_nested_cv
B5_gru_future,4,horizon,osi_target_t24h,24,0.007657948755984653,0.0024634716918954937,5760,strict_nested_cv
B5_gru_future,0,horizon,osi_target_t48h,48,0.003528225241621574,0.001513539299695468,4608,strict_nested_cv
B5_gru_future,1,horizon,osi_target_t48h,48,0.005643748385987384,0.0019559528093992438,4512,strict_nested_cv
B5_gru_future,2,horizon,osi_target_t48h,48,0.013598228357941937,0.003324777059417114,4608,strict_nested_cv
B5_gru_future,3,horizon,osi_target_t48h,48,0.005403455955771055,0.0022158809819911893,4608,strict_nested_cv
B5_gru_future,4,horizon,osi_target_t48h,48,0.0068554657372958,0.002051538809414271,4608,strict_nested_cv
D0_oracle_convex_hull,0,horizon,osi_target_t01h,1,0.005756444475968671,0.0018906659132020298,6864,strict_nested_cv
D0_oracle_convex_hull,1,horizon,osi_target_t01h,1,0.009874575396971003,0.0029754837663480693,6721,strict_nested_cv
D0_oracle_convex_hull,2,horizon,osi_target_t01h,1,0.011944525621727611,0.003130622460401457,6864,strict_nested_cv
D0_oracle_convex_hull,3,horizon,osi_target_t01h,1,0.015505872691126497,0.0029458816515108193,6864,strict_nested_cv
D0_oracle_convex_hull,4,horizon,osi_target_t01h,1,0.010496220199996254,0.002489549083160739,6864,strict_nested_cv
D0_oracle_convex_hull,0,horizon,osi_target_t06h,6,0.005461849077703448,0.0017407299962469815,6624,strict_nested_cv
D0_oracle_convex_hull,1,horizon,osi_target_t06h,6,0.009357415325170218,0.0027617614676811,6486,strict_nested_cv
D0_oracle_convex_hull,2,horizon,osi_target_t06h,6,0.0118178428485257,0.0030052073437345913,6624,strict_nested_cv
D0_oracle_convex_hull,3,horizon,osi_target_t06h,6,0.011817900380380279,0.0024918794353129777,6624,strict_nested_cv
D0_oracle_convex_hull,4,horizon,osi_target_t06h,6,0.00818151149148142,0.002186129771344249,6624,strict_nested_cv
D0_oracle_convex_hull,0,horizon,osi_target_t24h,24,0.0035402516767339734,0.0012586007580049833,5760,strict_nested_cv
D0_oracle_convex_hull,1,horizon,osi_target_t24h,24,0.008097432174484857,0.002143450165009031,5640,strict_nested_cv
D0_oracle_convex_hull,2,horizon,osi_target_t24h,24,0.011957534751852558,0.0028294971170503736,5760,strict_nested_cv
D0_oracle_convex_hull,3,horizon,osi_target_t24h,24,0.00468802289110437,0.0016860029714532883,5760,strict_nested_cv
D0_oracle_convex_hull,4,horizon,osi_target_t24h,24,0.006856482121142992,0.0017112865447592818,5760,strict_nested_cv
D0_oracle_convex_hull,0,horizon,osi_target_t48h,48,0.0025878775361206567,0.000864791548050587,4608,strict_nested_cv
D0_oracle_convex_hull,1,horizon,osi_target_t48h,48,0.004914977481402478,0.001342473641745128,4512,strict_nested_cv
D0_oracle_convex_hull,2,horizon,osi_target_t48h,48,0.012691126164979652,0.0025748157607239364,4608,strict_nested_cv
D0_oracle_convex_hull,3,horizon,osi_target_t48h,48,0.004042962267723562,0.0012567793196198965,4608,strict_nested_cv
D0_oracle_convex_hull,4,horizon,osi_target_t48h,48,0.006048086230392898,0.001372642499815255,4608,strict_nested_cv
