model,candidate_count,target_hour_start,target_hour_end,rmse,mae,n,evaluation_status
B1_equal_mean,1,73,77,0.031813643337616146,0.009569991253983477,1195,strict_nested_cv
B1_equal_mean,2,78,95,0.019167878550182624,0.006954006344363879,4302,strict_nested_cv
B1_equal_mean,3,96,119,0.01077455539851165,0.004886649104036181,5736,strict_nested_cv
B1_equal_mean,4,120,215,0.0078033864811678086,0.002210913431190166,22944,strict_nested_cv
B2_static_convex,1,73,77,0.031813643337616146,0.009569991253983477,1195,strict_nested_cv
B2_static_convex,2,78,95,0.019148150570765306,0.006948576234161793,4302,strict_nested_cv
B2_static_convex,3,96,119,0.010784516923629273,0.004893021620291632,5736,strict_nested_cv
B2_static_convex,4,120,215,0.007803577472630553,0.002208569597534716,22944,strict_nested_cv
B3_mlp_convex,1,73,77,0.031813643337616146,0.009569991253983477,1195,strict_nested_cv
B3_mlp_convex,2,78,95,0.01912512884734126,0.006959499010692292,4302,strict_nested_cv
B3_mlp_convex,3,96,119,0.010829746473033097,0.004907143537965563,5736,strict_nested_cv
B3_mlp_convex,4,120,215,0.007818137100228743,0.00220997489952419,22944,strict_nested_cv
B4_gru_no_future,1,73,77,0.031813643337616146,0.009569991253983477,1195,strict_nested_cv
B4_gru_no_future,2,78,95,0.019135279789275695,0.006962065145340588,4302,strict_nested_cv
B4_gru_no_future,3,96,119,0.010835111058316867,0.004912389646620996,5736,strict_nested_cv
B4_gru_no_future,4,120,215,0.007820050556994435,0.002208392759627943,22944,strict_nested_cv
B5_gru_future,1,73,77,0.031813643337616146,0.009569991253983477,1195,strict_nested_cv
B5_gru_future,2,78,95,0.019127492780400872,0.006967623055918332,4302,strict_nested_cv
B5_gru_future,3,96,119,0.010842543955438568,0.0049219943193202454,5736,strict_nested_cv
B5_gru_future,4,120,215,0.007823277134413206,0.002213410532496362,22944,strict_nested_cv
D0_oracle_convex_hull,1,73,77,0.031813643337616146,0.009569991253983477,1195,strict_nested_cv
D0_oracle_convex_hull,2,78,95,0.018015235946390398,0.005841961064612001,4302,strict_nested_cv
D0_oracle_convex_hull,3,96,119,0.009676006156528258,0.0036927411105317286,5736,strict_nested_cv
D0_oracle_convex_hull,4,120,215,0.007005180397406412,0.0014828856038329933,22944,strict_nested_cv
