cv_seed,pair,candidate,reference,horizon,fipsCode,countyName,stateAbbr,fold,n,rmse,mae,sse,sae,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
20260917,I3_minus_I1,I3,I1,1,18009,Blackford County,IN,3,143,0.005533716964833389,0.0034351849170038986,0.004378949352904535,0.4912314431315575,0.0018410053629131409,0.005533716964833389,0.0,0.0,0.0
20260917,I3_minus_I1,I3,I1,1,18013,Brown County,IN,0,143,0.02776380966923349,0.012144126745236409,0.1102285652109675,1.7366101245688066,-0.010007575407764754,0.02776380966923349,0.0,0.0,0.0
20260917,I3_minus_I1,I3,I1,1,18023,Clinton County,IN,1,143,0.0016476676716936933,0.0006471976301872533,0.00038821765215726585,0.09254926111677722,0.0005832859544160743,0.0016476676716936933,0.0,0.0,0.0
20260917,I3_minus_I1,I3,I1,1,18025,Crawford County,IN,1,143,0.011975893043524477,0.0021892242013099076,0.020509348029161125,0.31305906078731677,-0.0010291345819999297,0.011975893043524477,0.0,0.0,0.0
20260917,I3_minus_I1,I3,I1,1,18027,Daviess County,IN,4,143,0.002512794891529308,0.0008038137652180428,0.0009029217578660976,0.11494536842618013,0.000582561783313503,0.002512794891529308,0.0,0.0,0.0
20260917,I3_minus_I1,I3,I1,1,18029,Dearborn County,IN,3,143,0.0014277276057532513,0.00041287019073556755,0.0002914920746208773,0.05904043727518616,-9.18587920383872e-05,0.0014277276057532513,0.0,0.0,0.0
20260917,I3_minus_I1,I3,I1,1,18033,DeKalb County,IN,4,143,0.003322412437418643,0.0013015633417366359,0.0015784946898169143,0.18612355786833892,-0.0009351951961592226,0.003322412437418643,0.0,0.0,0.0
20260917,I3_minus_I1,I3,I1,1,18035,Delaware County,IN,0,143,0.001775030185407383,0.0008318033868724775,0.00045055469875235365,0.11894788432276428,-0.0003291976628445851,0.001775030185407383,0.0,0.0,0.0
20260917,I3_minus_I1,I3,I1,1,18037,Dubois County,IN,4,143,0.0021915204867984346,0.0008487802874095956,0.0006867949723001864,0.12137558109957218,0.0004368694487985294,0.0021915204867984346,0.0,0.0,0.0
20260917,I3_minus_I1,I3,I1,1,18039,Elkhart County,IN,2,143,0.0009135242496802119,0.0005378083976035985,0.00011933729732979255,0.07690660085731459,0.00040335657964238347,0.0009135242496802119,0.0,0.0,0.0
20260917,I3_minus_I1,I3,I1,1,18041,Fayette County,IN,1,143,0.005704838652083694,0.0021155418623779805,0.004653961318622057,0.30252248632005124,-0.002107238384662189,0.005704838652083694,0.0,0.0,0.0
20260917,I3_minus_I1,I3,I1,1,18043,Floyd County,IN,4,143,0.0018756412649000669,0.0007399685058328745,0.0005030783121072169,0.10581549633410106,0.00033736766760841016,0.0018756412649000669,0.0,0.0,0.0
20260917,I3_minus_I1,I3,I1,1,18045,Fountain County,IN,1,143,0.0036888130679961343,0.0016239770965314109,0.0019458498846385245,0.23222872480399176,0.0016225784951328093,0.0036888130679961343,0.0,0.0,0.0
20260917,I3_minus_I1,I3,I1,1,18047,Franklin County,IN,4,143,0.003276400709150936,0.001157562950491537,0.00153507662979024,0.1655315019202898,1.5858450746991916e-05,0.003276400709150936,0.0,0.0,0.0
20260917,I3_minus_I1,I3,I1,1,18051,Gibson County,IN,2,143,0.0011992662201531082,0.0004065492970769603,0.00020566824375244628,0.05813654948200532,3.352381790109815e-05,0.0011992662201531082,0.0,0.0,0.0
20260917,I3_minus_I1,I3,I1,1,18059,Hancock County,IN,1,143,0.0011270845712411173,0.000324047365037934,0.00018165570719435757,0.046338773200424566,0.00011670165637120186,0.0011270845712411173,0.0,0.0,0.0
20260917,I3_minus_I1,I3,I1,1,18061,Harrison County,IN,3,143,0.003945666462200867,0.0015740472184352864,0.0022262645878239483,0.22508875223624597,-0.0005287997880001076,0.003945666462200867,0.0,0.0,0.0
20260917,I3_minus_I1,I3,I1,1,18065,Henry County,IN,3,143,0.0022952133446031957,0.0006836482370701879,0.000753324614505976,0.09776169790103688,-0.00048680266173998463,0.0022952133446031957,0.0,0.0,0.0
20260917,I3_minus_I1,I3,I1,1,18067,Howard County,IN,3,143,0.001639387770289248,0.00046993927939987585,0.0003843256933764751,0.06720131695418224,-9.05691148940045e-05,0.001639387770289248,0.0,0.0,0.0
20260917,I3_minus_I1,I3,I1,1,18069,Huntington County,IN,0,143,0.0009903890260993403,0.0005543237049331053,0.00014026447049157395,0.07926828980543406,-5.317305739779384e-05,0.0009903890260993403,0.0,0.0,0.0
20260917,I3_minus_I1,I3,I1,1,18071,Jackson County,IN,3,143,0.004809778065728805,0.0018918449825447682,0.0033081570009439267,0.27053383250390184,0.0018806561713559566,0.004809778065728805,0.0,0.0,0.0
20260917,I3_minus_I1,I3,I1,1,18073,Jasper County,IN,3,143,0.003332502134446976,0.0019293450104435218,0.001588096578081392,0.2758963364934236,0.0016206167452156694,0.003332502134446976,0.0,0.0,0.0
20260917,I3_minus_I1,I3,I1,1,18077,Jefferson County,IN,2,143,0.0048382012034221275,0.0014204735937424127,0.003347371296525731,0.203127723905165,-0.001012744194138482,0.0048382012034221275,0.0,0.0,0.0
20260917,I3_minus_I1,I3,I1,1,18083,Knox County,IN,2,143,0.0014562982345432687,0.0006132502307591972,0.0003032750503545393,0.0876947829985652,0.0004873841049952125,0.0014562982345432687,0.0,0.0,0.0
20260917,I3_minus_I1,I3,I1,1,18085,Kosciusko County,IN,1,143,0.0017488737836979479,0.001251779548052992,0.0004373740101167546,0.17900447537157788,0.0009986326949061389,0.0017488737836979479,0.0,0.0,0.0
20260917,I3_minus_I1,I3,I1,1,18087,LaGrange County,IN,3,143,0.0020391316459519313,0.0018602946957849153,0.0005946022753417365,0.2660221414972429,0.001827183894752889,0.0020391316459519313,0.0,0.0,0.0
