cv_seed,pair,candidate,reference,horizon,original_gate,n,rmse,mae,sse,sae,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction,baseline_underprediction_sse,candidate_underprediction_sse,baseline_underprediction_rows,candidate_underprediction_rows
20260917,I3_minus_I1,I3,I1,24,False,28109,0.006776263503452162,0.002320987254831896,1.2907019523405334,65.24063074606977,-0.00014424329085385243,0.006831826528488862,-5.556302503669994e-05,-0.8132967780285494,0.02125340174463819,1.0730493201187103,1.0648199987899445,8590,9182
20260917,I3_minus_I1,I3,I1,24,True,571,0.03768604308125916,0.025377629335544324,0.8109558084229599,14.490626350595809,-0.005114267371796138,0.037262834835516186,0.0004232082457429759,1.1357381895690022,-0.01811153937497456,0.6689203703064768,0.6770537497201891,244,247
20260917,I3_minus_I2,I3,I2,24,False,28109,0.006776263503452162,0.002320987254831896,1.2907019523405334,65.24063074606977,-0.00014424329085385243,0.0067838944471203385,-7.630943668176376e-06,-0.11248617925380122,0.0029086294120252987,1.0583606888616788,1.0648199987899445,9246,9182
20260917,I3_minus_I2,I3,I2,24,True,571,0.03768604308125916,0.025377629335544324,0.8109558084229599,14.490626350595809,-0.005114267371796138,0.03817768554265132,-0.0004916424613921611,-1.2877744012085524,0.021297061084767255,0.6865790157022926,0.6770537497201891,245,247
20260917,I2_minus_I1,I2,I1,24,False,28109,0.0067838944471203385,0.0022733936161988904,1.2936105817525587,63.902821157734614,-0.00017666800490527055,0.006831826528488862,-4.793208136852356e-05,-0.7015998015852065,0.01834477233261289,1.0730493201187103,1.0583606888616788,8590,9246
20260917,I2_minus_I1,I2,I1,24,True,571,0.03817768554265132,0.025796849703357636,0.8322528695077271,14.73000118061721,-0.0047647007994838205,0.037262834835516186,0.0009148507071351369,2.455129115037624,-0.039408600459741816,0.6689203703064768,0.6865790157022926,244,245
20260917,I1_minus_B0,I1,B0,24,False,28109,0.006831826528488862,0.0024404848471004975,1.3119553540851716,68.59958856714789,-1.330766601605181e-05,0.006831826528488862,0.0,0.0,0.0,1.0730493201187103,1.0730493201187103,8590,8590
20260917,I1_minus_B0,I1,B0,24,True,571,0.037262834835516186,0.025020727125742756,0.7928442690479853,14.286835188799113,-0.00546383394410845,0.037262834835516186,0.0,0.0,0.0,0.6689203703064768,0.6689203703064768,244,244
20260917,I3_minus_B0,I3,B0,24,False,28109,0.006776263503452162,0.002320987254831896,1.2907019523405334,65.24063074606977,-0.00014424329085385243,0.006831826528488862,-5.556302503669994e-05,-0.8132967780285494,0.02125340174463819,1.0730493201187103,1.0648199987899445,8590,9182
20260917,I3_minus_B0,I3,B0,24,True,571,0.03768604308125916,0.025377629335544324,0.8109558084229599,14.490626350595809,-0.005114267371796138,0.037262834835516186,0.0004232082457429759,1.1357381895690022,-0.01811153937497456,0.6689203703064768,0.6770537497201891,244,247
