candidate,horizon,fold,rmse,mae,n
L0,osi_target_t01h,0,0.00792125147589283,0.0030221626147296917,6864
L0,osi_target_t01h,1,0.007798474444087559,0.0030966762719227877,6721
L0,osi_target_t01h,2,0.016867429320408082,0.003609737053373161,6864
L0,osi_target_t01h,3,0.010020705889399538,0.0035092710695936885,6864
L0,osi_target_t01h,4,0.007812488512602452,0.0031997546379545156,6864
L1,osi_target_t01h,0,0.00792125147589283,0.0030221626147296917,6864
L1,osi_target_t01h,1,0.007798474444087559,0.0030966762719227877,6721
L1,osi_target_t01h,2,0.016867429320408082,0.003609737053373161,6864
L1,osi_target_t01h,3,0.010020705889399538,0.0035092710695936885,6864
L1,osi_target_t01h,4,0.007812488512602452,0.0031997546379545156,6864
L2,osi_target_t01h,0,0.00792125147589283,0.0030221626147296917,6864
L2,osi_target_t01h,1,0.007798474444087559,0.0030966762719227877,6721
L2,osi_target_t01h,2,0.016867429320408082,0.003609737053373161,6864
L2,osi_target_t01h,3,0.010020705889399538,0.0035092710695936885,6864
L2,osi_target_t01h,4,0.007812488512602452,0.0031997546379545156,6864
L0,osi_target_t06h,0,0.007738456593099625,0.0028981301134518287,6624
L0,osi_target_t06h,1,0.007697367623827542,0.003022496306471961,6486
L0,osi_target_t06h,2,0.014029400396039593,0.0033413032547907214,6624
L0,osi_target_t06h,3,0.00968548325503862,0.003391746956495937,6624
L0,osi_target_t06h,4,0.0077193277445045455,0.00313171058811424,6624
L1,osi_target_t06h,0,0.007738456593099625,0.0028981301134518287,6624
L1,osi_target_t06h,1,0.007697367623827542,0.003022496306471961,6486
L1,osi_target_t06h,2,0.014029400396039593,0.0033413032547907214,6624
L1,osi_target_t06h,3,0.00968548325503862,0.003391746956495937,6624
L1,osi_target_t06h,4,0.0077193277445045455,0.00313171058811424,6624
L2,osi_target_t06h,0,0.007738456593099625,0.0028981301134518287,6624
L2,osi_target_t06h,1,0.007697367623827542,0.003022496306471961,6486
L2,osi_target_t06h,2,0.014029400396039593,0.0033413032547907214,6624
L2,osi_target_t06h,3,0.00968548325503862,0.003391746956495937,6624
L2,osi_target_t06h,4,0.0077193277445045455,0.00313171058811424,6624
L0,osi_target_t24h,0,0.007403360038637721,0.0026367235333492893,5760
L0,osi_target_t24h,1,0.006981552534588351,0.002711953273323958,5640
L0,osi_target_t24h,2,0.009578812076181489,0.0028247432042703834,5760
L0,osi_target_t24h,3,0.008787791362095468,0.0030819896185994245,5760
L0,osi_target_t24h,4,0.007400087622707585,0.0028329232411362483,5760
L1,osi_target_t24h,0,0.00763573814375506,0.0024770036499498797,5760
L1,osi_target_t24h,1,0.006169039980280276,0.0024647157654918337,5640
L1,osi_target_t24h,2,0.009719864427797804,0.002783626527370896,5760
L1,osi_target_t24h,3,0.008889584174546005,0.002774404692386034,5760
L1,osi_target_t24h,4,0.006680572442606455,0.0024977980085552015,5760
L2,osi_target_t24h,0,0.007321535620792824,0.0025031925889719307,5760
L2,osi_target_t24h,1,0.0068425329258296605,0.0025440653360395684,5640
L2,osi_target_t24h,2,0.009550476807116046,0.002745071870892342,5760
L2,osi_target_t24h,3,0.00850076858137685,0.002798249137469347,5760
L2,osi_target_t24h,4,0.007018099532502338,0.002597294007495215,5760
L0,osi_target_t48h,0,0.00861620906706122,0.002527856506693035,4608
L0,osi_target_t48h,1,0.006057778855564472,0.002235230770326194,4512
L0,osi_target_t48h,2,0.007448373846773871,0.002062662172600609,4608
L0,osi_target_t48h,3,0.00892283420626145,0.002524003614776814,4608
L0,osi_target_t48h,4,0.005134675075065449,0.0020580866192004732,4608
L1,osi_target_t48h,0,0.008277128879226445,0.0022479674547276982,4608
L1,osi_target_t48h,1,0.005785032105417325,0.0020553332609720416,4512
L1,osi_target_t48h,2,0.007506438747920979,0.0020064979702582365,4608
L1,osi_target_t48h,3,0.00929508840063044,0.0022825664924850724,4608
L1,osi_target_t48h,4,0.004877347421659394,0.0018908827821315713,4608
L2,osi_target_t48h,0,0.008531481078928111,0.002370780684597088,4608
L2,osi_target_t48h,1,0.005937714382391317,0.0020862254174235577,4512
L2,osi_target_t48h,2,0.007451494282190643,0.001997686742101487,4608
L2,osi_target_t48h,3,0.008920709406279793,0.0024353753337853657,4608
L2,osi_target_t48h,4,0.004887266787686128,0.0018884976708756827,4608
