horizon,left,right,pearson_error_correlation
osi_target_t24h,lgbm_direct,lgbm_component,0.988412912978017
osi_target_t24h,lgbm_direct,xgboost_direct,0.898079348353558
osi_target_t24h,lgbm_direct,catboost_direct,0.9016798459516352
osi_target_t24h,lgbm_direct,xgboost_component,0.8929397338449614
osi_target_t24h,lgbm_direct,catboost_component,0.9085318127912928
osi_target_t24h,lgbm_component,xgboost_direct,0.8972023076887476
osi_target_t24h,lgbm_component,catboost_direct,0.9047050755563827
osi_target_t24h,lgbm_component,xgboost_component,0.8919293327655305
osi_target_t24h,lgbm_component,catboost_component,0.9131186770340419
osi_target_t24h,xgboost_direct,catboost_direct,0.9397052237841264
osi_target_t24h,xgboost_direct,xgboost_component,0.9935659591900751
osi_target_t24h,xgboost_direct,catboost_component,0.9508441547400834
osi_target_t24h,catboost_direct,xgboost_component,0.9376596212057051
osi_target_t24h,catboost_direct,catboost_component,0.9754860540322433
osi_target_t24h,xgboost_component,catboost_component,0.9509134880205361
osi_target_t48h,lgbm_direct,lgbm_component,0.9904877658861552
osi_target_t48h,lgbm_direct,xgboost_direct,0.9154944039785639
osi_target_t48h,lgbm_direct,catboost_direct,0.9241295902420068
osi_target_t48h,lgbm_direct,xgboost_component,0.9209730024126125
osi_target_t48h,lgbm_direct,catboost_component,0.9205011607971557
osi_target_t48h,lgbm_component,xgboost_direct,0.9088803602154415
osi_target_t48h,lgbm_component,catboost_direct,0.9228004725682435
osi_target_t48h,lgbm_component,xgboost_component,0.9146839271837923
osi_target_t48h,lgbm_component,catboost_component,0.919059860214559
osi_target_t48h,xgboost_direct,catboost_direct,0.9508596655365759
osi_target_t48h,xgboost_direct,xgboost_component,0.9938338741350511
osi_target_t48h,xgboost_direct,catboost_component,0.9402668196773021
osi_target_t48h,catboost_direct,xgboost_component,0.963504373844222
osi_target_t48h,catboost_direct,catboost_component,0.9814007573293156
osi_target_t48h,xgboost_component,catboost_component,0.9517014246053696
