candidate,horizon,fipsCode,rmse,mae,n
L0,osi_target_t01h,18009,0.0061818488746660846,0.0038701306973031088,143
L0,osi_target_t01h,18013,0.028799781886791043,0.012649124321319193,143
L0,osi_target_t01h,18023,0.0024143791465062324,0.0008946860960850927,143
L0,osi_target_t01h,18025,0.012688265865936571,0.002213856437998842,143
L0,osi_target_t01h,18027,0.003960370413690951,0.001783035245535725,143
L0,osi_target_t01h,18029,0.0016501120997140127,0.0005526394541406517,143
L0,osi_target_t01h,18033,0.0033626870282694554,0.0013495878445849467,143
L0,osi_target_t01h,18035,0.0017321084201816488,0.0008799921438947502,143
L0,osi_target_t01h,18037,0.0027173400798464822,0.0011229506781182134,143
L0,osi_target_t01h,18039,0.001609707946469979,0.0011604124875332095,143
L0,osi_target_t01h,18041,0.0051325372976830765,0.0019240187827840242,143
L0,osi_target_t01h,18043,0.0019831495375715984,0.0007311043732803095,143
L0,osi_target_t01h,18045,0.002308932887328099,0.000914061109417392,143
L0,osi_target_t01h,18047,0.0029965452184498695,0.0011803404680582566,143
L0,osi_target_t01h,18051,0.0013820449260508914,0.0005348285016268167,143
L0,osi_target_t01h,18059,0.0011013184141119255,0.00034200924031739754,143
L0,osi_target_t01h,18061,0.0038551255166514816,0.0015797690555353083,143
L0,osi_target_t01h,18065,0.0023049128714928337,0.0008814968256003971,143
L0,osi_target_t01h,18067,0.0016868524923248057,0.0004675596227579286,143
L0,osi_target_t01h,18069,0.0008931292847350294,0.00047019521499772093,143
L0,osi_target_t01h,18071,0.005930609967235611,0.002351797187972306,143
L0,osi_target_t01h,18073,0.002741063108702538,0.0015040887956825166,143
L0,osi_target_t01h,18077,0.004363128757959461,0.0012883105916287583,143
L0,osi_target_t01h,18083,0.0033101034788170242,0.0016200514845991327,143
L0,osi_target_t01h,18085,0.0024753791142657256,0.0018574368912691454,143
L0,osi_target_t01h,18087,0.0029470826257859263,0.002767532725583382,143
L0,osi_target_t01h,18089,0.0023493073682135253,0.0014136895428341328,143
L0,osi_target_t01h,18091,0.0014135958645676734,0.0007969957555683575,143
L0,osi_target_t01h,18093,0.008520580876065026,0.002656370155751376,143
L0,osi_target_t01h,18095,0.0015078250984437113,0.0007243156164041977,143
L0,osi_target_t01h,18097,0.0006760593372194035,0.0003063143812876246,143
L0,osi_target_t01h,18099,0.00874194130693397,0.0027605239929353828,143
L0,osi_target_t01h,18101,0.004036138261889382,0.0028385397851678996,143
L0,osi_target_t01h,18103,0.004347133854096189,0.0025718806352007235,143
L0,osi_target_t01h,18105,0.002226613092880742,0.0008014454220215711,143
L0,osi_target_t01h,18107,0.0005393895332779374,0.00022930570017704608,143
L0,osi_target_t01h,18109,0.0029923013373635674,0.0012372055091793225,143
