horizon,candidate,reference,delta_rmse,ci_2_5,ci_97_5,improvement_probability,replicates,unit
osi_target_t24h,L1,L0,-0.00015755608730123015,-0.0006127797443141879,0.0001898802050775756,0.8,2000,county_full_trajectory
osi_target_t24h,L2,L0,-0.00017682338099399113,-0.0003184395913971095,-6.980377414629006e-05,1.0,2000,county_full_trajectory
osi_target_t24h,L2,L1,-1.926729369276098e-05,-0.00034161547361548236,0.00040676306212195296,0.562,2000,county_full_trajectory
osi_target_t48h,L1,L0,-5.208269500820654e-05,-0.00028225222482449976,0.00019990408807389322,0.695,2000,county_full_trajectory
osi_target_t48h,L2,L0,-7.287970593624314e-05,-0.00016394558774956706,8.397168474232877e-06,0.957,2000,county_full_trajectory
osi_target_t48h,L2,L1,-2.0797010928036604e-05,-0.00024969833884892236,0.00018719461003900546,0.5515,2000,county_full_trajectory
