candidate,horizon,target_day,rmse,mae,n
L0,osi_target_t01h,2026-03-14,0.019831473461568053,0.006421299583684997,5497
L0,osi_target_t01h,2026-03-15,0.01083386383525675,0.00482665506505816,5736
L0,osi_target_t01h,2026-03-16,0.008899516762695245,0.004240204654162589,5736
L0,osi_target_t01h,2026-03-17,0.008471076276577462,0.0031972718013691384,5736
L0,osi_target_t01h,2026-03-18,0.005626235131006496,0.0008265384405172566,5736
L0,osi_target_t01h,2026-03-19,0.0017652217478741049,0.0003484843608150107,5736
L1,osi_target_t01h,2026-03-14,0.019831473461568053,0.006421299583684997,5497
L1,osi_target_t01h,2026-03-15,0.01083386383525675,0.00482665506505816,5736
L1,osi_target_t01h,2026-03-16,0.008899516762695245,0.004240204654162589,5736
L1,osi_target_t01h,2026-03-17,0.008471076276577462,0.0031972718013691384,5736
L1,osi_target_t01h,2026-03-18,0.005626235131006496,0.0008265384405172566,5736
L1,osi_target_t01h,2026-03-19,0.0017652217478741049,0.0003484843608150107,5736
L2,osi_target_t01h,2026-03-14,0.019831473461568053,0.006421299583684997,5497
L2,osi_target_t01h,2026-03-15,0.01083386383525675,0.00482665506505816,5736
L2,osi_target_t01h,2026-03-16,0.008899516762695245,0.004240204654162589,5736
L2,osi_target_t01h,2026-03-17,0.008471076276577462,0.0031972718013691384,5736
L2,osi_target_t01h,2026-03-18,0.005626235131006496,0.0008265384405172566,5736
L2,osi_target_t01h,2026-03-19,0.0017652217478741049,0.0003484843608150107,5736
L0,osi_target_t06h,2026-03-14,0.017794613880361264,0.006289705081350098,4302
L0,osi_target_t06h,2026-03-15,0.01083386383525675,0.00482665506505816,5736
L0,osi_target_t06h,2026-03-16,0.008899516762695245,0.004240204654162589,5736
L0,osi_target_t06h,2026-03-17,0.008471076276577462,0.0031972718013691384,5736
L0,osi_target_t06h,2026-03-18,0.005626235131006496,0.0008265384405172566,5736
L0,osi_target_t06h,2026-03-19,0.0017652217478741049,0.0003484843608150107,5736
L1,osi_target_t06h,2026-03-14,0.017794613880361264,0.006289705081350098,4302
L1,osi_target_t06h,2026-03-15,0.01083386383525675,0.00482665506505816,5736
L1,osi_target_t06h,2026-03-16,0.008899516762695245,0.004240204654162589,5736
L1,osi_target_t06h,2026-03-17,0.008471076276577462,0.0031972718013691384,5736
L1,osi_target_t06h,2026-03-18,0.005626235131006496,0.0008265384405172566,5736
L1,osi_target_t06h,2026-03-19,0.0017652217478741049,0.0003484843608150107,5736
L2,osi_target_t06h,2026-03-14,0.017794613880361264,0.006289705081350098,4302
L2,osi_target_t06h,2026-03-15,0.01083386383525675,0.00482665506505816,5736
L2,osi_target_t06h,2026-03-16,0.008899516762695245,0.004240204654162589,5736
L2,osi_target_t06h,2026-03-17,0.008471076276577462,0.0031972718013691384,5736
L2,osi_target_t06h,2026-03-18,0.005626235131006496,0.0008265384405172566,5736
L2,osi_target_t06h,2026-03-19,0.0017652217478741049,0.0003484843608150107,5736
L0,osi_target_t24h,2026-03-15,0.011522118275162656,0.005183018540882375,5736
L0,osi_target_t24h,2026-03-16,0.009252042746389712,0.004424954999078151,5736
L0,osi_target_t24h,2026-03-17,0.008598602276953159,0.003270667270174868,5736
L0,osi_target_t24h,2026-03-18,0.005694385366381572,0.0008481704483433876,5736
L0,osi_target_t24h,2026-03-19,0.0017088750596605075,0.0003637331875313138,5736
L1,osi_target_t24h,2026-03-15,0.010735109688155981,0.004703936757994314,5736
L1,osi_target_t24h,2026-03-16,0.009180096570335186,0.00415835889950078,5736
L1,osi_target_t24h,2026-03-17,0.009245721919499957,0.0032547658990225636,5736
L1,osi_target_t24h,2026-03-18,0.0053672210846231125,0.0006428420058518575,5736
L1,osi_target_t24h,2026-03-19,0.0010975315075345286,0.00024046503877468424,5736
L2,osi_target_t24h,2026-03-15,0.011222612258318956,0.0048577480574820316,5736
L2,osi_target_t24h,2026-03-16,0.009043138442578341,0.004228730761948866,5736
L2,osi_target_t24h,2026-03-17,0.008495678548408655,0.003151211681004623,5736
L2,osi_target_t24h,2026-03-18,0.005618385775138361,0.000687363265801669,5736
L2,osi_target_t24h,2026-03-19,0.0014198966519577603,0.00026477543513611044,5736
L0,osi_target_t48h,2026-03-16,0.00938283107875312,0.004299297116050987,5736
L0,osi_target_t48h,2026-03-17,0.009510544607851758,0.00344729225038862,5736
L0,osi_target_t48h,2026-03-18,0.005777937295531412,0.000925580970915304,5736
L0,osi_target_t48h,2026-03-19,0.002518288602800555,0.00045487692695196543,5736
L1,osi_target_t48h,2026-03-16,0.009273407531473704,0.004040861692864826,5736
L1,osi_target_t48h,2026-03-17,0.009915498109844843,0.0033871619656108383,5736
L1,osi_target_t48h,2026-03-18,0.005416498764250471,0.000716062087548464,5736
L1,osi_target_t48h,2026-03-19,0.0012231261199291204,0.0002432041091492555,5736
L2,osi_target_t48h,2026-03-16,0.00927288199344624,0.004099853352408336,5736
L2,osi_target_t48h,2026-03-17,0.009416383954402644,0.0033467577979334026,5736
L2,osi_target_t48h,2026-03-18,0.0057493067220419115,0.0007931056965340136,5736
L2,osi_target_t48h,2026-03-19,0.0024940060921565033,0.00038429880708523815,5736
