horizon,candidate,reference,delta_rmse,delta_mae,rmse_change_pct
osi_target_t24h,L1,L0,-0.00015755608730123015,-0.0002180351689731793,-1.9463483650340119
osi_target_t24h,L2,L0,-0.0001768233809939894,-0.00018014304892735892,-2.184364339027034
osi_target_t24h,L2,L1,-1.9267293692759244e-05,3.789212004582038e-05,-0.2427405507335001
osi_target_t48h,L1,L0,-5.208269500820654e-05,-0.0001849393522833729,-0.7051505127161906
osi_target_t48h,L2,L0,-7.287970593624401e-05,-0.0001257579025864715,-0.9867224036592126
osi_target_t48h,L2,L1,-2.079701092803747e-05,5.918144969690141e-05,-0.28357149680667826
