split_seed,start,end,candidate_count,source_a,source_b,n,cross_mean,weight,weighted_cross_mean,correlation,source_a_bias,source_b_bias,aligned_mse
20260918,73,77,1,1,1,1195,0.00014091506409188612,1.0,0.00014091506409188612,1.0,-0.00020281443883957636,-0.00020281443883957636,0.00014091506409188612
20260918,78,95,2,1,1,4302,1.236998890713952e-05,0.25,3.09249722678488e-06,1.0,3.9666850059310725e-05,3.9666850059310725e-05,1.1929410710036461e-05
20260918,78,95,2,1,6,4302,1.1787996890415382e-05,0.25,2.9469992226038454e-06,0.9769751977341635,3.9666850059310725e-05,-1.159032110935933e-05,1.1929410710036461e-05
20260918,78,95,2,6,1,4302,1.1787996890415382e-05,0.25,2.9469992226038454e-06,0.9769751977341635,-1.159032110935933e-05,3.9666850059310725e-05,1.1929410710036461e-05
20260918,78,95,2,6,6,4302,1.1771660152175547e-05,0.25,2.942915038043887e-06,0.9999999999999999,-1.159032110935933e-05,-1.159032110935933e-05,1.1929410710036461e-05
20260918,96,119,3,1,1,5736,2.4185504964168112e-05,0.1111111111111111,2.6872783293520126e-06,1.0,-7.892056695158376e-06,-7.892056695158376e-06,2.3742463472726937e-05
20260918,96,119,3,1,6,5736,2.3589953412637092e-05,0.1111111111111111,2.6211059347374547e-06,0.9703352220107977,-7.892056695158376e-06,-8.520107386995728e-05,2.3742463472726937e-05
20260918,96,119,3,1,24,5736,2.3308368651649827e-05,0.1111111111111111,2.589818739072203e-06,0.9694246342521707,-7.892056695158376e-06,-1.8054483591543448e-05,2.3742463472726937e-05
20260918,96,119,3,6,1,5736,2.3589953412637092e-05,0.1111111111111111,2.6211059347374547e-06,0.9703352220107978,-8.520107386995728e-05,-7.892056695158376e-06,2.3742463472726937e-05
20260918,96,119,3,6,6,5736,2.4443352523244723e-05,0.1111111111111111,2.7159280581383023e-06,1.0,-8.520107386995728e-05,-8.520107386995728e-05,2.3742463472726937e-05
20260918,96,119,3,6,24,5736,2.3677115120944082e-05,0.1111111111111111,2.630790568993787e-06,0.9796400472630412,-8.520107386995728e-05,-1.8054483591543448e-05,2.3742463472726937e-05
20260918,96,119,3,24,1,5736,2.3308368651649827e-05,0.1111111111111111,2.589818739072203e-06,0.9694246342521708,-1.8054483591543448e-05,-7.892056695158376e-06,2.3742463472726937e-05
20260918,96,119,3,24,6,5736,2.3677115120944082e-05,0.1111111111111111,2.630790568993787e-06,0.9796400472630413,-1.8054483591543448e-05,-8.520107386995728e-05,2.3742463472726937e-05
20260918,96,119,3,24,24,5736,2.3902439396667576e-05,0.1111111111111111,2.6558265996297305e-06,0.9999999999999998,-1.8054483591543448e-05,-1.8054483591543448e-05,2.3742463472726937e-05
20260918,120,215,4,1,1,22944,1.187784390053305e-05,0.0625,7.423652437833156e-07,0.9999999999999999,8.65357924682471e-05,8.65357924682471e-05,1.1722995291378543e-05
20260918,120,215,4,1,6,22944,1.1637602778059523e-05,0.0625,7.273501736287202e-07,0.9734477976030171,8.65357924682471e-05,4.1208956180891303e-05,1.1722995291378543e-05
20260918,120,215,4,1,24,22944,1.1512356983267807e-05,0.0625,7.195223114542379e-07,0.9710568582396745,8.65357924682471e-05,4.678130513216276e-05,1.1722995291378543e-05
20260918,120,215,4,1,48,22944,1.1595157586898334e-05,0.0625,7.246973491811459e-07,0.9694992392931545,8.65357924682471e-05,2.112393801598514e-05,1.1722995291378543e-05
20260918,120,215,4,6,1,22944,1.1637602778059523e-05,0.0625,7.273501736287202e-07,0.9734477976030173,4.1208956180891303e-05,8.65357924682471e-05,1.1722995291378543e-05
20260918,120,215,4,6,6,22944,1.2034639619837335e-05,0.0625,7.521649762398334e-07,0.9999999999999999,4.1208956180891303e-05,4.1208956180891303e-05,1.1722995291378543e-05
20260918,120,215,4,6,24,22944,1.1670985284891335e-05,0.0625,7.294365803057085e-07,0.9779460465857658,4.1208956180891303e-05,4.678130513216276e-05,1.1722995291378543e-05
20260918,120,215,4,6,48,22944,1.1778307379873543e-05,0.0625,7.361442112420964e-07,0.978218867635496,4.1208956180891303e-05,2.112393801598514e-05,1.1722995291378543e-05
20260918,120,215,4,24,1,22944,1.1512356983267807e-05,0.0625,7.195223114542379e-07,0.9710568582396745,4.678130513216276e-05,8.65357924682471e-05,1.1722995291378543e-05
20260918,120,215,4,24,6,22944,1.1670985284891335e-05,0.0625,7.294365803057085e-07,0.9779460465857657,4.678130513216276e-05,4.1208956180891303e-05,1.1722995291378543e-05
20260918,120,215,4,24,24,22944,1.183451005836745e-05,0.0625,7.396568786479656e-07,0.9999999999999999,4.678130513216276e-05,4.678130513216276e-05,1.1722995291378543e-05
20260918,120,215,4,24,48,22944,1.1692626624146839e-05,0.0625,7.307891640091774e-07,0.9792905077240772,4.678130513216276e-05,2.112393801598514e-05,1.1722995291378543e-05
20260918,120,215,4,48,1,22944,1.1595157586898334e-05,0.0625,7.246973491811459e-07,0.9694992392931545,2.112393801598514e-05,8.65357924682471e-05,1.1722995291378543e-05
20260918,120,215,4,48,6,22944,1.1778307379873543e-05,0.0625,7.361442112420964e-07,0.9782188676354959,2.112393801598514e-05,4.1208956180891303e-05,1.1722995291378543e-05
20260918,120,215,4,48,24,22944,1.1692626624146839e-05,0.0625,7.307891640091774e-07,0.9792905077240772,2.112393801598514e-05,4.678130513216276e-05,1.1722995291378543e-05
20260918,120,215,4,48,48,22944,1.204685780904413e-05,0.0625,7.529286130652581e-07,0.9999999999999999,2.112393801598514e-05,2.112393801598514e-05,1.1722995291378543e-05
