horizon,P_squared_reduction,P_other_cross_reduction,postprocess_precision_remainder,OSI_sse_reduction
1,-0.0007835287342204387,-0.0004903097184463768,-2.3992115605598035e-05,-0.0012978305682724135
6,-0.0007835287342204385,-0.0004903097184463768,-2.399211560559912e-05,-0.0012978305682724144
24,-0.005721256967590646,0.00011882686301790154,0.0002529749789900971,-0.005349455125582647
48,0.0,0.0,0.0,0.0
