group,n,rmse,sse,mae,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction,truth_mean,W0_mean,W1_mean
no_high,5763,0.0012406146315683375,0.008869975438986087,0.0003406327598766544,9.879482832155013e-06,0.0012637146577456205,-2.310002617728307e-05,-1.8279463671404983,0.00033338996574103046,0.00019427381572097865,0.00022124778407397574,0.00020415329855313368
active_high,4995,0.011073801881936846,0.6125322951613383,0.005667754278030252,0.00041545592051389857,0.011045357470189476,2.8444411747369572e-05,0.25752368652747215,-0.003142686548207374,0.006328008008008008,0.00663414472686437,0.006743463928521907
post_high_1_6,4257,0.01212486322010556,0.6258313956083853,0.0051451470321984315,-0.000453080359868067,0.012092719679202108,3.214354090345234e-05,0.26580903019470803,-0.003313814254718772,0.005434836739487902,0.004881556508120369,0.004981756379619836
post_high_7plus,13665,0.007644440910467314,0.798548120931504,0.002042675503847718,-0.000156503084707438,0.00764814308786825,-3.70217740093548e-06,-0.048406225647212864,0.0007736557116027054,0.00249589462129528,0.0023506835075119466,0.002339391536587842
multiple_segments,19102,0.009712812171484151,1.8020582347604925,0.0035976151691679763,-5.6089721680374834e-05,0.009692598553171646,2.021361831250519e-05,0.20854694643150928,-0.007492827609815622,0.003961736990891006,0.0038539040084096337,0.003905647269210631
