horizon,space,n,rmse,sse,mae,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
1,source,34177,0.017861487700620824,10.903582053390243,0.005219315121071696,2.7250338117868578e-05,0.017861487700620824,0.0,0.0,0.0
1,aligned,34177,0.017495281485936254,10.461062747999062,0.005113561206886521,3.746718587358524e-05,0.017491186042694642,4.095443241612651e-06,0.023414325544401926,-0.0048970545888771255
6,source,32982,0.016247431187159732,8.706556043625927,0.005153770877592177,0.00015903789504835344,0.016247431187159732,0.0,0.0,0.0
6,aligned,32982,0.015684951247131526,8.114155637100215,0.004872815899081059,7.429404114694228e-05,0.015680217442499467,4.733804632058719e-06,0.03018966190626582,-0.004897054588878902
24,source,28680,0.013583135308647564,5.291504878837648,0.004366861151846143,9.909337188721346e-05,0.013537162835787092,4.597247286047129e-05,0.3396019787760718,-0.03575785604744208
24,aligned,28680,0.013395230140184271,5.146115223783813,0.004234243639685727,0.00011688579404687616,0.013388855157949416,6.374982234855914e-06,0.0476140951533921,-0.0048970545888771255
48,source,22944,0.01234645607437439,3.4974681259730933,0.0034840596165209028,1.7980149336858274e-06,0.01234645607437439,0.0,0.0,0.0
48,aligned,22944,0.012336160837747507,3.491637748543804,0.003455099517306971,8.615793108126643e-05,0.012333810139773057,2.3506979744507273e-06,0.01905897648668553,-0.001330560436106687
