horizon,fipsCode,countyName,stateAbbr,fold,n,rmse,sse,mae,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
1,18009,Blackford County,IN,0,143,0.005920638758067474,0.005012716752404899,0.0032529314821624715,0.0012335692139109262,0.005878362949702138,4.227580836533608e-05,0.7191765586280763,-7.133016391929186e-05
1,18013,Brown County,IN,1,143,0.0287353325832989,0.11807786543021033,0.013015094157807508,-0.008802389769658126,0.028703057474194202,3.2275109104699246e-05,0.11244484715162706,-0.0002650977337442656
1,18023,Clinton County,IN,3,143,0.001834664566788505,0.0004813371523859831,0.0007365475471037158,0.0006903937009498696,0.0018204336337540904,1.4230933034414545e-05,0.7817331415190143,-7.4382104548366824e-06
1,18025,Crawford County,IN,2,143,0.011895884550698033,0.02023622590182567,0.0021930418413943307,-0.001519336836133964,0.01184989873863019,4.598581206784365e-05,0.38806924077698923,-0.0001561515852677893
1,18027,Daviess County,IN,2,143,0.004298446552875021,0.0026421599158130103,0.0017255646299024216,0.0017185716229094145,0.004307063902533763,-8.61734965874189e-06,-0.20007480394410582,1.0604407039828921e-05
1,18029,Dearborn County,IN,1,143,0.0014181378326845824,0.0002875894324862594,0.0004337767302219952,-9.051828878225877e-05,0.0013474293754659344,7.070845721864798e-05,5.247655907323323,-2.7963505659061325e-05
1,18033,DeKalb County,IN,1,143,0.003321405704421995,0.0015775382270314768,0.0013074544848951683,-0.0010005175383644201,0.0033225441643735306,-1.1384599515355462e-06,-0.03426470485307087,1.0816335309254185e-06
1,18035,Delaware County,IN,1,143,0.0018743820711586891,0.0005024030652614026,0.0008857187712590772,-0.0003950698662622448,0.0019128299496315709,-3.8447878472881725e-05,-2.0099998162558697,2.0822268256272432e-05
1,18037,Dubois County,IN,3,143,0.002596413598210016,0.000964014990934693,0.001031423238089463,0.0006803742870405119,0.0023683682249262005,0.0002280453732838154,9.62879719816041,-0.00016190395995056145
1,18039,Elkhart County,IN,4,143,0.0015560277204747727,0.00034623478416468615,0.0011054363659725231,0.0010473552844838933,0.0015757974308356377,-1.976971036086496e-05,-1.254584502678191,8.853884488345919e-06
