horizon,fold,n,rmse,sse,mae,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
1,0,6864,0.006463533336287659,0.28675913453136803,0.0026238365176772882,0.0001525859307290123,0.006479607930654,-1.6074594366341337e-05,-0.2480797378232591,0.0014280946384322424
1,1,6721,0.009497162617903673,0.6062079732526855,0.0032901715249182375,-0.0005042910506356744,0.009481489999115742,1.567261878793018e-05,0.1652970027853362,-0.00199912910569211
1,2,6864,0.012487198724344912,1.070304425919514,0.0038321151176813274,-0.0005892364036638239,0.01248928281901675,-2.084094671837497e-06,-0.01668706443787027,0.0003572942088541087
1,3,6864,0.015268228097490387,1.6001273693227331,0.003530701468123355,0.00032260249650811664,0.015263495703562108,4.732393928279233e-06,0.031004653325750198,-0.0009917666227221567
1,4,6864,0.008136354093970033,0.4543985705170655,0.002878607322061519,1.3803129509471632e-05,0.008135527488850472,8.26605119561008e-07,0.010160436685802132,-9.232368714423567e-05
6,0,6624,0.006371433209686767,0.2689023474277882,0.002544786014524323,0.00015224016680939702,0.006388329605056966,-1.6896395370199005e-05,-0.26448847217939164,0.0014280946384322979
6,1,6486,0.009192311121953857,0.5480578142854986,0.003167461360229318,-0.00045722713769840985,0.009175530588236936,1.678053371692058e-05,0.18288352434281396,-0.001999129105692221
6,2,6624,0.01253713737067473,1.0411590843005427,0.003771015188946028,-0.0007344655298229514,0.012539288368735009,-2.150998060277895e-06,-0.017154068054137106,0.00035729420885455276
6,3,6624,0.012038095836457886,0.9599219370599409,0.003254816862397258,0.00047318755554331623,0.012031875504081455,6.220332376431423e-06,0.05169877609123574,-0.0009917666227223787
6,4,6624,0.007979286499681331,0.4217435424034345,0.0027839987666858474,4.211608499176036e-05,0.007978413080888645,8.734187926864867e-07,0.010947274650119354,-9.232368714418016e-05
24,0,5760,0.004502694683287937,0.11677973420683849,0.0020019930117216272,0.0003303820694965203,0.0045851814325180325,-8.248674923009517e-05,-1.798985502407835,0.00431786510322428
24,1,5640,0.008766248762790647,0.43341774197316507,0.002852653398244811,-0.0005163049438361944,0.00870754418220506,5.870458058558799e-05,0.674180680076919,-0.005785465109465149
24,2,5760,0.012961075185542225,0.9676193470000036,0.003813746205348662,-0.0009164211555721905,0.01297325098916932,-1.2175803627095111e-05,-0.09385314164707115,0.0018188424731768738
24,3,5760,0.006113193049945311,0.21525770457158203,0.0028225532159609516,0.0010947228407090393,0.006039680323082008,7.351272686330346e-05,1.217162547202344,-0.005145931358643885
24,4,5760,0.007368137807816132,0.31270725938862437,0.0024729203662703777,-0.00033911432385571894,0.0073615990907342655,6.538717081866485e-06,0.08882196654931285,-0.0005547662338749038
48,0,4608,0.0036632306388987446,0.06183594415303605,0.0015956445257807718,0.0004560453424232713,0.0036632306388987446,0.0,0.0,0.0
48,1,4512,0.005855181393125153,0.15468556894855234,0.0019970723373512436,-0.00027187300705922685,0.005855181393125153,0.0,0.0,0.0
48,2,4608,0.013066410316828946,0.7867288100401179,0.0032591786642496433,-0.001280845725181886,0.013066410316828946,0.0,0.0,0.0
48,3,4608,0.0053724652793763,0.13300246968470258,0.002168728024357481,0.0005056889175742389,0.0053724652793763,0.0,0.0,0.0
48,4,4608,0.006925166870368426,0.22099016992872228,0.0021494377477357354,-0.00019436995091425306,0.006925166870368426,0.0,0.0,0.0
