case,horizon,n,rmse,sse,mae,bias
W0,1,34177,0.010840689291401098,4.016499642975094,0.003227290776446228,-0.0001234873431378002
W1,1,34177,0.010842440597617511,4.017797473543366,0.003230839171954998,-0.00011930306289499328
W0,6,32982,0.009909062742500467,3.2384868949089327,0.003100474888362688,-0.00010769119066969052
W1,6,32982,0.009911048082685387,3.2397847254772048,0.0031041518489261246,-0.00010335530607026019
W0,24,28680,0.008434736596420678,2.040432332014631,0.002779739911447673,-9.257391647402344e-05
W1,24,28680,0.008445786144358721,2.0457817871402137,0.0027925226949120662,-6.74769861212298e-05
W0,48,22944,0.007691202257793633,1.357242962755131,0.0022350036403240283,-0.0001565905410230873
W1,48,22944,0.007691202257793633,1.357242962755131,0.0022350036403240283,-0.0001565905410230873
