case,reference,horizon,n,rmse,sse,mae,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
W1,W0,1,34177,0.010842440597617511,4.017797473543366,0.003230839171954998,-0.00011930306289499328,0.010840689291401098,1.7513062164128262e-06,0.016154934149814615,-0.0012978305682720404
W1,W0,6,32982,0.009911048082685387,3.2397847254772048,0.0031041518489261246,-0.00010335530607026019,0.009909062742500467,1.985340184919651e-06,0.020035600101753204,-0.0012978305682720404
W1,W0,24,28680,0.008445786144358721,2.0457817871402137,0.0027925226949120662,-6.74769861212298e-05,0.008434736596420678,1.1049547938042983e-05,0.13100050975785038,-0.005349455125582825
W1,W0,48,22944,0.007691202257793633,1.357242962755131,0.0022350036403240283,-0.0001565905410230873,0.007691202257793633,0.0,0.0,0.0
