horizon,group,n,rmse,sse,mae,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
1,all,34177,0.010842440597617511,4.017797473543366,0.003230839171954998,-0.00011930306289499328,0.010840689291401098,1.7513062164128262e-06,0.016154934149814615,-0.0012978305682720404
1,pre96,5497,0.01921742834940514,2.0300946093477683,0.006060834094438885,-0.00031244691554311633,0.01921742834940514,0.0,0.0,0.0
1,from96,28680,0.008325036729526404,1.9877028641955985,0.0026884234784789202,-8.228382447076972e-05,0.00832231845317753,2.7182763488731165e-06,0.032662488994694705,-0.0012978305682722624
1,test_like,23317,0.011907471674589915,3.3060680371596347,0.003280616519079564,-0.00044361587980691814,0.011906475211728657,9.964628612576382e-07,0.008369083574599756,-0.0005533057332280933
1,not_test_like,10860,0.008095479016967173,0.7117294363837319,0.0031239645492198713,0.0005770138755889247,0.008091243655922791,4.235361044381894e-06,0.05234499447166474,-0.0007445248350442801
1,all_except_Forest,34034,0.008983690530813295,2.746771676465248,0.0031016978932105715,-1.0496710112839903e-05,0.008981369097641946,2.3214331713490577e-06,0.02584720821638964,-0.0014193772610915367
1,test_like_except_Forest,23174,0.009371005929969955,2.0350422400815162,0.0030912631005868985,-0.00028582099425546376,0.009369452013707842,1.5539162621126812e-06,0.01658492150702351,-0.0006748524260471456
6,all,32982,0.009911048082685387,3.2397847254772048,0.0031041518489261246,-0.00010335530607026019,0.009909062742500467,1.985340184919651e-06,0.020035600101753204,-0.0012978305682720404
6,pre96,4302,0.017060083755936113,1.2520818612816065,0.005875674318574152,-0.00024383185006686368,0.017060083755936113,0.0,0.0,0.0
6,from96,28680,0.008325036729526404,1.9877028641955985,0.0026884234784789202,-8.228382447076972e-05,0.00832231845317753,2.7182763488731165e-06,0.032662488994694705,-0.0012978305682722624
6,test_like,22578,0.0106026722606956,2.5381433284310706,0.0031277534729209013,-0.0003681840907652349,0.01060151652629748,1.1557343981196538e-06,0.010901595024193078,-0.0005533057332285374
6,not_test_like,10404,0.008212160534627602,0.7016413970461349,0.003052933330418429,0.0004713567566789842,0.008207802339461214,4.3581951663877044e-06,0.05309819835006557,-0.0007445248350442801
6,all_except_Forest,32844,0.008861112451072886,2.5788883447646382,0.003017767701756147,-3.898183393625556e-05,0.008858673610980824,2.4388400920623277e-06,0.027530533341235675,-0.0014193772610915367
6,test_like_except_Forest,22440,0.009146380764686376,1.8772469477185036,0.0030014636375581796,-0.00027559336231241225,0.009144736598453808,1.6441662325679396e-06,0.01797937223086965,-0.0006748524260475897
24,all,28680,0.008445786144358721,2.0457817871402137,0.0027925226949120662,-6.74769861212298e-05,0.008434736596420678,1.1049547938042983e-05,0.13100050975785038,-0.005349455125582825
24,pre96,0,,0.0,,,,,,0.0
24,from96,28680,0.008445786144358721,2.0457817871402137,0.0027925226949120662,-6.74769861212298e-05,0.008434736596420678,1.1049547938042983e-05,0.13100050975785038,-0.005349455125582825
24,test_like,19752,0.008737734602352259,1.5080258141395562,0.002793954435078046,-0.00027176371405679276,0.008729226744593158,8.507857759101206e-06,0.09746404816866061,-0.002935274059659987
24,not_test_like,8928,0.007760961529192147,0.5377559730006574,0.002789355162233029,0.00038447994154266373,0.007743521051321531,1.7440477870615985e-05,0.22522671217688472,-0.002414181065922727
24,all_except_Forest,28560,0.008441993089811384,2.0353925836997657,0.0027810925155068588,-6.675381649013928e-05,0.00843035021217528,1.1642877636103624e-05,0.13810669003155862,-0.005610401469942072
24,test_like_except_Forest,19632,0.00873415613726184,1.4976366106991081,0.002777334930443124,-0.0002719603665979666,0.008724831045199229,9.325092062612006e-06,0.1068799156602962,-0.0031962204040192344
48,all,22944,0.007691202257793633,1.357242962755131,0.0022350036403240283,-0.0001565905410230873,0.007691202257793633,0.0,0.0,0.0
48,pre96,0,,0.0,,,,,,0.0
48,from96,22944,0.007691202257793633,1.357242962755131,0.0022350036403240283,-0.0001565905410230873,0.007691202257793633,0.0,0.0,0.0
48,test_like,16008,0.008507866544396744,1.1587197605413444,0.002355098459429913,-0.00040273058079918475,0.008507866544396744,0.0,0.0,0.0
48,not_test_like,6936,0.005349966882878165,0.1985232022137866,0.0019578297844637335,0.0004114904504324736,0.005349966882878165,0.0,0.0,0.0
48,all_except_Forest,22848,0.007693970652084993,1.352537269060277,0.002222268011495333,-0.00016230157973116252,0.007693970652084993,0.0,0.0,0.0
48,test_like_except_Forest,15912,0.008516147332423101,1.1540140668464904,0.0023375359566116705,-0.00041241605441787567,0.008516147332423101,0.0,0.0,0.0
