outer_fold,feature,is_new,gain,split_count
0,last_osi,False,3.799190095276572,97
0,last_P_t,False,1.5912464842986083,55
0,last_N_t,False,0.41152500302996486,74
0,last_D_t,False,0.8464240927423816,43
0,last_R_t,False,0.11270378182234708,38
0,last_outage_pct,False,0.18330319767119363,11
0,osi_mean_72h,False,0.06153785137576051,20
0,osi_max_72h,False,0.0976588879711926,15
0,osi_std_72h,False,0.0053975167975295335,3
0,outage_pct_mean_72h,False,0.1527315502462443,11
0,outage_pct_max_72h,False,0.052462425926933065,11
0,N_t_mean_72h,False,0.07070496547385119,24
0,N_t_max_72h,False,0.017436160007491708,16
0,R_t_mean_72h,False,0.12659580062609166,36
0,R_t_max_72h,False,0.11782630848756526,56
0,pre_event_mean_osi,False,0.12606356048490852,46
0,pre_event_max_outage_pct,False,0.07745666781556793,25
0,storm_onset_max_osi,False,0.06286747271951754,20
0,storm_onset_mean_osi,False,0.094720062072156,27
0,osi_trend_last6h,False,0.14037618260772433,52
0,is_worsening,False,0.0,0
0,frac_zero_72h,False,0.10261455661384389,39
0,hours_since_peak,False,0.15196666156407446,51
0,gust_mean_obs,False,0.16600125283002853,43
0,gust_max_obs,False,0.0475666462443769,32
0,gust_gt30_obs,False,0.05176919573568739,19
0,gust_gt40_obs,False,0.018320596020203084,8
0,cumul_gust_obs,False,0.011450589983724058,8
0,gust_last_obs,False,0.22984155308222398,62
0,gust_max_last6h_obs,False,0.17095707901171409,35
0,gust_trend_last6h_obs,False,0.081126221222803,45
0,gust_t,False,0.007956579007441178,7
0,wind_speed_t,False,0.04684914318204392,28
0,wind_sin_t,False,0.14611344189324882,58
0,wind_cos_t,False,0.12959516236151103,26
0,t2m_t,False,0.10352035317919217,24
0,d2m_t,False,1.0377616776968352,43
0,tp_t,False,0.001884810975752771,2
0,rain_t,False,0.010279843991156667,5
0,csnow_t,False,0.0,0
0,sdwe_t,False,0.002051499905064702,1
0,r2_t,False,0.019995331211248413,25
0,vpd_t,False,0.062250616945675574,40
0,soil_moist_t,False,0.42854521339177154,117
0,blh_t,False,0.022983752947766334,23
0,tcc_t,False,0.011622950085438788,11
0,lcc_t,False,0.026352941582445055,9
0,mcc_t,False,0.07600320159690455,32
0,hcc_t,False,0.040360274841077626,8
0,sp_t,False,1.1387961734872079,81
0,mslma_t,False,3.4214060186350252,67
0,sdswrf_t,False,0.06924516736762598,26
0,direct_rad_t,False,0.015715154819190502,14
0,diffuse_rad_t,False,0.12237889828975312,33
0,et0_t,False,0.04624865186633542,28
0,temp_c_t,False,0.015560550993541256,5
0,dewpoint_c_t,False,0.13805872309603728,24
0,icing_risk_t,False,0.0,0
0,gust_exceed_30,False,0.025587620213627815,5
0,soil_moist_x_gust,False,0.08740385551936924,16
0,is_snowing,False,0.0,0
0,gust_x_hso,False,1.612876492086798,37
0,gust_x_phase,False,0.016525353828910738,9
0,soil_gust_x_phase,False,0.021057169971754774,10
0,gust_exceed30_x_hso,False,0.007549426984041929,6
0,gust_max_next_1h,False,0.018599302959046327,13
0,gust_mean_next_1h,False,0.010198736883467063,6
0,wind_speed_max_next_1h,False,0.11224953486816958,39
0,total_tp_next_1h,False,0.005131499085109681,7
0,min_t2m_next_1h,False,0.028787033399567008,15
0,gust_gt30_next_1h,False,0.001059680012986064,1
0,gust_gt40_next_1h,False,0.0,0
0,gust_peak4h_mean_next_1h,False,0.02545479976106435,4
0,gust_max_next_6h,False,0.08507110369100701,39
0,gust_mean_next_6h,False,0.07732748833950609,29
0,wind_speed_max_next_6h,False,0.214372252827161,68
0,total_tp_next_6h,False,0.04120846951263957,22
0,min_t2m_next_6h,False,0.17397813638672233,50
0,gust_gt30_next_6h,False,0.00036862900014966726,1
0,gust_gt40_next_6h,False,0.0023069539456628263,2
0,gust_peak4h_mean_next_6h,False,0.04988936090376228,27
0,gust_max_next_24h,False,0.320163411917747,91
0,gust_mean_next_24h,False,0.22709017354645766,47
0,wind_speed_max_next_24h,False,0.3506283266178798,113
0,total_tp_next_24h,False,2.474400211722241,138
0,min_t2m_next_24h,False,0.41502259657136165,152
0,gust_gt30_next_24h,False,0.03274674771819264,19
0,gust_gt40_next_24h,False,0.007745361013803631,6
0,gust_peak4h_mean_next_24h,False,0.16514458012534305,59
0,gust_max_next_48h,False,0.1568503910821164,49
0,gust_mean_next_48h,False,0.04515589510265272,21
0,wind_speed_max_next_48h,False,2.1534893218777142,66
0,total_tp_next_48h,False,1.0265213938982924,111
0,min_t2m_next_48h,False,1.6629762718366692,69
0,gust_gt30_next_48h,False,0.14039518518256955,37
0,gust_gt40_next_48h,False,0.007748461153823882,6
0,gust_peak4h_mean_next_48h,False,0.10322050962713547,32
0,gust_change_1h,False,0.03510570342768915,40
0,gust_change_3h,False,0.011620624951319769,21
0,pressure_change_3h,False,0.07023354002740234,18
0,pressure_change_6h,False,0.06498354993527755,46
0,temp_change_6h,False,0.10649527728674002,48
0,wind_change_1h,False,0.010638440027832985,14
0,cumul_gust_since_onset,False,3.8442729553062236,94
0,cumul_tp_since_onset,False,0.752484011100023,76
0,gust_gt30_since_onset,False,0.23540577830863185,60
0,gust_at_t1h,False,0.009272256051190197,9
0,wind_speed_at_t1h,False,0.08216846073628403,32
0,t2m_at_t1h,False,0.026336147013353184,17
0,tp_at_t1h,False,0.0,0
0,gust_at_t6h,False,0.0579921890021069,36
0,wind_speed_at_t6h,False,0.09537570942484308,34
0,t2m_at_t6h,False,0.1241574081213912,69
0,tp_at_t6h,False,0.09030313784023747,25
0,gust_at_t24h,False,0.044045222355634905,49
0,wind_speed_at_t24h,False,0.14284875831799582,74
0,t2m_at_t24h,False,1.354205528012244,93
0,tp_at_t24h,False,0.051600293430965394,56
0,gust_at_t48h,False,0.2231025365908863,49
0,wind_speed_at_t48h,False,0.3800963771500392,84
0,t2m_at_t48h,False,0.5534976479248144,104
0,tp_at_t48h,False,0.02429712490993552,22
0,hour_of_day,False,0.06448317169270013,24
0,hour_sin,False,0.06707458512391895,14
0,hour_cos,False,0.09296183950209524,48
0,days_since_onset,False,0.0,0
