horizon,rmse,mae,rmse_std,mae_std,final_rounds,valid_rows
osi_target_t01h,0.012179441878483195,0.003533583868609779,0.003623753097116342,0.0006254060053967468,1001,34177
osi_target_t06h,0.010936939206295635,0.003266998432346011,0.0028832174928091025,0.0005135894155221877,917,32982
osi_target_t24h,0.008668708121215557,0.0026494241071311543,0.0027054618062511923,0.0005109895602317665,528,28680
osi_target_t48h,0.007786785421239254,0.0020983768939278635,0.003364171181187928,0.0006604636809838123,494,22944
