horizon,fold,train_rows,valid_rows,best_round,rmse,mae
osi_target_t01h,0,27313,6864,942,0.006312466322237145,0.002452686161493715
osi_target_t01h,1,27456,6721,1499,0.009845265061296458,0.0035884625816277474
osi_target_t01h,2,27313,6864,472,0.01288253372418154,0.0038833497261102808
osi_target_t01h,3,27313,6864,363,0.017341537417655078,0.004337332069914476
osi_target_t01h,4,27313,6864,1727,0.011711443954116524,0.00340723211042388
osi_target_t06h,0,26358,6624,826,0.006509968751495192,0.002504885308221214
osi_target_t06h,1,26496,6486,1428,0.008608579447385726,0.0030930323328568947
osi_target_t06h,2,26358,6624,698,0.013355057595197978,0.00389730327080648
osi_target_t06h,3,26358,6624,630,0.014201761514659047,0.0037819834393010045
osi_target_t06h,4,26358,6624,1003,0.010029963366105041,0.0030541635168051034
osi_target_t24h,0,22920,5760,383,0.004883406465516635,0.001943169089795279
osi_target_t24h,1,23040,5640,45,0.008709101782015402,0.0026185105098685164
osi_target_t24h,2,22920,5760,1071,0.012935543986511895,0.0035373618601407877
osi_target_t24h,3,22920,5760,83,0.006491762383747451,0.0026280475717991463
osi_target_t24h,4,22920,5760,1060,0.00815964073053909,0.002519387470775735
osi_target_t48h,0,18336,4608,351,0.0035902768783400672,0.0014173739888567478
osi_target_t48h,1,18432,4512,19,0.005940516902520027,0.0017968028952499904
osi_target_t48h,2,18336,4608,874,0.013365222618227535,0.0033532888795496365
osi_target_t48h,3,18336,4608,34,0.005176654710754454,0.001879257621323723
osi_target_t48h,4,18336,4608,1192,0.007002526062765421,0.0020388782930200987
