model,horizon,severity,rmse,mae,n
C0_direct_osi,osi_target_t01h,zero,0.002034102283863826,0.0006753638007432918,14503
C0_direct_osi,osi_target_t01h,0_to_0.01,0.005005566422760974,0.002628572249392524,16098
C0_direct_osi,osi_target_t01h,0.01_to_0.05,0.015920632238563957,0.011837080264782645,2628
C0_direct_osi,osi_target_t01h,above_0.05,0.05919636648307488,0.03796010177969249,948
C0_direct_osi,osi_target_t06h,zero,0.0022873407146535613,0.0007126288960230111,14147
C0_direct_osi,osi_target_t06h,0_to_0.01,0.005091728452580276,0.0026771789086995337,15675
C0_direct_osi,osi_target_t06h,0.01_to_0.05,0.01631702655629329,0.012226422946091131,2421
C0_direct_osi,osi_target_t06h,above_0.05,0.055576742923883565,0.03951699080262773,739
C0_direct_osi,osi_target_t24h,zero,0.0024890778849713468,0.0007072263882363115,12791
C0_direct_osi,osi_target_t24h,0_to_0.01,0.005079659042656434,0.0026517510187960905,13815
C0_direct_osi,osi_target_t24h,0.01_to_0.05,0.01596339375735373,0.012389828540419316,1763
C0_direct_osi,osi_target_t24h,above_0.05,0.058267970262398085,0.04754132657316645,311
C0_direct_osi,osi_target_t48h,zero,0.002353437116814001,0.0006017859207362499,10947
C0_direct_osi,osi_target_t48h,0_to_0.01,0.0045261872499395665,0.002273142002452279,10861
C0_direct_osi,osi_target_t48h,0.01_to_0.05,0.014976051164606626,0.012232500727246968,985
C0_direct_osi,osi_target_t48h,above_0.05,0.070760679958231,0.059209410231634764,151
C1_component_osi,osi_target_t01h,zero,0.002020599980776652,0.000685496388249711,14503
C1_component_osi,osi_target_t01h,0_to_0.01,0.00504103459149757,0.0026474421187209327,16098
C1_component_osi,osi_target_t01h,0.01_to_0.05,0.015909262262388903,0.011747834403497808,2628
C1_component_osi,osi_target_t01h,above_0.05,0.05888098844916365,0.03709749760947516,948
C1_component_osi,osi_target_t06h,zero,0.0022718307201247743,0.0007254806594703517,14147
C1_component_osi,osi_target_t06h,0_to_0.01,0.005117667709587173,0.002686589564531217,15675
C1_component_osi,osi_target_t06h,0.01_to_0.05,0.015957672988240506,0.01195313645368499,2421
C1_component_osi,osi_target_t06h,above_0.05,0.055533022125894164,0.03934111998923835,739
C1_component_osi,osi_target_t24h,zero,0.002434334534545889,0.0006824833321927589,12791
C1_component_osi,osi_target_t24h,0_to_0.01,0.0048700148347714635,0.0025820194117739457,13815
C1_component_osi,osi_target_t24h,0.01_to_0.05,0.015953974453562714,0.012359799462632645,1763
C1_component_osi,osi_target_t24h,above_0.05,0.05746990402015684,0.04705078461079718,311
C1_component_osi,osi_target_t48h,zero,0.0022895864336998405,0.0006123027673559308,10947
C1_component_osi,osi_target_t48h,0_to_0.01,0.004636425661682981,0.002292011769487733,10861
C1_component_osi,osi_target_t48h,0.01_to_0.05,0.01487139567982177,0.01209183350561216,985
C1_component_osi,osi_target_t48h,above_0.05,0.0701454014772481,0.05858191312837492,151
C2_equal_blend,osi_target_t01h,zero,0.001984820802690726,0.0006641757867949862,14503
C2_equal_blend,osi_target_t01h,0_to_0.01,0.004977716768867366,0.0026086418919623947,16098
C2_equal_blend,osi_target_t01h,0.01_to_0.05,0.01585734194978442,0.01173945472041338,2628
C2_equal_blend,osi_target_t01h,above_0.05,0.058978957909921484,0.03747029553443557,948
C2_equal_blend,osi_target_t06h,zero,0.002243199530556603,0.00070380524739219,14147
C2_equal_blend,osi_target_t06h,0_to_0.01,0.00506296041557693,0.0026568171701823293,15675
C2_equal_blend,osi_target_t06h,0.01_to_0.05,0.016094283098676682,0.012054367514978426,2421
C2_equal_blend,osi_target_t06h,above_0.05,0.05549306263105107,0.03934571101208014,739
C2_equal_blend,osi_target_t24h,zero,0.0024333558436428525,0.0006794291356673986,12791
C2_equal_blend,osi_target_t24h,0_to_0.01,0.0049332284514053415,0.0025920775308119785,13815
C2_equal_blend,osi_target_t24h,0.01_to_0.05,0.01592622093670255,0.012353056790107191,1763
C2_equal_blend,osi_target_t24h,above_0.05,0.05783629237033334,0.04728074862365951,311
C2_equal_blend,osi_target_t48h,zero,0.002294651947454211,0.0005923268919599186,10947
C2_equal_blend,osi_target_t48h,0_to_0.01,0.0045547998029872435,0.0022649397803956397,10861
C2_equal_blend,osi_target_t48h,0.01_to_0.05,0.014881058324131518,0.012127450646241654,985
C2_equal_blend,osi_target_t48h,above_0.05,0.0704343690604045,0.058890263777768466,151
C3_aligned_component,osi_target_t01h,zero,0.0021135216321270752,0.0006707372714767693,14503
C3_aligned_component,osi_target_t01h,0_to_0.01,0.004936977681153459,0.002593264714155018,16098
C3_aligned_component,osi_target_t01h,0.01_to_0.05,0.015996607588124063,0.011732389739994525,2628
C3_aligned_component,osi_target_t01h,above_0.05,0.05943101060851075,0.03803382872822028,948
C3_aligned_component,osi_target_t06h,zero,0.0021098555847884324,0.0006634174486294816,14147
C3_aligned_component,osi_target_t06h,0_to_0.01,0.004906952939678256,0.0025819427323465864,15675
C3_aligned_component,osi_target_t06h,0.01_to_0.05,0.015778912518090365,0.011793660928030058,2421
C3_aligned_component,osi_target_t06h,above_0.05,0.05532484926784845,0.038779272502026146,739
C3_aligned_component,osi_target_t24h,zero,0.0020556602751604794,0.0006371416140424182,12791
C3_aligned_component,osi_target_t24h,0_to_0.01,0.004571129881168647,0.0024879626921107257,13815
C3_aligned_component,osi_target_t24h,0.01_to_0.05,0.015120923550476562,0.01173585704688753,1763
C3_aligned_component,osi_target_t24h,above_0.05,0.05739501628706919,0.04668734509936681,311
C3_aligned_component,osi_target_t48h,zero,0.0019334791270343757,0.0005811384165730545,10947
C3_aligned_component,osi_target_t48h,0_to_0.01,0.004252137586594901,0.002167964694107305,10861
C3_aligned_component,osi_target_t48h,0.01_to_0.05,0.014594468813677602,0.01171116387933077,985
C3_aligned_component,osi_target_t48h,above_0.05,0.06472755752921053,0.05355093616496934,151
v18_rule,osi_target_t01h,zero,0.0021135216321270752,0.0006707372714767693,14503
v18_rule,osi_target_t01h,0_to_0.01,0.004936977681153459,0.002593264714155018,16098
v18_rule,osi_target_t01h,0.01_to_0.05,0.015996607588124063,0.011732389739994525,2628
v18_rule,osi_target_t01h,above_0.05,0.05943101060851075,0.03803382872822028,948
v18_rule,osi_target_t06h,zero,0.0021098555847884324,0.0006634174486294816,14147
v18_rule,osi_target_t06h,0_to_0.01,0.004906952939678256,0.0025819427323465864,15675
v18_rule,osi_target_t06h,0.01_to_0.05,0.015778912518090365,0.011793660928030058,2421
v18_rule,osi_target_t06h,above_0.05,0.05532484926784845,0.038779272502026146,739
v18_rule,osi_target_t24h,zero,0.002434334534545889,0.0006824833321927589,12791
v18_rule,osi_target_t24h,0_to_0.01,0.0048700148347714635,0.0025820194117739457,13815
v18_rule,osi_target_t24h,0.01_to_0.05,0.015953974453562714,0.012359799462632645,1763
v18_rule,osi_target_t24h,above_0.05,0.05746990402015684,0.04705078461079718,311
v18_rule,osi_target_t48h,zero,0.0022895864336998405,0.0006123027673559308,10947
v18_rule,osi_target_t48h,0_to_0.01,0.004636425661682981,0.002292011769487733,10861
v18_rule,osi_target_t48h,0.01_to_0.05,0.01487139567982177,0.01209183350561216,985
v18_rule,osi_target_t48h,above_0.05,0.0701454014772481,0.05858191312837492,151
