model,horizon,fold,rmse,mae,n
C0_direct_osi,osi_target_t01h,0,0.00832515760518944,0.003107115945555828,6864
C0_direct_osi,osi_target_t01h,1,0.010492858069850626,0.00353633729232201,6721
C0_direct_osi,osi_target_t01h,2,0.01706235062027028,0.003685623238595099,6864
C0_direct_osi,osi_target_t01h,3,0.010678463283869361,0.003744391241847355,6864
C0_direct_osi,osi_target_t01h,4,0.008139656272127836,0.0033666950043924324,6864
C0_direct_osi,osi_target_t06h,0,0.00820007796817277,0.0031312554491670264,6624
C0_direct_osi,osi_target_t06h,1,0.00888284672749171,0.00342923908715363,6486
C0_direct_osi,osi_target_t06h,2,0.01409220199965764,0.003445928119306748,6624
C0_direct_osi,osi_target_t06h,3,0.010181383092389208,0.0035472942859973745,6624
C0_direct_osi,osi_target_t06h,4,0.008226608779808813,0.0032522615510621865,6624
C0_direct_osi,osi_target_t24h,0,0.007707442583413415,0.0026926995801396284,5760
C0_direct_osi,osi_target_t24h,1,0.007100075132077379,0.0028188562644491065,5640
C0_direct_osi,osi_target_t24h,2,0.009529560442124795,0.002847866195026122,5760
C0_direct_osi,osi_target_t24h,3,0.009076188491439624,0.003146982155490397,5760
C0_direct_osi,osi_target_t24h,4,0.007416327425530075,0.0028420256815174134,5760
C0_direct_osi,osi_target_t48h,0,0.008704349118463793,0.00253824743516673,4608
C0_direct_osi,osi_target_t48h,1,0.006113810014427709,0.0022366204767726716,4512
C0_direct_osi,osi_target_t48h,2,0.007554345967651909,0.002117481150910543,4608
C0_direct_osi,osi_target_t48h,3,0.008813408584715096,0.002446337289212634,4608
C0_direct_osi,osi_target_t48h,4,0.005133580082821605,0.0020503534678200644,4608
C1_component_osi,osi_target_t01h,0,0.008247376331650296,0.003133292903625364,6864
C1_component_osi,osi_target_t01h,1,0.010036233384726171,0.003397865516651717,6721
C1_component_osi,osi_target_t01h,2,0.01720355092421517,0.0037236584971785925,6864
C1_component_osi,osi_target_t01h,3,0.010631688429186638,0.0037178727315030544,6864
C1_component_osi,osi_target_t01h,4,0.00826550502189232,0.0033769473937293563,6864
C1_component_osi,osi_target_t06h,0,0.007973436005922143,0.003052477272869527,6624
C1_component_osi,osi_target_t06h,1,0.008892573952572761,0.003343953642873185,6486
C1_component_osi,osi_target_t06h,2,0.0141986794921406,0.0034237672467797957,6624
C1_component_osi,osi_target_t06h,3,0.010043721828859518,0.003597860599820661,6624
C1_component_osi,osi_target_t06h,4,0.008163332851389652,0.003316355933111073,6624
C1_component_osi,osi_target_t24h,0,0.007403360038637721,0.0026367235333492893,5760
C1_component_osi,osi_target_t24h,1,0.006981552534588351,0.002711953273323958,5640
C1_component_osi,osi_target_t24h,2,0.009578812076181489,0.0028247432042703834,5760
C1_component_osi,osi_target_t24h,3,0.008787791362095468,0.0030819896185994245,5760
C1_component_osi,osi_target_t24h,4,0.007400087622707585,0.0028329232411362483,5760
C1_component_osi,osi_target_t48h,0,0.00861620906706122,0.002527856506693035,4608
C1_component_osi,osi_target_t48h,1,0.006057778855564472,0.002235230770326194,4512
C1_component_osi,osi_target_t48h,2,0.007448373846773871,0.002062662172600609,4608
C1_component_osi,osi_target_t48h,3,0.00892283420626145,0.002524003614776814,4608
C1_component_osi,osi_target_t48h,4,0.005134675075065449,0.0020580866192004732,4608
C2_equal_blend,osi_target_t01h,0,0.008237773165112244,0.0030888656606507525,6864
C2_equal_blend,osi_target_t01h,1,0.010230958319434887,0.0034362020623860162,6721
C2_equal_blend,osi_target_t01h,2,0.0171247813420161,0.003676573757678837,6864
C2_equal_blend,osi_target_t01h,3,0.010627617679503825,0.0037105702350656512,6864
C2_equal_blend,osi_target_t01h,4,0.008159401671547155,0.0033504576722593613,6864
C2_equal_blend,osi_target_t06h,0,0.008052410906088698,0.0030666849001667307,6624
C2_equal_blend,osi_target_t06h,1,0.008856260896780583,0.0033605365278219098,6486
C2_equal_blend,osi_target_t06h,2,0.014128739295394918,0.003412601575519022,6624
C2_equal_blend,osi_target_t06h,3,0.010086935464870151,0.003546463547912583,6624
C2_equal_blend,osi_target_t06h,4,0.008162602291757618,0.0032692388426006982,6624
C2_equal_blend,osi_target_t24h,0,0.00753416899954178,0.002645134506404523,5760
C2_equal_blend,osi_target_t24h,1,0.007006036593491175,0.002743888536968542,5640
C2_equal_blend,osi_target_t24h,2,0.009537578650657042,0.002814897011126505,5760
C2_equal_blend,osi_target_t24h,3,0.008912764274903512,0.0030938617861699397,5760
C2_equal_blend,osi_target_t24h,4,0.007384720239759127,0.002818910473539257,5760
C2_equal_blend,osi_target_t48h,0,0.008649526532988503,0.0025222693137930663,4608
C2_equal_blend,osi_target_t48h,1,0.006064373768937585,0.0022109498485602896,4512
C2_equal_blend,osi_target_t48h,2,0.007480316017153271,0.0020727165017499685,4608
C2_equal_blend,osi_target_t48h,3,0.008852746704678916,0.0024705862984745392,4608
C2_equal_blend,osi_target_t48h,4,0.005114668846864381,0.0020372656553941694,4608
C3_aligned_component,osi_target_t01h,0,0.00832417664354127,0.0031331711198448425,6864
C3_aligned_component,osi_target_t01h,1,0.01024650302141004,0.003404966674487347,6721
C3_aligned_component,osi_target_t01h,2,0.01719845949761471,0.0036907573711891114,6864
C3_aligned_component,osi_target_t01h,3,0.010763841841827895,0.0037442126275296058,6864
C3_aligned_component,osi_target_t01h,4,0.008285448954481016,0.0033418365720722276,6864
C3_aligned_component,osi_target_t06h,0,0.00793386137365638,0.0029627777490864363,6624
C3_aligned_component,osi_target_t06h,1,0.008406587032406942,0.0031579269634048426,6486
C3_aligned_component,osi_target_t06h,2,0.014130242512437068,0.00334775928962096,6624
C3_aligned_component,osi_target_t06h,3,0.01014552344706076,0.0035568992269372672,6624
C3_aligned_component,osi_target_t06h,4,0.00801389182230856,0.0032040220943203588,6624
C3_aligned_component,osi_target_t24h,0,0.007550393262386408,0.002621629366936937,5760
C3_aligned_component,osi_target_t24h,1,0.006719908550740384,0.0026522112697598124,5640
C3_aligned_component,osi_target_t24h,2,0.009367718056640202,0.002706592450325689,5760
C3_aligned_component,osi_target_t24h,3,0.008380941831092338,0.0028461244695608024,5760
C3_aligned_component,osi_target_t24h,4,0.006937287222428421,0.0027236557470041224,5760
C3_aligned_component,osi_target_t48h,0,0.007348116033430655,0.002237047337386795,4608
C3_aligned_component,osi_target_t48h,1,0.005806597367038481,0.0021606156243318183,4512
C3_aligned_component,osi_target_t48h,2,0.007308959568500035,0.001946531305601077,4608
C3_aligned_component,osi_target_t48h,3,0.008246805000101136,0.0023526275828990462,4608
C3_aligned_component,osi_target_t48h,4,0.0050871247391995784,0.002096818269336754,4608
v18_rule,osi_target_t01h,0,0.00832417664354127,0.0031331711198448425,6864
v18_rule,osi_target_t01h,1,0.01024650302141004,0.003404966674487347,6721
v18_rule,osi_target_t01h,2,0.01719845949761471,0.0036907573711891114,6864
v18_rule,osi_target_t01h,3,0.010763841841827895,0.0037442126275296058,6864
v18_rule,osi_target_t01h,4,0.008285448954481016,0.0033418365720722276,6864
v18_rule,osi_target_t06h,0,0.00793386137365638,0.0029627777490864363,6624
v18_rule,osi_target_t06h,1,0.008406587032406942,0.0031579269634048426,6486
v18_rule,osi_target_t06h,2,0.014130242512437068,0.00334775928962096,6624
v18_rule,osi_target_t06h,3,0.01014552344706076,0.0035568992269372672,6624
v18_rule,osi_target_t06h,4,0.00801389182230856,0.0032040220943203588,6624
v18_rule,osi_target_t24h,0,0.007403360038637721,0.0026367235333492893,5760
v18_rule,osi_target_t24h,1,0.006981552534588351,0.002711953273323958,5640
v18_rule,osi_target_t24h,2,0.009578812076181489,0.0028247432042703834,5760
v18_rule,osi_target_t24h,3,0.008787791362095468,0.0030819896185994245,5760
v18_rule,osi_target_t24h,4,0.007400087622707585,0.0028329232411362483,5760
v18_rule,osi_target_t48h,0,0.00861620906706122,0.002527856506693035,4608
v18_rule,osi_target_t48h,1,0.006057778855564472,0.002235230770326194,4512
