horizon,component,weight,contribution_rmse,contribution_mae,correlation_with_C1_osi_error
osi_target_t01h,P_t,0.4,0.0073357752681931015,0.0022073654239144597,0.9823749165915204
osi_target_t01h,N_t,0.35,0.001506106756033433,0.0003147363484336815,0.46244510915787856
osi_target_t01h,D_t,0.25,0.004103534426211872,0.0013025480445127205,0.8841989145089568
osi_target_t01h,R_t,-0.1,0.0004084471208900395,0.00010934593034156642,-0.4011587642269573
osi_target_t06h,P_t,0.4,0.006388407557583936,0.0021033906144990212,0.9801474384208516
osi_target_t06h,N_t,0.35,0.0013169665655060033,0.0002909624340196632,0.4155723047924265
osi_target_t06h,D_t,0.25,0.003900584131377878,0.0012887410316687704,0.8943022245171912
osi_target_t06h,R_t,-0.1,0.00040890080457658376,0.00010783648847734365,-0.44482749681422323
osi_target_t24h,P_t,0.4,0.005257647072326425,0.0017814264439287419,0.978703589384365
osi_target_t24h,N_t,0.35,0.001321132752957993,0.0002959112314588128,0.5171704463761674
osi_target_t24h,D_t,0.25,0.0028080566017481376,0.0010516160632411504,0.8545094401183573
osi_target_t24h,R_t,-0.1,0.0003459031978883391,8.834611355222849e-05,-0.41380991004614803
osi_target_t48h,P_t,0.4,0.004785248539916149,0.0014254761511396832,0.9765996674881606
osi_target_t48h,N_t,0.35,0.0012148004287157235,0.00023390691871794976,0.5317367647703891
osi_target_t48h,D_t,0.25,0.002589111638549279,0.0008853039532915733,0.8493631292834118
osi_target_t48h,R_t,-0.1,0.0003296827344455737,7.477771984916542e-05,-0.4443162408937244
