model,horizon,rmse,mae,n,rmse_change_pct_vs_C0,mae_change_pct_vs_C0,prediction_mean,prediction_max,zero_pct
C0_direct_osi,osi_target_t01h,0.011412584634342813,0.0034878304326271497,34177,0.0,0.0,0.005675216568560925,0.2915944854784171,52.02621646136291
C0_direct_osi,osi_target_t06h,0.010164473717052333,0.003360910998166614,32982,0.0,0.0,0.004868609791160591,0.25111666201816135,52.21636043902734
C0_direct_osi,osi_target_t24h,0.008226384409228592,0.002869898651939075,28680,0.0,0.0,0.003176638599561967,0.12174550030734634,55.756624825662485
C0_direct_osi,osi_target_t48h,0.0074109081985547385,0.0022779802965589716,22944,0.0,0.0,0.0021547841107314725,0.07266710578171666,63.01429567642957
C1_component_osi,osi_target_t01h,0.01137237591678052,0.003470228922729608,34177,-0.35231911832921403,-0.5046549778592202,0.005694475265653874,0.2879015271036064,50.703689615823514
C1_component_osi,osi_target_t06h,0.010121851237145981,0.0033468951955603777,32982,-0.4193279562998531,-0.41702391446492015,0.004899578152602665,0.2534471759758407,51.904068886059065
C1_component_osi,osi_target_t24h,0.008094958237266874,0.002818108889202019,28680,-1.5976176826149824,-1.804585074879339,0.0031193965929298827,0.12275092142981842,55.89958158995816
C1_component_osi,osi_target_t48h,0.007386039443917857,0.0022817618160767186,22944,-0.3355695951237303,0.16600317059192182,0.0022050698593754636,0.07290287846958597,62.02493026499303
C2_equal_blend,osi_target_t01h,0.011365068409012994,0.0034526022115630274,34177,-0.4163493796736639,-1.010032504291991,0.005674890114153703,0.2897480062910117,51.03432132720835
C2_equal_blend,osi_target_t06h,0.010117001896246633,0.0033309819346660397,32982,-0.46703668214577165,-0.8905044946712626,0.0048728229161666345,0.25228191899700103,51.83130192226063
C2_equal_blend,osi_target_t24h,0.008138086784558686,0.0028236708893098423,28680,-1.0733466888667498,-1.6107803179042035,0.0031364255588073307,0.12224821086858237,55.87517433751743
C2_equal_blend,osi_target_t48h,0.00738168056554288,0.002262974292109194,22944,-0.3943866558427822,-0.6587416261872425,0.0021684358861886934,0.07252601260228446,62.674337517433756
C3_aligned_component,osi_target_t01h,0.01144658086857706,0.0034632316437298036,34177,0.2978837425831271,-0.7052747939588766,0.005660534765942744,0.2879015271036064,50.44035462445504
C3_aligned_component,osi_target_t06h,0.01001049575133449,0.0032462450567294922,32982,-1.5148641238505234,-3.411751798832885,0.004846529868273279,0.26549140986284003,51.18246316172458
C3_aligned_component,osi_target_t24h,0.007856603329105922,0.0027102846330645763,28680,-4.495062006922989,-5.5616604707157125,0.003114400333702937,0.13433913944962464,53.549511854951184
C3_aligned_component,osi_target_t48h,0.006860012921890601,0.002158720126001388,22944,-7.43357307774467,-5.235346887667703,0.0022217655612283746,0.08661334109796724,59.18758716875872
v18_rule,osi_target_t01h,0.01144658086857706,0.0034632316437298036,34177,0.2978837425831271,-0.7052747939588766,0.005660534765942744,0.2879015271036064,50.44035462445504
v18_rule,osi_target_t06h,0.01001049575133449,0.0032462450567294922,32982,-1.5148641238505234,-3.411751798832885,0.004846529868273279,0.26549140986284003,51.18246316172458
v18_rule,osi_target_t24h,0.008094958237266874,0.002818108889202019,28680,-1.5976176826149824,-1.804585074879339,0.0031193965929298827,0.12275092142981842,55.89958158995816
v18_rule,osi_target_t48h,0.007386039443917857,0.0022817618160767186,22944,-0.3355695951237303,0.16600317059192182,0.0022050698593754636,0.07290287846958597,62.02493026499303
