model,reference,horizon,metric,difference,change_pct,ci_2_5,ci_97_5,improvement_probability,replicates,unit
C2_equal_blend,C0_direct_osi,osi_target_t24h,rmse,-8.829762466990715e-05,-1.073346688866772,-0.00017205859483170513,-7.483771136067622e-06,0.9895,2000,county_full_trajectory
C2_equal_blend,C0_direct_osi,osi_target_t24h,mae,-4.622776262923258e-05,-1.6107803179042035,-7.461682807065917e-05,-1.94958478988788e-05,0.9995,2000,county_full_trajectory
C2_equal_blend,C1_component_osi,osi_target_t24h,rmse,4.312854729181248e-05,0.5327828263926193,-3.6423942860199624e-05,0.00012430572251761384,0.164,2000,county_full_trajectory
C2_equal_blend,C1_component_osi,osi_target_t24h,mae,5.56200010782236e-06,0.19736640160121777,-2.0804805278993708e-05,3.355460114618639e-05,0.356,2000,county_full_trajectory
C3_aligned_component,C0_direct_osi,osi_target_t24h,rmse,-0.00036978108012267197,-4.495062006923001,-0.0006056117499264892,-0.0001476495666485308,0.9995,2000,county_full_trajectory
C3_aligned_component,C0_direct_osi,osi_target_t24h,mae,-0.00015961401887449895,-5.561660470715724,-0.0002488712731843896,-7.697329021463025e-05,1.0,2000,county_full_trajectory
C3_aligned_component,C1_component_osi,osi_target_t24h,rmse,-0.00023835490816095234,-2.944485952548026,-0.00040413355098480405,-7.701757311442643e-05,0.9995,2000,county_full_trajectory
C3_aligned_component,C1_component_osi,osi_target_t24h,mae,-0.00010782425613744401,-3.8261210044291727,-0.00017263527341163464,-4.656948067619795e-05,1.0,2000,county_full_trajectory
v18_rule,C0_direct_osi,osi_target_t24h,rmse,-0.00013142617196171963,-1.5976176826150046,-0.00029727527741363346,2.9259097574822095e-05,0.9335,2000,county_full_trajectory
v18_rule,C0_direct_osi,osi_target_t24h,mae,-5.178976273705494e-05,-1.8045850748793058,-0.00010679552329965609,1.0586621073641107e-06,0.9705,2000,county_full_trajectory
v18_rule,C1_component_osi,osi_target_t24h,rmse,0.0,0.0,0.0,0.0,0.0,2000,county_full_trajectory
v18_rule,C1_component_osi,osi_target_t24h,mae,0.0,0.0,0.0,0.0,0.0,2000,county_full_trajectory
C1_component_osi,C0_direct_osi,osi_target_t48h,rmse,-2.4868754636881568e-05,-0.3355695951237303,-0.00011330933031099809,6.186882081845274e-05,0.698,2000,county_full_trajectory
C1_component_osi,C0_direct_osi,osi_target_t48h,mae,3.7815195177469743e-06,0.16600317059192182,-3.647557869095467e-05,4.230528763810555e-05,0.418,2000,county_full_trajectory
C2_equal_blend,C0_direct_osi,osi_target_t48h,rmse,-2.92276330118588e-05,-0.3943866558427822,-7.454901205846305e-05,1.312678791305249e-05,0.8945,2000,county_full_trajectory
C2_equal_blend,C0_direct_osi,osi_target_t48h,mae,-1.5006004449777052e-05,-0.6587416261872203,-3.513529840117142e-05,4.14905796452949e-06,0.937,2000,county_full_trajectory
C2_equal_blend,C1_component_osi,osi_target_t48h,rmse,-4.358878374977233e-06,-0.059015097442605136,-4.7835566634204684e-05,4.005785870409348e-05,0.5885,2000,county_full_trajectory
C2_equal_blend,C1_component_osi,osi_target_t48h,mae,-1.8787523967524027e-05,-0.8233779632541793,-3.8396740187424865e-05,1.8107500287901025e-06,0.962,2000,county_full_trajectory
C3_aligned_component,C0_direct_osi,osi_target_t48h,rmse,-0.0005508952766641378,-7.43357307774467,-0.0010633922646607287,-0.00011754048500236974,1.0,2000,county_full_trajectory
C3_aligned_component,C0_direct_osi,osi_target_t48h,mae,-0.00011926017055758319,-5.23534688766768,-0.00022849738095271531,-2.4484964618906966e-05,0.995,2000,county_full_trajectory
C3_aligned_component,C1_component_osi,osi_target_t48h,rmse,-0.0005260265220272562,-7.121902421742687,-0.0009971140406191078,-0.00010419181810466148,1.0,2000,county_full_trajectory
C3_aligned_component,C1_component_osi,osi_target_t48h,mae,-0.00012304169007533016,-5.392398505769069,-0.00023831553279844334,-2.5132595808866832e-05,0.9955,2000,county_full_trajectory
v18_rule,C0_direct_osi,osi_target_t48h,rmse,-2.4868754636881568e-05,-0.3355695951237303,-0.00011330933031099809,6.186882081845274e-05,0.698,2000,county_full_trajectory
v18_rule,C0_direct_osi,osi_target_t48h,mae,3.7815195177469743e-06,0.16600317059192182,-3.647557869095467e-05,4.230528763810555e-05,0.418,2000,county_full_trajectory
v18_rule,C1_component_osi,osi_target_t48h,rmse,0.0,0.0,0.0,0.0,0.0,2000,county_full_trajectory
v18_rule,C1_component_osi,osi_target_t48h,mae,0.0,0.0,0.0,0.0,0.0,2000,county_full_trajectory
