split_seed,case,horizon,n,P_self_sse_gain,P_other_cross_sse_gain,postprocessing_and_precision_sse_gain,actual_OSI_sse_gain
20260917,AB_P06,osi_target_t01h,34177,0.006243502955915768,0.14224601251136304,-0.0005287942513976001,0.14796072121588116
20260917,AB_P06,osi_target_t06h,32982,0.006243502955915768,0.14224601251136304,-0.0005287942513976001,0.14796072121588114
20260917,AB_P06,osi_target_t24h,28680,0.0,0.0,0.0,0.0
20260917,AB_P06,osi_target_t48h,22944,0.0,0.0,0.0,0.0
