split_seed,case,horizon,space,group,n,rmse,mae,sse,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
20260917,B0,osi_target_t01h,component_clipped,full,34177,0.017889389477486715,0.005139015268137882,10.93767405511549,6.756106152203811e-05,0.017889389477486715,0.0,0.0,0.0
20260917,B0,osi_target_t01h,component_clipped,common_120_215,22944,0.01328636576627572,0.0036154673024163925,4.050247310475643,1.0694756959113742e-05,0.01328636576627572,0.0,0.0,0.0
20260917,B0,osi_target_t01h,aligned,full,34177,0.017651727543472863,0.005157627371948589,10.648988776038562,-1.726524079149292e-05,0.017651727543472863,0.0,0.0,0.0
20260917,B0,osi_target_t01h,aligned,common_120_215,22944,0.012704781388462498,0.0035143504929610733,3.703424770631128,-1.9696632546300602e-05,0.012704781388462498,0.0,0.0,0.0
20260917,B0,osi_target_t06h,component_clipped,full,32982,0.016787744157897095,0.005255785067165149,9.295262768692865,-5.740320283136958e-05,0.016787744157897095,0.0,0.0,0.0
20260917,B0,osi_target_t06h,component_clipped,common_120_215,22944,0.012708670250588914,0.003617513234674073,3.7056923126045453,4.896829402119675e-06,0.012708670250588914,0.0,0.0,0.0
20260917,B0,osi_target_t06h,aligned,full,32982,0.01578308586064052,0.004918959308362286,8.216007471996456,1.5318142351598053e-05,0.01578308586064052,0.0,0.0,0.0
20260917,B0,osi_target_t06h,aligned,common_120_215,22944,0.012704781388462498,0.0035143504929610733,3.703424770631128,-1.9696632546300602e-05,0.012704781388462498,0.0,0.0,0.0
20260917,B0,osi_target_t24h,component_clipped,full,28680,0.013919720788472166,0.0046269008597546344,5.556997417456413,0.00012435944663945724,0.013919720788472166,0.0,0.0,0.0
20260917,B0,osi_target_t24h,component_clipped,common_120_215,22944,0.013038243245700189,0.003761331702115855,3.9003833354147655,7.724700131438182e-05,0.013038243245700189,0.0,0.0,0.0
20260917,B0,osi_target_t24h,aligned,full,28680,0.013425992891076604,0.0042521451314151415,5.169778936990349,2.0271788351055514e-05,0.013425992891076604,0.0,0.0,0.0
20260917,B0,osi_target_t24h,aligned,common_120_215,22944,0.012704781388462498,0.0035143504929610733,3.703424770631128,-1.9696632546300602e-05,0.012704781388462498,0.0,0.0,0.0
20260917,B0,osi_target_t48h,component_clipped,full,22944,0.012620150671943798,0.0034690336986761025,3.6542496492319367,-0.00017162511786081785,0.012620150671943798,0.0,0.0,0.0
20260917,B0,osi_target_t48h,component_clipped,common_120_215,22944,0.012620150671943798,0.0034690336986761025,3.6542496492319367,-0.00017162511786081785,0.012620150671943798,0.0,0.0,0.0
20260917,B0,osi_target_t48h,aligned,full,22944,0.012704781388462498,0.0035143504929610733,3.703424770631128,-1.9696632546300602e-05,0.012704781388462498,0.0,0.0,0.0
20260917,B0,osi_target_t48h,aligned,common_120_215,22944,0.012704781388462498,0.0035143504929610733,3.703424770631128,-1.9696632546300602e-05,0.012704781388462498,0.0,0.0,0.0
20260917,AB_P06,osi_target_t01h,component_clipped,full,34177,0.017889389477486715,0.005139015268137882,10.93767405511549,6.756106152203811e-05,0.017889389477486715,0.0,0.0,0.0
20260917,AB_P06,osi_target_t01h,component_clipped,common_120_215,22944,0.01328636576627572,0.0036154673024163925,4.050247310475643,1.0694756959113742e-05,0.01328636576627572,0.0,0.0,0.0
20260917,AB_P06,osi_target_t01h,aligned,full,34177,0.017619356582525635,0.005123507813441712,10.609966882564088,1.5009150090318905e-05,0.017651727543472863,-3.2370960947228355e-05,-0.18338692837573944,0.03902189347447482
20260917,AB_P06,osi_target_t01h,aligned,common_120_215,22944,0.012850683122866248,0.0035119038362208797,3.7889734614827857,-2.354261715150635e-05,0.012704781388462498,0.00014590173440374998,1.1484001962933865,-0.08554869085165784
20260917,AB_P06,osi_target_t06h,component_clipped,full,32982,0.016414587598718836,0.005077438297795572,8.88662674283982,3.670398354208998e-05,0.016787744157897095,-0.00037315655917825874,-2.2227915535794174,0.4086360258530455
20260917,AB_P06,osi_target_t06h,component_clipped,common_120_215,22944,0.013349554472466064,0.003629829789229392,4.088864112248443,-1.0487109018703043e-05,0.012708670250588914,0.0006408842218771499,5.042889690583108,-0.38317179964389725
20260917,AB_P06,osi_target_t06h,aligned,full,32982,0.015745560400377393,0.004883603533967478,8.176985578521982,4.876189522188124e-05,0.01578308586064052,-3.752546026312628e-05,-0.23775743599485644,0.039021893474473046
20260917,AB_P06,osi_target_t06h,aligned,common_120_215,22944,0.012850683122866248,0.0035119038362208797,3.7889734614827857,-2.354261715150635e-05,0.012704781388462498,0.00014590173440374998,1.1484001962933865,-0.08554869085165784
20260917,AB_P06,osi_target_t24h,component_clipped,full,28680,0.013919720788472166,0.0046269008597546344,5.556997417456413,0.00012435944663945724,0.013919720788472166,0.0,0.0,0.0
20260917,AB_P06,osi_target_t24h,component_clipped,common_120_215,22944,0.013038243245700189,0.003761331702115855,3.9003833354147655,7.724700131438182e-05,0.013038243245700189,0.0,0.0,0.0
20260917,AB_P06,osi_target_t24h,aligned,full,28680,0.01361046298859043,0.004256858023846132,5.312818075265496,5.465120876304688e-05,0.013425992891076604,0.00018447009751382595,1.3739773215315054,-0.1430391382751468
20260917,AB_P06,osi_target_t24h,aligned,common_120_215,22944,0.012850683122866248,0.0035119038362208797,3.7889734614827857,-2.354261715150635e-05,0.012704781388462498,0.00014590173440374998,1.1484001962933865,-0.08554869085165784
20260917,AB_P06,osi_target_t48h,component_clipped,full,22944,0.012620150671943798,0.0034690336986761025,3.6542496492319367,-0.00017162511786081785,0.012620150671943798,0.0,0.0,0.0
20260917,AB_P06,osi_target_t48h,component_clipped,common_120_215,22944,0.012620150671943798,0.0034690336986761025,3.6542496492319367,-0.00017162511786081785,0.012620150671943798,0.0,0.0,0.0
