split_seed,case,horizon,space,P71_group,n,rmse,mae,sse,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
20260917,B0,osi_target_t06h,aligned,.01<=p<.1,8418,0.012864347231996674,0.004899687137845546,1.393106855259893,0.0010248902902977547,0.012864347231996674,0.0,0.0,0.0
20260917,B0,osi_target_t06h,aligned,.1<=p<.5,4968,0.025009093971988205,0.009858541129832265,3.107259353497092,-0.00039615048474549587,0.025009093971988205,0.0,0.0,0.0
20260917,B0,osi_target_t06h,aligned,.5<=p<=1,276,0.01894410916131142,0.010520265544834075,0.09905067904872858,-0.0022708004637252625,0.01894410916131142,0.0,0.0,0.0
20260917,B0,osi_target_t24h,component_clipped,p=0,6360,0.017280850894248963,0.005199184361757497,1.8992728565221266,0.00024498307203952,0.017280850894248963,0.0,0.0,0.0
20260917,B0,osi_target_t24h,component_clipped,0<p<.01,10440,0.012571792723627403,0.003543705549938153,1.6500417106642837,-0.00027747834445411297,0.012571792723627403,0.0,0.0,0.0
20260917,B0,osi_target_t24h,component_clipped,.01<=p<.1,7320,0.012721285804158955,0.004453591770967225,1.1846037435812238,0.0009328893880697316,0.012721285804158955,0.0,0.0,0.0
20260917,B0,osi_target_t24h,component_clipped,.1<=p<.5,4320,0.013183524364241965,0.00637646981237536,0.7508389593422657,-0.00031391323871297205,0.013183524364241965,0.0,0.0,0.0
20260917,B0,osi_target_t24h,component_clipped,.5<=p<=1,240,0.017349369266454872,0.01037407009453873,0.07224014734651413,-0.002363477591171539,0.017349369266454872,0.0,0.0,0.0
20260917,B0,osi_target_t24h,aligned,p=0,6360,0.01657998546479947,0.004597220481146399,1.7483380385624363,-0.0003438952968806084,0.01657998546479947,0.0,0.0,0.0
20260917,B0,osi_target_t24h,aligned,0<p<.01,10440,0.01262735586963397,0.0033218476506494694,1.6646592137374818,-0.0004306198661683333,0.01262735586963397,0.0,0.0,0.0
20260917,B0,osi_target_t24h,aligned,.01<=p<.1,7320,0.012355222755123692,0.004192502619600041,1.1174091946862763,0.0008896262049721315,0.012355222755123692,0.0,0.0,0.0
20260917,B0,osi_target_t24h,aligned,.1<=p<.5,4320,0.011481920297650052,0.005812516698548645,0.5695250128772612,0.00034401004219511454,0.011481920297650052,0.0,0.0,0.0
20260917,B0,osi_target_t24h,aligned,.5<=p<=1,240,0.017059635245086295,0.00930799717880102,0.06984747712689372,-0.003058111757552336,0.017059635245086295,0.0,0.0,0.0
