split_seed,horizon,kind,supported_rows,all_valid_rows,supported_counties,raw_label_rmse,clipped_label_rmse,raw_P_contribution_rmse,clipped_P_contribution_rmse,clip_low_rows,clip_high_rows
20260917,osi_target_t06h,a,25668,32982,186,0.3273409100073876,0.3273353707645181,0.008695094787586137,0.008694835818539247,514,0
20260917,osi_target_t06h,b,32982,32982,239,0.013875172439979835,0.013853199725598214,0.013324660161726756,0.01330299738254732,11095,0
