horizon,confirmation_splits,mean_within_split_rmse_delta,min_within_split_rmse_delta,max_within_split_rmse_delta,mean_within_split_rmse_change_pct
osi_target_t01h,2,-2.4314642170945e-05,-2.831049272546994e-05,-2.0318791616420057e-05,-0.20196338079645493
osi_target_t06h,2,0.0,0.0,0.0,0.0
osi_target_t24h,2,0.0,0.0,0.0,0.0
osi_target_t48h,2,0.0,0.0,0.0,0.0
