split_seed,horizon,model,population,n,baseline_rmse,baseline_mae,baseline_sse,baseline_bias,candidate_rmse,candidate_mae,candidate_sse,candidate_bias,rmse_delta,rmse_change_pct,sse_reduction,changed_predictions,counties,replicates,seed,ci_low,ci_high,bootstrap_fraction_delta_lt0,bootstrap_fraction_delta_eq0
42,osi_target_t01h,C0_direct_osi,all_counties,34177,0.012037457339389941,0.003599131095178727,4.952260259837495,-0.00013171246546132397,0.012037457339389941,0.003599131095178727,4.952260259837495,-0.00013171246546132397,0.0,0.0,0.0,0,239,2000,20260910,0.0,0.0,0.0,1.0
42,osi_target_t01h,C1_component_osi,all_counties,34177,0.011907090816672686,0.003540335342219387,4.845574448034514,-0.0001090468730581216,0.011878902534761171,0.0035384359938404534,4.822659238233256,-0.00010612166590645576,-2.8188281911515137e-05,-0.23673525586993538,0.022915209801258385,54,239,2000,20260910,-9.24197304672903e-05,2.317907916537874e-08,0.9615,0.0
42,osi_target_t01h,C1_component_osi,exclude_Morrow_diagnostic_only,34034,0.011474732893814312,0.0034702161059717053,4.481239592298531,-4.016750753189377e-05,0.01147461844660742,0.0034696812789299226,4.481150202366429,-3.860251138640121e-05,-1.1444720689202104e-07,-0.0009973844964483725,8.938993210172441e-05,52,238,2000,20260910,-3.290896233785947e-07,6.346318135439819e-08,0.8925,0.0
42,osi_target_t01h,C2_equal_blend,all_counties,34177,0.011948976400110755,0.0035449071315145674,4.8797249709045705,-0.00012901454207799425,0.01193424034852952,0.0035439898492478313,4.867696570087254,-0.00012756522203246425,-1.473605158123538e-05,-0.1233248027931344,0.012028400817316154,56,239,2000,20260910,-4.803172338520073e-05,1.079057446113154e-08,0.963,0.0
42,osi_target_t01h,C3_aligned_component,all_counties,34177,0.011783624615677923,0.0034929554982199478,4.745606633036891,-0.00011321764680205473,0.011755140271263249,0.003491056149841014,4.722691423235632,-0.00011029243965038886,-2.848434441467436e-05,-0.2417282062496806,0.022915209801259273,54,239,2000,20260910,-9.325803639638301e-05,2.3541603280836668e-08,0.9615,0.0
42,osi_target_t01h,v18_rule,all_counties,34177,0.011783624615677923,0.0034929554982199478,4.745606633036891,-0.00011321764680205473,0.011755140271263249,0.003491056149841014,4.722691423235632,-0.00011029243965038886,-2.848434441467436e-05,-0.2417282062496806,0.022915209801259273,54,239,2000,20260910,-9.325803639638301e-05,2.3541603280836668e-08,0.9615,0.0
42,osi_target_t01h,v18_rule,exclude_Morrow_diagnostic_only,34034,0.011335123004986174,0.0034222507600559894,4.372858950757969,-4.000127218551757e-05,0.011335007148167394,0.0034217159330142068,4.372769560825867,-3.843627604002501e-05,-1.1585681877930576e-07,-0.001022104645254096,8.938993210172441e-05,52,238,2000,20260910,-3.341823554613415e-07,6.406113759018287e-08,0.8925,0.0
42,osi_target_t06h,C0_direct_osi,all_counties,32982,0.01073393416160627,0.003461091435797809,3.8000983931614947,1.0093322570397718e-05,0.01073393416160627,0.003461091435797809,3.8000983931614947,1.0093322570397718e-05,0.0,0.0,0.0,0,239,2000,20260910,0.0,0.0,0.0,1.0
42,osi_target_t06h,C1_component_osi,all_counties,32982,0.010621545697340714,0.0034298288998334237,3.7209379788289896,-2.6052803273897497e-07,0.010621545697340714,0.0034298288998334237,3.7209379788289896,-2.6052803273897497e-07,0.0,0.0,0.0,0,239,2000,20260910,0.0,0.0,0.0,1.0
42,osi_target_t06h,C2_equal_blend,all_counties,32982,0.010653558786996201,0.003419836446260306,3.7434014196565677,-9.769861321811721e-06,0.010653558786996201,0.003419836446260306,3.7434014196565677,-9.769861321811721e-06,0.0,0.0,0.0,0,239,2000,20260910,0.0,0.0,0.0,1.0
