split_seed,horizon,model,fold,n,baseline_rmse,baseline_mae,baseline_sse,baseline_bias,candidate_rmse,candidate_mae,candidate_sse,candidate_bias,rmse_delta,rmse_change_pct,sse_reduction,changed_predictions
42,osi_target_t01h,C0_direct_osi,0,6864,0.0068914602924788,0.002798437249228229,0.32598663214474155,0.00017853276190614448,0.0068914602924788,0.002798437249228229,0.32598663214474155,0.00017853276190614448,0.0,0.0,0.0,0
42,osi_target_t01h,C0_direct_osi,1,6721,0.010590048791515361,0.0037813675457644565,0.7537543256262691,-0.0003804539387695463,0.010590048791515361,0.0037813675457644565,0.7537543256262691,-0.0003804539387695463,0.0,0.0,0.0,0
42,osi_target_t01h,C0_direct_osi,2,6864,0.013282252064634785,0.0040659406693599,1.2109346614519099,-0.0005315700917387339,0.013282252064634785,0.0040659406693599,1.2109346614519099,-0.0005315700917387339,0.0,0.0,0.0,0
42,osi_target_t01h,C0_direct_osi,3,6864,0.01619361981450347,0.003995209796294814,1.7999695269900076,0.00045190610740525366,0.01619361981450347,0.003995209796294814,1.7999695269900076,0.00045190610740525366,0.0,0.0,0.0,0
42,osi_target_t01h,C0_direct_osi,4,6864,0.011203868858249656,0.003358496807966772,0.8616151136245667,-0.0003821592801369917,0.011203868858249656,0.003358496807966772,0.8616151136245667,-0.0003821592801369917,0.0,0.0,0.0,0
42,osi_target_t01h,C1_component_osi,0,6864,0.006878686349096312,0.0027534482699063992,0.32477926090377046,0.0001243169946495215,0.006878008182396166,0.0027523442813652127,0.32471522436799344,0.00012628294777262814,-6.781667001463584e-07,-0.009858956575847788,6.40365357770234e-05,16
42,osi_target_t01h,C1_component_osi,1,6721,0.010475133301922051,0.0037395520911788424,0.7374846953148975,-0.0003595731961810137,0.010475476154200185,0.0037401627476018255,0.7375329720171535,-0.00035863675975317,3.4285227813388164e-07,0.0032730111231282777,-4.827670225604486e-05,6
42,osi_target_t01h,C1_component_osi,2,6864,0.013207141020764496,0.004075026188000249,1.1972777315403609,-0.00043083264948565707,0.013206991676233862,0.004074350225690238,1.1972506543902626,-0.00042843049497314455,-1.4934453063455977e-07,-0.001130786219361024,2.7077150098309133e-05,18
42,osi_target_t01h,C1_component_osi,3,6864,0.016006889356241803,0.003865425522315354,1.7586975591074063,0.00037772139538420825,0.01600680207722095,0.003864674254021297,1.758678380242726,0.0003785034557717186,-8.72790208543417e-08,-0.0005452591000820739,1.9178864680391428e-05,7
42,osi_target_t01h,C1_component_osi,4,6864,0.0109787302386338,0.003272374988632745,0.8273352011680789,-0.00026208620805606036,0.01082603757749078,0.0032648511012270537,0.80448200721512,-0.0002535882094721175,-0.00015269266114301995,-1.3908043810540116,0.022853193952958928,7
42,osi_target_t01h,C2_equal_blend,0,6864,0.00684389822693314,0.0027474768339757713,0.3215025043444059,0.00014080696943727535,0.006843423921396736,0.002746755849309721,0.32145794344397505,0.00014182838538568347,-4.743055364037768e-07,-0.006930341753730307,4.45609004308678e-05,15
42,osi_target_t01h,C2_equal_blend,1,6721,0.010514267475081093,0.003745242024912313,0.743005343832861,-0.00037691271254323966,0.010514452449068875,0.0037456168075153864,0.7430314869513724,-0.00037651394872089924,1.8497398778134777e-07,0.0017592665225496518,-2.6143118511456898e-05,6
42,osi_target_t01h,C2_equal_blend,2,6864,0.013225581135766834,0.004045351968773173,1.2006233991437505,-0.0004871682206445568,0.013225545518929942,0.004045565434173827,1.200616932531848,-0.0004860302958902469,-3.5616836891252945e-08,-0.00026930262289059925,6.466611902400388e-06,18
