split_seed,D_projected_rows,D_projected_counties,D_rmse_delta,primary_changed_rows,primary_changed_counties,improved_counties,worsened_counties,unchanged_counties,D_improved_rows,D_worsened_rows,primary_improved_rows,primary_worsened_rows,total_sse_reduction,morrow_sse_reduction,morrow_fraction_of_net_sse_reduction,primary_rmse_delta,primary_rmse_change_pct,primary_ci_low,primary_ci_high,exclude_morrow_rmse_change_pct,exclude_morrow_ci_low,exclude_morrow_ci_high
42,92,52,-0.00011125520014614379,54,34,21,13,205,92,0,35,19,0.022915209801259273,0.02282581986915644,0.9960991004281391,-2.848434441467436e-05,-0.2417282062496806,-9.325803639638301e-05,2.3541603280836668e-08,-0.001022104645254096,-3.341823554613415e-07,6.406113759018287e-08
20260917,90,56,-0.00010911544515886801,55,37,17,20,202,90,0,24,31,0.02416894579313844,0.02410811022522985,0.9974829035395553,-2.831049272546994e-05,-0.22641705935336764,-9.199834993656514e-05,1.1032941002967573e-07,-0.0006143295385285796,-3.663097205811646e-07,1.622345650147124e-07
20260918,109,54,-8.465507807188868e-05,51,34,15,19,205,109,0,23,28,0.01588371049222559,0.015937334513517754,1.0033760386981625,-2.0318791616420057e-05,-0.1775097022395422,-6.863493435218222e-05,1.9930076906363674e-07,0.0006425516181796098,-5.323841375235762e-08,2.5385480875729996e-07
