split_seed,horizon,model,fipsCode,countyName,fold,n,baseline_rmse,baseline_mae,baseline_sse,baseline_bias,candidate_rmse,candidate_mae,candidate_sse,candidate_bias,rmse_delta,rmse_change_pct,sse_reduction,changed_predictions
42,osi_target_t01h,C0_direct_osi,18009,Blackford County,0,143,0.006455825305257041,0.00377570498351586,0.005959908293195596,0.0017863094348808213,0.006455825305257041,0.00377570498351586,0.005959908293195596,0.0017863094348808213,0.0,0.0,0.0,0
42,osi_target_t01h,C0_direct_osi,18013,Brown County,1,143,0.029371327521367934,0.013826883390686334,0.12336250789254756,-0.008311937756757646,0.029371327521367934,0.013826883390686334,0.12336250789254756,-0.008311937756757646,0.0,0.0,0.0,0
42,osi_target_t01h,C0_direct_osi,18023,Clinton County,3,143,0.0020370069404625564,0.0008132340203464174,0.0005933638103954454,0.0007527140716184442,0.0020370069404625564,0.0008132340203464174,0.0005933638103954454,0.0007527140716184442,0.0,0.0,0.0,0
42,osi_target_t01h,C0_direct_osi,18025,Crawford County,2,143,0.01226871557645628,0.002234434609479308,0.021524557611125275,-0.0018289135531819475,0.01226871557645628,0.002234434609479308,0.021524557611125275,-0.0018289135531819475,0.0,0.0,0.0,0
42,osi_target_t01h,C0_direct_osi,18027,Daviess County,2,143,0.004120957225489651,0.0018056382801498899,0.002428467248967097,0.0017972466717582818,0.004120957225489651,0.0018056382801498899,0.002428467248967097,0.0017972466717582818,0.0,0.0,0.0,0
42,osi_target_t01h,C0_direct_osi,18029,Dearborn County,1,143,0.0015717899952437274,0.0006256160903712002,0.00035328490184820347,0.0001988883893752662,0.0015717899952437274,0.0006256160903712002,0.00035328490184820347,0.0001988883893752662,0.0,0.0,0.0,0
42,osi_target_t01h,C0_direct_osi,18033,DeKalb County,1,143,0.003094353597715886,0.0013467780446412543,0.0013692284588407066,-0.0009221569503268484,0.003094353597715886,0.0013467780446412543,0.0013692284588407066,-0.0009221569503268484,0.0,0.0,0.0,0
42,osi_target_t01h,C0_direct_osi,18035,Delaware County,1,143,0.0019665131432639598,0.0009989619632557734,0.0005530058737960755,-0.0005182894714011515,0.0019665131432639598,0.0009989619632557734,0.0005530058737960755,-0.0005182894714011515,0.0,0.0,0.0,0
42,osi_target_t01h,C0_direct_osi,18037,Dubois County,3,143,0.002865045643283015,0.001245891755797082,0.001173813574947583,0.0008450505418011515,0.002865045643283015,0.001245891755797082,0.001173813574947583,0.0008450505418011515,0.0,0.0,0.0,0
42,osi_target_t01h,C0_direct_osi,18039,Elkhart County,4,143,0.0025936395003720277,0.0018350438197421133,0.0009619561176782788,0.001787178710243755,0.0025936395003720277,0.0018350438197421133,0.0009619561176782788,0.001787178710243755,0.0,0.0,0.0,0
