fipsCode,countyName,sse_reduction_split42,sse_reduction_split20260917,sse_reduction_split20260918,confirmation_improved_splits,confirmation_worsened_splits
39091,Logan County,0.0,0.0,0.0,0,0
39093,Lorain County,0.0,0.0,0.0,0,0
39095,Lucas County,0.0,0.0,0.0,0,0
39097,Madison County,0.0,0.0,0.0,0,0
39099,Mahoning County,2.227825653423909e-05,0.0,5.130197458878133e-07,1,0
39101,Marion County,0.0,0.0,0.0,0,0
39103,Medina County,0.0,0.0,0.0,0,0
39105,Meigs County,0.0,-3.7483266001302196e-07,0.0,0,1
39107,Mercer County,0.0,0.0,0.0,0,0
39109,Miami County,0.0,0.0,0.0,0,0
39111,Monroe County,0.0,0.0,0.0,0,0
39113,Montgomery County,6.3373188413606255e-06,5.793187675587016e-06,1.2929697394008818e-05,2,0
39115,Morgan County,0.0,0.0,0.0,0,0
39117,Morrow County,0.02282581986915644,0.02410811022522985,0.015937334513517754,2,0
39119,Muskingum County,0.0,0.0,0.0,0,0
39121,Noble County,0.0,0.0,0.0,0,0
39123,Ottawa County,0.0,0.0,0.0,0,0
39125,Paulding County,0.0,0.0,0.0,0,0
39127,Perry County,0.0,0.0,0.0,0,0
39129,Pickaway County,0.0,0.0,0.0,0,0
39131,Pike County,1.1237430695251044e-05,3.331485539433826e-06,1.2458823122913493e-05,2,0
39133,Portage County,0.0,0.0,0.0,0,0
39135,Preble County,5.203382870373925e-06,0.0,7.082262784536587e-06,1,0
39137,Putnam County,0.0,0.0,0.0,0,0
39139,Richland County,0.0,0.0,0.0,0,0
39141,Ross County,5.443497144278376e-06,2.9975393297852846e-06,7.438383595528841e-07,2,0
39143,Sandusky County,0.0,0.0,0.0,0,0
39145,Scioto County,0.0,0.0,0.0,0,0
39147,Seneca County,0.0,0.0,0.0,0,0
39149,Shelby County,0.0,0.0,0.0,0,0
39151,Stark County,0.0,0.0,0.0,0,0
39153,Summit County,0.0,0.0,0.0,0,0
39155,Trumbull County,-1.4017927435871873e-06,0.0,-4.707861160225223e-06,0,1
39157,Tuscarawas County,0.0,0.0,0.0,0,0
39159,Union County,0.0,0.0,0.0,0,0
39161,Van Wert County,0.0,7.991878771640166e-05,0.0,1,0
39163,Vinton County,-4.258959000742572e-06,-7.918728063124533e-07,-1.0009504475348924e-05,0,2
39165,Warren County,5.669066032067539e-07,-1.6969356234959208e-06,1.3994404457271631e-06,1,1
39167,Washington County,0.0,0.0,0.0,0,0
39169,Wayne County,0.0,0.0,0.0,0,0
39171,Williams County,0.0,0.0,0.0,0,0
