case,reference,pair,horizon,group,n,rmse,sse,mae,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction,ci_low,ci_high,bootstrap_replicates,bootstrap_unit
N_only,B0,N_only_minus_B0,1,all,34177,0.010835309055932387,4.012513853731143,0.003218804433456486,-0.00013238600926258263,0.010840689291401098,-5.380235468711511e-06,-0.04963001266883316,0.00398578924395121,-1.3491334013620344e-05,5.956263848776231e-07,2000,county_full_trajectory
N_only,B0,N_only_minus_B0,1,test_like,23317,0.011901089189147705,3.302524837297624,0.003268610671562802,-0.00045912474151942864,0.011906475211728657,-5.386022580952318e-06,-0.04523607940364327,0.0029898941287824776,-1.6675604470112984e-05,1.8837066604246651e-06,2000,county_full_trajectory
R_only,B0,R_only_minus_B0,1,all,34177,0.010841353394838483,4.016991761667805,0.0032289579790065275,-0.0001227651102259653,0.010840689291401098,6.641034373845722e-07,0.006126025933705925,-0.000492118692711152,-2.4408694185238005e-06,4.1679870837636125e-06,2000,county_full_trajectory
R_only,B0,R_only_minus_B0,1,test_like,23317,0.011906941365359023,3.3057735666952066,0.0032775888808283075,-0.0004508680279673989,0.011906475211728657,4.6615363036642266e-07,0.003915127038656152,-0.0002588352687999951,-3.259205961217773e-06,4.9979526852393635e-06,2000,county_full_trajectory
NR_both,B0,NR_both_minus_B0,1,all,34177,0.010835613640629215,4.012739443511168,0.0032203181707974623,-0.00013144054076173517,0.010840689291401098,-5.075650771882781e-06,-0.04682036940131251,0.0037601994639260283,-1.2190469518726619e-05,1.2642337830665115e-06,2000,county_full_trajectory
NR_both,B0,NR_both_minus_B0,1,test_like,23317,0.011901085508451648,3.302522794528585,0.0032699093341189917,-0.0004580162873978451,0.011906475211728657,-5.389703277009286e-06,-0.04526699280152924,0.0029919368978217342,-1.4628005877805658e-05,2.7550301463540583e-06,2000,county_full_trajectory
NR_both,N_only,NR_both_minus_N_only,1,all,34177,0.010835613640629215,4.012739443511168,0.0032203181707974623,-0.00013144054076173517,0.010835309055932387,3.0458469682873024e-07,0.002811038386218989,-0.0002255897800251816,-2.6341424888265236e-06,3.6159609009309996e-06,2000,county_full_trajectory
NR_both,N_only,NR_both_minus_N_only,1,test_like,23317,0.011901085508451648,3.302522794528585,0.0032699093341189917,-0.0004580162873978451,0.011901089189147705,-3.680696056967969e-09,-3.092738822818575e-05,2.042769039256598e-06,-3.4881892593025593e-06,4.192403925343297e-06,2000,county_full_trajectory
NR_both,R_only,NR_both_minus_R_only,1,all,34177,0.010835613640629215,4.012739443511168,0.0032203181707974623,-0.00013144054076173517,0.010841353394838483,-5.739754209267353e-06,-0.05294315202380995,0.00425231815663718,-1.3746852402629325e-05,1.4276241616286346e-07,2000,county_full_trajectory
NR_both,R_only,NR_both_minus_R_only,1,test_like,23317,0.011901085508451648,3.302522794528585,0.0032699093341189917,-0.0004580162873978451,0.011906941365359023,-5.855856907375709e-06,-0.04918019437311072,0.0032507721666217293,-1.732264370815223e-05,1.439939818620873e-06,2000,county_full_trajectory
N_only,B0,N_only_minus_B0,6,all,32982,0.0099066477325815,3.236908536768898,0.003094759042666435,-0.00011489838547081977,0.009909062742500467,-2.4150099189670926e-06,-0.02437172900933149,0.001578358140034819,-7.816474697484823e-06,3.2725078021712283e-06,2000,county_full_trajectory
N_only,B0,N_only_minus_B0,6,test_like,22578,0.010599615889976299,2.5366802276855287,0.0031188884299456136,-0.0003820044964387891,0.01060151652629748,-1.9006363211806349e-06,-0.01792796640429639,0.0009097950123133636,-8.208481721732816e-06,5.1936642082221815e-06,2000,county_full_trajectory
R_only,B0,R_only_minus_B0,6,all,32982,0.009910742450742515,3.2395849148366924,0.003102181154043428,-0.00010635922612412961,0.009909062742500467,1.6797082420475645e-06,0.01695123227793971,-0.001098019927759708,-1.1111562302004714e-07,3.842049088320166e-06,2000,county_full_trajectory
R_only,B0,R_only_minus_B0,6,test_like,22578,0.01060330536199668,2.5384464500931,0.0031246683827197987,-0.00037503126999978274,0.01060151652629748,1.7888356991999088e-06,0.016873394431482502,-0.0008564273952580415,-4.064408179164751e-07,4.653505056074663e-06,2000,county_full_trajectory
NR_both,B0,NR_both_minus_B0,6,all,32982,0.009907924620564076,3.2377430139985712,0.0030964005106118493,-0.00011328188851095519,0.009909062742500467,-1.138121936391026e-06,-0.011485666868471522,0.000743880910361483,-6.846530995723022e-06,4.9684260438520926e-06,2000,county_full_trajectory
NR_both,B0,NR_both_minus_B0,6,test_like,22578,0.010600864747662624,2.537278011465376,0.003120312553385321,-0.00038021603598822933,0.01060151652629748,-6.517786348553267e-07,-0.006147975464065869,0.00031201123246615836,-7.652914062237364e-06,7.161134920727942e-06,2000,county_full_trajectory
