case,horizon,improved_counties,worsened_counties,unchanged_counties,gross_gain,gross_loss,net_sse_reduction,forest_sse_reduction,forest_share_net,top5_gain,top5_share_gross_gain
NR_both,1,131,108,0,0.008404517061121651,0.004644317597195498,0.003760199463926153,0.0010106884422669271,0.26878585882559347,0.0036282467960029076,0.43170199663068903
NR_both,6,130,109,0,0.005382020630312127,0.004638139719950465,0.0007438809103616617,0.0012016914045931415,1.615435196487164,0.0020939124014677894,0.3890569258829382
N_only,1,143,96,0,0.008093108373504175,0.004107319129553382,0.0039857892439507945,-4.600020649325742e-05,-0.011541053396907934,0.003169624713070659,0.39164491154568176
N_only,6,142,97,0,0.005656486882670556,0.00407812874263538,0.0015783581400351764,0.0008960265812819612,0.5676953528823261,0.0020005965741382967,0.3536818197647388
R_only,1,92,147,0,0.0025438492573158222,0.0030359679500273967,-0.0004921186927115745,0.0010559589504850475,,0.001591270388671179,0.6255364322767419
R_only,6,90,149,0,0.00132173167618507,0.0024197516039446212,-0.001098019927759552,0.0003054952471387429,,0.0006222420471705525,0.47077788811609417
