case,reference,pair,horizon,fipsCode,countyName,stateAbbr,fold,n,rmse,sse,mae,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
N_only,B0,N_only_minus_B0,1,18013,Brown County,IN,1,143,0.02874540649201352,0.11816067039792633,0.01297242879413538,-0.008830164992437377,0.028703057474194202,4.234901781931949e-05,0.147541835420828,-0.00034790270146026203
N_only,B0,N_only_minus_B0,1,39115,Morgan County,OH,2,143,0.03168624471952796,0.14357458893289132,0.006741787741107091,-0.005181144737671061,0.031686547474853145,-3.0275532518497794e-07,-0.000955469589813962,2.7436623941390348e-06
N_only,B0,N_only_minus_B0,1,39117,Morrow County,OH,4,143,0.015581401855154298,0.03471755197936823,0.009766543249374987,-0.00033424757859429295,0.015593940218989697,-1.2538363835398747e-05,-0.08040536041128421,5.589695277146561e-05
N_only,B0,N_only_minus_B0,1,39119,Muskingum County,OH,1,143,0.02196429193741523,0.06898750720461652,0.014780754607439387,0.01475278257946736,0.021970577270443388,-6.2853330281588404e-06,-0.028607955770987292,3.948877568635267e-05
N_only,B0,N_only_minus_B0,1,42053,Forest County,PA,3,143,0.09428395379860838,1.2711933439774308,0.03409769128616423,-0.025882213789094277,0.09428224787377755,1.7059248308276542e-06,0.0018093807363506187,-4.600020649325742e-05
N_only,B0,N_only_minus_B0,1,54007,Braxton County,WV,4,143,0.02388159926462407,0.08155730203136129,0.012407478963182134,-0.011139730763927304,0.023896510925303482,-1.4911660679413352e-05,-0.06240099538390442,0.00010188048828897733
N_only,B0,N_only_minus_B0,1,54013,Calhoun County,WV,2,143,0.04358590729281259,0.2716615779788844,0.02179986270043054,-0.020373649407065316,0.04354624820417804,3.9659088634548534e-05,0.09107349144890087,-0.0004941482085217275
N_only,B0,N_only_minus_B0,1,54015,Clay County,WV,2,143,0.05045961391773097,0.3641026870518851,0.026408861590250386,-0.024278333906597494,0.050379075649942304,8.05382677886643e-05,0.15986452063607715,-0.0011613563938919214
N_only,B0,N_only_minus_B0,1,54041,Lewis County,WV,4,143,0.014384238780304235,0.029587604516299586,0.003342678529623626,-0.00280649610723611,0.014323462381127942,6.077639917629295e-05,0.42431360211041547,-0.00024949935084659855
N_only,B0,N_only_minus_B0,1,54087,Roane County,WV,0,143,0.009095202463858712,0.011829347223777167,0.004087840247475911,-0.0018536398098649084,0.009062930107034578,3.227235682413433e-05,0.35609186480523025,-8.379881990305642e-05
N_only,B0,N_only_minus_B0,1,54109,Wyoming County,WV,3,143,0.009276850722898782,0.012306574184897515,0.0056182622076327605,0.00559728318665374,0.009298337940537171,-2.1487217638388803e-05,-0.23108664984859972,5.70754643724105e-05
R_only,B0,R_only_minus_B0,1,18013,Brown County,IN,1,143,0.028705131934801627,0.11782979771339466,0.012976070810683818,-0.008780663286102875,0.028703057474194202,2.074460607424944e-06,0.0072273157982971625,-1.7030016928598624e-05
R_only,B0,R_only_minus_B0,1,39115,Morgan County,OH,2,143,0.03168588265645854,0.14357130783979702,0.0067423337603954815,-0.005158726190527984,0.031686547474853145,-6.648183946064701e-07,-0.0020981092848093574,6.0247554884429455e-06
R_only,B0,R_only_minus_B0,1,39117,Morrow County,OH,4,143,0.015583111899395064,0.03472517283507673,0.009759280718384482,-0.0002916902655446541,0.015593940218989697,-1.0828319594632929e-05,-0.0694392786080189,4.827609706296865e-05
R_only,B0,R_only_minus_B0,1,39119,Muskingum County,OH,1,143,0.02197485439294179,0.06905387425951201,0.014792494482315595,0.014760326650147763,0.021970577270443388,4.277122498400759e-06,0.019467501676229126,-2.687827920913599e-05
R_only,B0,R_only_minus_B0,1,42053,Forest County,PA,3,143,0.09424307898093821,1.2700913848204525,0.03404272347447958,-0.025916693558513483,0.09428224787377755,-3.916889283933633e-05,-0.04154429250751157,0.0010559589504850475
R_only,B0,R_only_minus_B0,1,54007,Braxton County,WV,4,143,0.023911965242104462,0.0817648376887645,0.012448511311168232,-0.011168355929769502,0.023896510925303482,1.5454316800979362e-05,0.06467185460374836,-0.00010565516911423267
R_only,B0,R_only_minus_B0,1,54013,Calhoun County,WV,2,143,0.043542835127399246,0.2711249242032579,0.02178659569234408,-0.020388350295477704,0.04354624820417804,-3.413076778792379e-06,-0.007837820523115546,4.250556710477804e-05
R_only,B0,R_only_minus_B0,1,54015,Clay County,WV,2,143,0.05038894318380818,0.36308352011089,0.026425682297338222,-0.024160439126880984,0.050379075649942304,9.867533865878797e-06,0.019586571882435067,-0.00014218945289684592
R_only,B0,R_only_minus_B0,1,54041,Lewis County,WV,4,143,0.0143819562796898,0.029578215299619973,0.0033483069162834403,-0.0028166418677452666,0.014323462381127942,5.849389856185834e-05,0.408378204971771,-0.0002401101341669848
R_only,B0,R_only_minus_B0,1,54087,Roane County,WV,0,143,0.00907388101543653,0.011773950285568824,0.004044949910672862,-0.001912408584016245,0.009062930107034578,1.0950908401951773e-05,0.1208318752613069,-2.8401881694712847e-05
R_only,B0,R_only_minus_B0,1,54109,Wyoming County,WV,3,143,0.009281183909566466,0.01231807359113695,0.005616398425176058,0.005595419404197037,0.009298337940537171,-1.7154030970705295e-05,-0.18448491634102115,4.5576058132974426e-05
NR_both,B0,NR_both_minus_B0,1,18013,Brown County,IN,1,143,0.02874754126608406,0.11817822142486444,0.012957979700241862,-0.008838862590026827,0.028703057474194202,4.448379188985718e-05,0.15497928027301544,-0.0003654537283983711
NR_both,B0,NR_both_minus_B0,1,39115,Morgan County,OH,2,143,0.03168552071163554,0.14356802785575032,0.0067414335409538406,-0.005173347469614313,0.031686547474853145,-1.0267632176083619e-06,-0.0032403758043475506,9.304739535143103e-06
NR_both,B0,NR_both_minus_B0,1,39117,Morrow County,OH,4,143,0.01557059202178064,0.03466939703494966,0.009760928477060574,-0.0003125328036655927,0.015593940218989697,-2.3348197209057536e-05,-0.14972609155333716,0.00010405189719003838
NR_both,B0,NR_both_minus_B0,1,39119,Muskingum County,OH,1,143,0.021968567710964778,0.06901436931978792,0.014788820202138972,0.014760848174166943,0.021970577270443388,-2.009559478610007e-06,-0.009146593891795618,1.2626660514949983e-05
NR_both,B0,NR_both_minus_B0,1,42053,Forest County,PA,3,143,0.09424475854278531,1.2701366553286706,0.03408410912655083,-0.025861960375091197,0.09428224787377755,-3.748933099223528e-05,-0.039762873539483934,0.0010106884422669271
NR_both,B0,NR_both_minus_B0,1,54007,Braxton County,WV,4,143,0.023896981718346505,0.08166240014031917,0.012420173282391101,-0.011156285676324349,0.023896510925303482,4.7079304302255487e-07,0.0019701329808885504,-3.2176206689049636e-06
NR_both,B0,NR_both_minus_B0,1,54013,Calhoun County,WV,2,143,0.04358217048073935,0.27161499848514864,0.021798764509523914,-0.020374164161127098,0.04354624820417804,3.592227656130931e-05,0.0824922422544283,-0.00044756871478596194
NR_both,B0,NR_both_minus_B0,1,54015,Clay County,WV,2,143,0.05046945279267243,0.3642446901224261,0.02641645153586353,-0.024278197949411925,0.050379075649942304,9.037714273012892e-05,0.17939420595589617,-0.0013033594644329405
