case,reference,pair,horizon,n,rmse,sse,mae,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
N_only,B0,N_only_minus_B0,1,34177,0.010835309055932387,4.012513853731143,0.003218804433456486,-0.00013238600926258263,0.010840689291401098,-5.380235468711511e-06,-0.04963001266883316,0.00398578924395121
R_only,B0,R_only_minus_B0,1,34177,0.010841353394838483,4.016991761667805,0.0032289579790065275,-0.0001227651102259653,0.010840689291401098,6.641034373845722e-07,0.006126025933705925,-0.000492118692711152
NR_both,B0,NR_both_minus_B0,1,34177,0.010835613640629215,4.012739443511168,0.0032203181707974623,-0.00013144054076173517,0.010840689291401098,-5.075650771882781e-06,-0.04682036940131251,0.0037601994639260283
NR_both,N_only,NR_both_minus_N_only,1,34177,0.010835613640629215,4.012739443511168,0.0032203181707974623,-0.00013144054076173517,0.010835309055932387,3.0458469682873024e-07,0.002811038386218989,-0.0002255897800251816
NR_both,R_only,NR_both_minus_R_only,1,34177,0.010835613640629215,4.012739443511168,0.0032203181707974623,-0.00013144054076173517,0.010841353394838483,-5.739754209267353e-06,-0.05294315202380995,0.00425231815663718
N_only,B0,N_only_minus_B0,6,32982,0.0099066477325815,3.236908536768898,0.003094759042666435,-0.00011489838547081977,0.009909062742500467,-2.4150099189670926e-06,-0.02437172900933149,0.001578358140034819
R_only,B0,R_only_minus_B0,6,32982,0.009910742450742515,3.2395849148366924,0.003102181154043428,-0.00010635922612412961,0.009909062742500467,1.6797082420475645e-06,0.01695123227793971,-0.001098019927759708
NR_both,B0,NR_both_minus_B0,6,32982,0.009907924620564076,3.2377430139985712,0.0030964005106118493,-0.00011328188851095519,0.009909062742500467,-1.138121936391026e-06,-0.011485666868471522,0.000743880910361483
NR_both,N_only,NR_both_minus_N_only,6,32982,0.009907924620564076,3.2377430139985712,0.0030964005106118493,-0.00011328188851095519,0.0099066477325815,1.2768879825760665e-06,0.012889203462607135,-0.000834477229673336
NR_both,R_only,NR_both_minus_R_only,6,32982,0.009907924620564076,3.2377430139985712,0.0030964005106118493,-0.00011328188851095519,0.009910742450742515,-2.8178301784385906e-06,-0.028432079558560197,0.001841900838121191
N_only,B0,N_only_minus_B0,24,28680,0.008434736596420678,2.040432332014631,0.002779739911447673,-9.257391647402344e-05,0.008434736596420678,0.0,0.0,0.0
R_only,B0,R_only_minus_B0,24,28680,0.008434736596420678,2.040432332014631,0.002779739911447673,-9.257391647402344e-05,0.008434736596420678,0.0,0.0,0.0
NR_both,B0,NR_both_minus_B0,24,28680,0.008434736596420678,2.040432332014631,0.002779739911447673,-9.257391647402344e-05,0.008434736596420678,0.0,0.0,0.0
NR_both,N_only,NR_both_minus_N_only,24,28680,0.008434736596420678,2.040432332014631,0.002779739911447673,-9.257391647402344e-05,0.008434736596420678,0.0,0.0,0.0
NR_both,R_only,NR_both_minus_R_only,24,28680,0.008434736596420678,2.040432332014631,0.002779739911447673,-9.257391647402344e-05,0.008434736596420678,0.0,0.0,0.0
N_only,B0,N_only_minus_B0,48,22944,0.007691202257793633,1.357242962755131,0.0022350036403240283,-0.0001565905410230873,0.007691202257793633,0.0,0.0,0.0
R_only,B0,R_only_minus_B0,48,22944,0.007691202257793633,1.357242962755131,0.0022350036403240283,-0.0001565905410230873,0.007691202257793633,0.0,0.0,0.0
NR_both,B0,NR_both_minus_B0,48,22944,0.007691202257793633,1.357242962755131,0.0022350036403240283,-0.0001565905410230873,0.007691202257793633,0.0,0.0,0.0
NR_both,N_only,NR_both_minus_N_only,48,22944,0.007691202257793633,1.357242962755131,0.0022350036403240283,-0.0001565905410230873,0.007691202257793633,0.0,0.0,0.0
NR_both,R_only,NR_both_minus_R_only,48,22944,0.007691202257793633,1.357242962755131,0.0022350036403240283,-0.0001565905410230873,0.007691202257793633,0.0,0.0,0.0
