horizon,model,n,mse,rmse,mae,medae,bias,error_std,r2,max_abs_error
osi_target_t01h,direct_component_gat,34177,0.00031338841155965447,0.017702779769280714,0.0048334705478343225,0.0007,0.000992548415455264,0.017674933074912386,0.39577097496937574,0.32646783235158655
osi_target_t06h,direct_component_gat,32982,0.0015215526729832408,0.03900708490752982,0.0062276370779959,0.0003,0.002613075762185129,0.03891946181596454,-3.1258322295256926,0.6438604448139669
osi_target_t24h,direct_component_gat,28680,0.00010990783687547077,0.01048369385643585,0.0029988286024126157,0.0002,0.00017060193410322399,0.01048230565551067,0.19428438963872052,0.3277
osi_target_t48h,direct_component_gat,22944,0.0001004319479280644,0.010021574124261337,0.0026874325621003827,0.0001,0.0002154624310743336,0.01001925765058769,-0.08513857390727897,0.3277
