horizon,outer_fold,model,n,mse,rmse,mae,medae,bias,error_std,r2,max_abs_error
osi_target_t01h,0,direct_component_gat,6864,9.808184171987257e-05,0.009903627705031755,0.0032706430181796632,0.0004,-0.000841369765175626,0.009867823399216307,0.7995677352428513,0.10177442679437809
osi_target_t01h,1,direct_component_gat,6721,0.0001093893461245072,0.010458936185124527,0.0035596822067020142,0.0004,-0.0005500562828905157,0.010444461891842961,0.6499620742287233,0.1239494573741802
osi_target_t01h,2,direct_component_gat,6864,0.0008951719855301272,0.029919424886353133,0.007978025034072059,0.0010940250187763012,0.0029416820113741544,0.02977446040609443,-0.6118649637695235,0.32646783235158655
osi_target_t01h,3,direct_component_gat,6864,0.0002931774298245188,0.017122424764749844,0.00516034893550785,0.0008032474248175276,0.0022131003059918776,0.016978799040572257,0.5469098759920444,0.32430376031696795
osi_target_t01h,4,direct_component_gat,6864,0.00016687147406934798,0.012917874208605221,0.004172116287603098,0.000859984575235285,0.0011672482100942257,0.01286503034140922,0.7140568109815033,0.1500260614402592
osi_target_t06h,0,direct_component_gat,6624,9.787469613893548e-05,0.009893164111594202,0.003270542255679931,0.0003,-0.0008814452117668805,0.009853819080822864,0.7319841799158028,0.10706052080378867
osi_target_t06h,1,direct_component_gat,6486,9.384179402942461e-05,0.009687197429051634,0.0032812321597383326,0.0003,-0.0005336418374354281,0.009672487809181418,0.5626479202496204,0.12461827326281927
osi_target_t06h,2,direct_component_gat,6624,0.006975652531747631,0.08352037195647317,0.015691198959281026,0.0003,0.010607053167153274,0.08284408823118772,-13.94056271166472,0.6438604448139669
osi_target_t06h,3,direct_component_gat,6624,0.0003045278037719455,0.017450725021383652,0.0053039867557759905,0.00040961150421644555,0.002993347332273878,0.017192081768078998,0.27681837330477843,0.22714333337247367
osi_target_t06h,4,direct_component_gat,6624,0.00010612256258339649,0.010301580586657394,0.003529841823707191,0.0002,0.0008145087440420411,0.01026932997275263,0.7143549677500658,0.11619165938240476
osi_target_t24h,0,direct_component_gat,5760,4.774725587381684e-05,0.006909938919687846,0.002132100531890823,0.0002,-7.001782809107334e-05,0.00690958416820913,0.4731870382434449,0.10234394090473652
osi_target_t24h,1,direct_component_gat,5640,5.526975742511845e-05,0.007434363283100877,0.002370361508566601,0.0002,-0.0008628844680991734,0.007384117267475623,0.360755291340484,0.12150747681538342
osi_target_t24h,2,direct_component_gat,5760,0.00023700156816018638,0.015394855249731528,0.00455133748947733,0.0002,0.00010409292693312216,0.015394503331473505,0.1941975028739399,0.3277
osi_target_t24h,3,direct_component_gat,5760,0.00015211637335103178,0.012333546665539145,0.0035962575606544945,0.0002,0.0016794840958726375,0.012218662223121754,-0.7803842212157486,0.17195860141702
osi_target_t24h,4,direct_component_gat,5760,5.626593624531808e-05,0.007501062341116629,0.002330992857018703,0.0001,-1.919602281194324e-05,0.007501037778736105,0.5387642606058152,0.11833576185812708
osi_target_t48h,0,direct_component_gat,4608,4.02583775010256e-05,0.006344948975446974,0.001613932824798123,0.0001,0.00033287547002584816,0.006336211125150477,-0.2057674564695502,0.11546901900544763
osi_target_t48h,1,direct_component_gat,4512,3.1021144933064966e-05,0.005569662910182713,0.0017920679722780717,0.0001,-0.0002887043877805696,0.005562175357676276,0.1591566813413281,0.08173227085518883
osi_target_t48h,2,direct_component_gat,4608,0.00021252292970846715,0.014578166198410113,0.003908752863115135,0.0001,-0.0007482366717363299,0.014558951596579202,0.25768556112953156,0.3277
osi_target_t48h,3,direct_component_gat,4608,0.00017162198770244167,0.013100457537904609,0.004108740189263515,0.00019880625669611618,0.0022812546519983775,0.01290030483807175,-3.8258404388521443,0.11235593886822462
osi_target_t48h,4,direct_component_gat,4608,4.528924139959356e-05,0.006729728181701959,0.0019950155320924397,0.0001,-0.0005103803825284687,0.006710346732079025,0.3221828122726358,0.11836251320559532
