horizon,fipsCode,outer_fold,n,sse,rmse
osi_target_t01h,18009,0,143,0.010739114842381372,0.008665950910977868
osi_target_t01h,18013,1,143,0.11857939849190756,0.028796294256040522
osi_target_t01h,18023,3,143,0.00040637260388792123,0.0016857539739697173
osi_target_t01h,18025,2,143,0.017183110477350366,0.010961825200655355
osi_target_t01h,18027,2,143,0.0006626230695360041,0.002152609523112131
osi_target_t01h,18029,1,143,0.0004928082730376865,0.0018563975058064049
osi_target_t01h,18033,1,143,0.0014119618381605505,0.0031422697223688068
osi_target_t01h,18035,1,143,0.0006363201441141809,0.0021094528242133516
osi_target_t01h,18037,3,143,0.0013298898415931557,0.0030495784892653447
osi_target_t01h,18039,4,143,0.00021368081564668181,0.0012224039586358857
osi_target_t01h,18041,2,143,0.00463044336766992,0.00569040621140869
osi_target_t01h,18043,4,143,0.00039681470884651566,0.0016658115241202163
osi_target_t01h,18045,3,143,0.0036356325223838963,0.005042222094774708
osi_target_t01h,18047,4,143,0.0015527259276544607,0.0032951818265933236
osi_target_t01h,18051,1,143,0.00022703050060659359,0.001260010269151719
osi_target_t01h,18059,3,143,0.00023802724787707285,0.0012901651866836972
osi_target_t01h,18061,3,143,0.0022378339894818895,0.003955905552163195
osi_target_t01h,18065,3,143,0.0008732777826662264,0.0024712016593193206
osi_target_t01h,18067,2,143,0.00041403108558062433,0.0017015646554825892
osi_target_t01h,18069,0,143,0.0003205676400572142,0.0014972413795550294
osi_target_t01h,18071,0,143,0.0078915798057004,0.007428719456752669
osi_target_t01h,18073,2,143,0.0018283804188469139,0.003575734477680568
osi_target_t01h,18077,2,143,0.004353230260809966,0.0055174423110725635
osi_target_t01h,18083,2,143,0.0005060402031025096,0.0018811546132730633
osi_target_t01h,18085,3,143,0.0014438576605761387,0.0031775630154751698
osi_target_t01h,18087,2,143,0.0018490845176949533,0.0035959228249368438
osi_target_t01h,18089,4,143,0.0012832697554032767,0.002995649240723868
osi_target_t01h,18091,0,143,0.0005332204978692645,0.001931013897001893
osi_target_t01h,18093,1,143,0.008505130779755402,0.007712096927507366
osi_target_t01h,18095,0,143,0.0004396649400705534,0.001753448031877016
osi_target_t01h,18097,1,143,6.877021600768497e-05,0.000693477181637826
osi_target_t01h,18099,3,143,0.011568755681825317,0.008994464374457983
