horizon,fipsCode,outer_fold,n,sse,rmse
osi_target_t01h,18101,4,143,0.0017441111462205498,0.003492360439889008
osi_target_t01h,18103,0,143,0.00030904157617461434,0.0014700781963279984
osi_target_t01h,18105,3,143,0.0009914932574806054,0.0026331576639238973
osi_target_t01h,18107,1,143,0.00016531498691386732,0.0010751971258971694
osi_target_t01h,18109,2,143,0.0007065570554836639,0.002222826675644255
osi_target_t01h,18111,2,143,5.015597699348595,0.18728083133533582
osi_target_t01h,18113,1,143,0.00018601618181468516,0.0011405316568348963
osi_target_t01h,18117,4,143,0.031529170856940125,0.014848693958941122
osi_target_t01h,18121,1,143,0.09156483445092269,0.02530441715647349
osi_target_t01h,18123,3,143,0.005452483476066158,0.0061748890740956405
osi_target_t01h,18125,0,143,0.002170092551637905,0.0038955708681881604
osi_target_t01h,18127,2,143,0.0006839489957209484,0.0021869751050107317
osi_target_t01h,18129,4,143,0.0002660139800724188,0.0013639052836924004
osi_target_t01h,18131,4,143,0.04750971493959529,0.018227335757272884
osi_target_t01h,18133,4,143,0.0033262778149640375,0.004822933134590146
osi_target_t01h,18135,0,143,0.0011011400379854594,0.0027749378346032015
osi_target_t01h,18137,0,143,0.0029422844918275313,0.004536013230444324
osi_target_t01h,18139,2,143,0.0015498228238115684,0.0032920999141636243
osi_target_t01h,18141,4,143,0.0002894208884088023,0.0014226462302923558
osi_target_t01h,18143,2,143,0.0031008597617536676,0.004656644070387751
osi_target_t01h,18145,4,143,0.00034047637926810616,0.0015430339274220667
osi_target_t01h,18147,0,143,0.0007219051625368117,0.002246839524734193
osi_target_t01h,18149,3,143,0.0064961895631440334,0.006740022184159727
osi_target_t01h,18151,1,143,0.020576226861204465,0.0119954032166535
osi_target_t01h,18153,3,143,0.001611006668468106,0.003356453619280082
osi_target_t01h,18155,4,143,0.0026934888437774992,0.004339998423976946
osi_target_t01h,18157,1,143,0.00023439019130620095,0.0012802703803870923
osi_target_t01h,18159,0,143,0.0020306104433216125,0.0037682984263751012
osi_target_t01h,18161,0,143,0.000688409809840549,0.0021940953977139586
osi_target_t01h,18163,4,143,4.7925268514856176e-05,0.0005789142750581705
osi_target_t01h,18165,4,143,0.028211342013730354,0.01404571507557121
osi_target_t01h,18167,3,143,0.0011247804302451816,0.0028045672418934744
osi_target_t01h,18169,3,143,0.0006688552935476929,0.0021627088905094836
osi_target_t01h,18171,0,143,0.0028739851413691515,0.004483056791006854
osi_target_t01h,18173,3,143,0.00028425149527893707,0.0014098839293567047
osi_target_t01h,18175,4,143,0.004155452173077678,0.005390649877838321
osi_target_t01h,18177,1,143,0.0004991430008605138,0.0018682907952265002
osi_target_t01h,18179,0,143,0.00385623264505511,0.005192943467199718
osi_target_t01h,18181,2,143,0.0012507148516321099,0.002957407260375386
osi_target_t01h,18183,1,143,0.0012691214915443163,0.0029790897041453565
osi_target_t01h,39017,1,143,0.00017156756408166933,0.0010953415793241343
osi_target_t01h,39023,1,143,0.0027127602432879595,0.004355496682545408
osi_target_t01h,39025,1,143,0.0006899395911133383,0.002196531899474251
osi_target_t01h,39027,0,143,0.00011113956456998364,0.0008815893331011031
osi_target_t01h,39029,2,143,0.0036675467416231785,0.00506430449433591
osi_target_t01h,39031,2,143,0.02734789600821151,0.013829100767202875
osi_target_t01h,39033,4,143,0.016484626205762107,0.010736717670405642
osi_target_t01h,39035,4,143,0.034360962922217075,0.015501175890928984
osi_target_t01h,39037,0,143,0.0008680885846760614,0.0024638485227767635
osi_target_t01h,39039,1,143,0.013734477679288532,0.00980027032568812
osi_target_t01h,39045,2,143,0.0018969878171973544,0.0036422038755827726
osi_target_t01h,39049,1,143,0.006757186772678624,0.006874085710434223
osi_target_t01h,39051,2,143,0.0007687512527933055,0.0023185950242908897
osi_target_t01h,39053,4,143,0.001128698038496512,0.002809447147785376
osi_target_t01h,39055,0,143,0.1271996277042114,0.0298246187912509
osi_target_t01h,39059,0,143,0.15615324623441182,0.033045131909223556
osi_target_t01h,39061,2,143,0.0004209959038321161,0.0017158168024370456
osi_target_t01h,39063,0,143,0.0011049012180083867,0.0027796729922986607
osi_target_t01h,39065,3,143,0.012637314471440233,0.009400682340745804
osi_target_t01h,39069,0,143,0.0015579354892951158,0.003300705041547111
osi_target_t01h,39073,2,143,0.002124906907409838,0.0038548007552927895
osi_target_t01h,39075,3,143,0.02752775660717061,0.013874501593056903
osi_target_t01h,39077,1,143,0.004243089079032963,0.005447196673668862
osi_target_t01h,39081,4,143,0.038520911636692946,0.01641270862631754
osi_target_t01h,39085,2,143,0.003679435668443644,0.0050725062207695485
osi_target_t01h,39087,3,143,0.0019554270731404217,0.0036978798245462445
osi_target_t01h,39089,1,143,0.06474819638064808,0.02127873563148107
osi_target_t01h,39091,3,143,0.2860801993586474,0.04472762943277741
osi_target_t01h,39093,3,143,0.0016534000845369143,0.0034003291536857127
osi_target_t01h,39095,1,143,0.0008946196954391285,0.0025012160614964096
osi_target_t01h,39097,4,143,0.010781230530148015,0.008682926954117808
osi_target_t01h,39099,0,143,0.001416789367178062,0.003147636883805713
osi_target_t01h,39101,0,143,0.02676638540611471,0.013681283577299336
osi_target_t01h,39103,4,143,0.009544275800733732,0.00816965038528078
osi_target_t01h,39105,1,143,0.0012714350433259722,0.002981803841491367
osi_target_t01h,39107,3,143,0.012450360556826306,0.00933088733397552
osi_target_t01h,39109,1,143,0.00036676744917441836,0.001601501588161574
osi_target_t01h,39111,2,143,0.052086601744783835,0.019085124318254876
osi_target_t01h,39113,4,143,0.0003768111559268836,0.0016232815678248016
osi_target_t01h,39115,2,143,0.14323922415577814,0.03164921635987616
osi_target_t01h,39117,4,143,0.6730166791414065,0.06860328230956737
osi_target_t01h,39119,1,143,0.03733884558568904,0.016158923488015276
osi_target_t01h,39121,1,143,0.04732289465029494,0.01819146319620403
osi_target_t01h,39123,0,143,0.0004002939183472146,0.0016730983743522801
osi_target_t01h,39125,1,143,0.08633255502364733,0.02457079894925126
osi_target_t01h,39127,0,143,0.02048903557007924,0.011969961111947404
osi_target_t01h,39129,2,143,0.000923978491436083,0.0025419260516389105
osi_target_t01h,39131,3,143,0.005130725322095197,0.005989924712098623
osi_target_t01h,39133,0,143,0.013233037633586233,0.009619705022005261
osi_target_t01h,39135,0,143,0.0044851621812245935,0.005600425921130828
osi_target_t01h,39137,0,143,0.020536141941781653,0.011983713289638705
osi_target_t01h,39139,2,143,0.03432512976402668,0.015493091120745112
osi_target_t01h,39141,3,143,0.0009681128657431045,0.00260192621727857
osi_target_t01h,39143,4,143,0.00037267825664497197,0.0016143548726534522
osi_target_t01h,39145,3,143,0.0005346336759617264,0.0019335710575764697
osi_target_t01h,39147,4,143,0.0004565747188705145,0.0017868492387136945
osi_target_t01h,39149,3,143,0.5559567873498431,0.06235230309898067
osi_target_t01h,39151,4,143,0.0025505151637856224,0.004223241690469921
osi_target_t01h,39153,0,143,0.0010636780545919924,0.002727326176692087
osi_target_t01h,39155,1,143,0.006170626976394747,0.006568960161027471
osi_target_t01h,39157,2,143,0.06199514115412126,0.02082144220805143
osi_target_t01h,39159,3,143,0.045974285402891245,0.01793037922970169
osi_target_t01h,39161,3,143,0.007165851951937436,0.0070789019495082215
osi_target_t01h,39163,2,143,0.0016135247122207861,0.003359075705599615
osi_target_t01h,39165,2,143,0.00010025197457815156,0.0008372949058054594
osi_target_t01h,39167,4,143,0.0024997243929947713,0.00418097956952705
osi_target_t01h,39169,4,143,0.016612654819400195,0.010778330637184818
osi_target_t01h,39171,3,143,0.022058012245765354,0.012419816177644137
osi_target_t01h,39173,1,143,0.022547996277506,0.012557001857405896
osi_target_t01h,39175,2,143,0.005403733505983483,0.006147222640810132
osi_target_t01h,42005,3,143,0.03528334736293309,0.015707854558967817
osi_target_t01h,42007,0,143,0.007073322068080632,0.007033049885069673
osi_target_t01h,42009,0,143,0.06750976544475401,0.021727776274884335
osi_target_t01h,42013,0,143,0.001933563146932698,0.003677148434306258
osi_target_t01h,42015,4,143,0.002383667658292841,0.004082769232205813
osi_target_t01h,42019,1,143,0.006434406386265257,0.006707894517283482
osi_target_t01h,42021,2,143,0.02556515368446637,0.013370762823891979
osi_target_t01h,42023,2,143,0.010285581219833988,0.008480987053252733
osi_target_t01h,42025,1,143,0.0006561347746554434,0.002142044599797255
osi_target_t01h,42027,0,143,0.0013280551301495496,0.0030474741692481356
osi_target_t01h,42029,1,143,0.012551737804242619,0.009368798761818875
osi_target_t01h,42031,4,143,0.024363705146377285,0.013052798951342842
osi_target_t01h,42033,2,143,0.0199870991939822,0.011822433101246204
osi_target_t01h,42035,3,143,0.0023694478271566025,0.00407057308310161
osi_target_t01h,42039,1,143,0.02030645868260691,0.011916509873728871
osi_target_t01h,42041,3,143,0.00015523263243611747,0.0010418938929510305
osi_target_t01h,42043,0,143,0.0001954627888540203,0.0011691332898043803
osi_target_t01h,42045,2,143,0.005413843847000693,0.006152970654986397
osi_target_t01h,42047,4,143,0.02556968557933619,0.01337194787849878
osi_target_t01h,42049,0,143,0.014287643665427558,0.009995678669601528
osi_target_t01h,42051,4,143,0.0013888889860607808,0.0031164900757155367
osi_target_t01h,42053,3,143,0.8306390870406158,0.07621459797401
osi_target_t01h,42055,1,143,0.00011341326154149521,0.0008905614695569347
osi_target_t01h,42057,4,143,0.004586848778331206,0.0056635559132700115
osi_target_t01h,42059,3,143,0.018300453434609416,0.011312612379261585
osi_target_t01h,42061,2,143,0.0013694644320781403,0.0030946202271355987
osi_target_t01h,42063,2,143,0.0591568594266162,0.020339231343751877
osi_target_t01h,42065,0,143,0.004937686836597463,0.005876161891711684
osi_target_t01h,42067,4,143,0.0016567302198301466,0.0034037517554601758
osi_target_t01h,42069,2,143,0.00023518510004586686,0.0012824394914660872
osi_target_t01h,42075,1,143,0.004449890869696686,0.005578361584722426
osi_target_t01h,42077,4,143,0.0022101724087320897,0.0039313803059503934
osi_target_t01h,42079,1,143,0.0004694481328932011,0.0018118648062634892
osi_target_t01h,42081,0,143,0.0002575442913227094,0.0013420167771785632
osi_target_t01h,42083,2,143,0.003510848570700655,0.0049549357822577566
osi_target_t01h,42085,4,143,0.003652689358496039,0.005054036231295244
osi_target_t01h,42089,1,143,0.0029442258014556557,0.00453750940699532
osi_target_t01h,42091,1,143,0.0007376654554502228,0.002271233076648695
osi_target_t01h,42095,0,143,0.0017351514288345246,0.0034833785432774756
osi_target_t01h,42097,3,143,0.00021736639367499623,0.001232900933171015
osi_target_t01h,42101,0,143,0.015201065416164346,0.010310245232602084
osi_target_t01h,42103,0,143,0.003315461490773137,0.004815085190318229
osi_target_t01h,42109,2,143,0.0053052767852080395,0.006090963606753654
osi_target_t01h,42113,2,143,0.0017370116732525098,0.0034852452966741923
osi_target_t01h,42115,3,143,0.0031576202467101756,0.004699070170417199
osi_target_t01h,42119,4,143,0.0003474618118906709,0.0015587824993738997
osi_target_t01h,42121,1,143,0.047134559859862354,0.01815522808207939
osi_target_t01h,42125,4,143,0.006223261167799292,0.006596916618067058
osi_target_t01h,42127,3,143,0.0007794065537142151,0.0023346082070700826
osi_target_t01h,42129,3,143,0.011473133795990671,0.008957215240635207
osi_target_t01h,42131,3,143,0.03706019317778991,0.016098515150611715
osi_target_t01h,42133,3,143,0.0004037744034915625,0.0016803562798447607
osi_target_t01h,54007,4,143,0.021089168482833362,0.01214399862801196
osi_target_t01h,54009,0,143,0.1105132534757432,0.027799639464853254
osi_target_t01h,54013,2,143,0.21573459144116272,0.038841131633637525
osi_target_t01h,54015,2,143,0.3689943810210548,0.05079744370399482
osi_target_t01h,54019,2,143,0.0051896951215838726,0.006024248855816823
osi_target_t01h,54023,4,143,0.00011641148565673852,0.0009022562458990826
osi_target_t01h,54025,0,143,0.00011715016762426679,0.0009051143250597899
osi_target_t01h,54027,4,143,0.007763884983294188,0.007368371732009606
osi_target_t01h,54029,4,143,0.05300845743700447,0.019253272800889874
osi_target_t01h,54031,4,143,0.0004617884718145236,0.0017970225409518314
osi_target_t01h,54033,4,143,0.000952994235937588,0.002581529654334211
osi_target_t01h,54035,0,143,0.0018563172096804086,0.00360294868524856
osi_target_t01h,54037,1,143,0.0012710078636591722,0.0029813028827570458
osi_target_t01h,54039,3,143,0.002175006749202797,0.0038999791546894926
osi_target_t01h,54041,4,143,0.029280059829162607,0.014309285906047069
osi_target_t01h,54043,2,143,0.010726705446536217,0.008660942569925861
osi_target_t01h,54045,4,143,0.00833166004197929,0.007633043753111737
osi_target_t01h,54047,3,143,0.005989188681233334,0.006471664262792302
osi_target_t01h,54053,1,143,0.00019046856335227922,0.0011541005135907723
osi_target_t01h,54055,0,143,0.0007610919504150624,0.0023070156764907045
osi_target_t01h,54057,0,143,0.0003269250156570793,0.0015120148546488809
osi_target_t01h,54059,1,143,0.028759771732278956,0.014181582592965836
osi_target_t01h,54063,2,143,0.0002841714290346269,0.0014096853515774136
osi_target_t01h,54067,3,143,0.0060284911117750445,0.006492863813597463
osi_target_t01h,54069,3,143,0.012322888079508217,0.00928299749617781
osi_target_t01h,54071,0,143,0.00014205512014560465,0.0009966907487132916
osi_target_t01h,54073,2,143,0.010170140146407878,0.008433259225453196
osi_target_t01h,54075,4,143,0.00028198690220148753,0.0014042565218048237
osi_target_t01h,54077,0,143,0.002592817750395769,0.004258120789751069
osi_target_t01h,54079,2,143,0.00041563846877312207,0.0017048644282444164
osi_target_t01h,54081,1,143,0.0007146289254531695,0.0022354876589010925
osi_target_t01h,54083,0,143,0.0011989956253657757,0.0028956147521325523
osi_target_t01h,54085,3,143,0.01924951480450399,0.01160224080252983
osi_target_t01h,54087,0,143,0.025947121088383512,0.013470278364587166
osi_target_t01h,54089,1,143,0.004665055965222577,0.005711634528536509
osi_target_t01h,54091,1,143,0.00682040375947383,0.006906166171265479
osi_target_t01h,54093,2,143,0.0006000963392754111,0.0020485306678277595
osi_target_t01h,54095,4,143,0.021470046731773183,0.012253170485040875
osi_target_t01h,54097,3,143,0.000338219135054498,0.0015379105229514755
osi_target_t01h,54099,1,143,0.05530393403053732,0.019665726465512148
osi_target_t01h,54101,1,143,0.0019631580144065346,0.003705182549230553
osi_target_t01h,54103,3,143,0.005830802294673969,0.006385518085597776
osi_target_t01h,54105,2,143,0.00586811329175275,0.0064059158037695334
osi_target_t01h,54107,3,143,0.00027220759719106017,0.0013796918607814988
osi_target_t01h,54109,3,143,0.0018689225127097382,0.0036151608817267594
osi_target_t06h,18009,0,138,0.006659457601613411,0.006946721467147374
osi_target_t06h,18013,1,138,0.0929639849835365,0.02595480813063527
osi_target_t06h,18023,3,138,0.00033515985774498574,0.001558426970165903
osi_target_t06h,18025,2,138,0.01566924521897485,0.010655761596899712
osi_target_t06h,18027,2,138,0.0004079075898553525,0.0017192591719694577
osi_target_t06h,18029,1,138,0.0006091937087386039,0.0021010585819468464
osi_target_t06h,18033,1,138,0.0015275507463996742,0.003327041975575904
osi_target_t06h,18035,1,138,0.0007307854984332822,0.002301205573193375
osi_target_t06h,18037,3,138,0.0007984193706507929,0.0024053373180100007
osi_target_t06h,18039,4,138,0.00016674376500719693,0.001099221611971883
osi_target_t06h,18041,2,138,0.0044829100980493955,0.005699548735028646
osi_target_t06h,18043,4,138,0.00040711575712292045,0.0017175896430900333
osi_target_t06h,18045,3,138,0.002908936760861331,0.004591214642150757
osi_target_t06h,18047,4,138,0.0017229891503687702,0.003533472601543792
osi_target_t06h,18051,1,138,0.00031852136414158396,0.001519251732634499
osi_target_t06h,18059,3,138,0.00016967705786096035,0.0011088480047072235
osi_target_t06h,18061,3,138,0.0015343764335215284,0.0033344669451243654
osi_target_t06h,18065,3,138,0.000961995325706661,0.0026402614683138413
osi_target_t06h,18067,2,138,0.00040779147739880057,0.0017190144577019736
osi_target_t06h,18069,0,138,0.0001740688183757144,0.001123106517254432
osi_target_t06h,18071,0,138,0.004491361830417404,0.005704918949504539
osi_target_t06h,18073,2,138,0.0002001161868747195,0.0012042081614877136
osi_target_t06h,18077,2,138,0.005179505415181921,0.00612638946983465
osi_target_t06h,18083,2,138,0.0001314343982069275,0.0009759217055750518
osi_target_t06h,18085,3,138,0.0004187580765237894,0.001741975549595854
osi_target_t06h,18087,2,138,0.004445985063460631,0.005676027049667337
osi_target_t06h,18089,4,138,0.0007938496678032936,0.0023984440424286635
osi_target_t06h,18091,0,138,0.0003866748816977946,0.0016739151401313124
osi_target_t06h,18093,1,138,0.009226407174062506,0.00817667554697219
osi_target_t06h,18095,0,138,0.0005822058523993424,0.002053991964054639
osi_target_t06h,18097,1,138,8.72961054987661e-05,0.0007953492783857541
osi_target_t06h,18099,3,138,0.011299942462383944,0.009048958008067431
osi_target_t06h,18101,4,138,0.0009842686709653943,0.0026706519192253933
osi_target_t06h,18103,0,138,0.00011380967397881179,0.0009081342315182034
osi_target_t06h,18105,3,138,0.00039543140870784124,0.0016927625322639118
osi_target_t06h,18107,1,138,0.0002124843702013985,0.0012408633337534043
osi_target_t06h,18109,2,138,0.00010306890440586815,0.0008642199482094257
osi_target_t06h,18111,2,138,45.21862265239497,0.5724256970476983
osi_target_t06h,18113,1,138,0.0002527290607357277,0.0013532811996519274
osi_target_t06h,18117,4,138,0.026003861569940508,0.013727118397257399
osi_target_t06h,18121,1,138,0.09001863481839043,0.02554033962106516
osi_target_t06h,18123,3,138,0.004389196741440614,0.005639660760072373
osi_target_t06h,18125,0,138,0.0011264255357296082,0.002857009604831354
osi_target_t06h,18127,2,138,0.00024386774032806338,0.001329344777929772
osi_target_t06h,18129,4,138,0.0002910283332536307,0.001452205552119265
osi_target_t06h,18131,4,138,0.04814062149080401,0.01867739498074332
osi_target_t06h,18133,4,138,0.008741971902271637,0.007959121966663738
osi_target_t06h,18135,0,138,0.0003607453838098545,0.0016168169296891285
osi_target_t06h,18137,0,138,0.0025704584398856317,0.004315844116039625
osi_target_t06h,18139,2,138,0.0013108183446138367,0.0030819934549933758
osi_target_t06h,18141,4,138,0.00016050139105994556,0.001078449608653739
osi_target_t06h,18143,2,138,0.003777890257501931,0.005232209510207867
osi_target_t06h,18145,4,138,0.0006637888130148564,0.0021931857792778283
osi_target_t06h,18147,0,138,0.0010508513997172814,0.002759504523522768
osi_target_t06h,18149,3,138,0.0293428462408525,0.014581814721970914
osi_target_t06h,18151,1,138,0.02194217104230792,0.01260956935969718
osi_target_t06h,18153,3,138,0.0011270789498670588,0.0028578381282278044
osi_target_t06h,18155,4,138,0.005123270082535793,0.006093040745442434
osi_target_t06h,18157,1,138,0.00016232378280525787,0.0010845548836689982
osi_target_t06h,18159,0,138,0.001995674619873247,0.0038028160998050606
osi_target_t06h,18161,0,138,0.0004929676397456004,0.0018900341990341983
osi_target_t06h,18163,4,138,5.1051896145263915e-05,0.0006082279806248278
osi_target_t06h,18165,4,138,0.04139717682299643,0.01731991749967725
osi_target_t06h,18167,3,138,0.0013814186765006228,0.0031639026951689373
osi_target_t06h,18169,3,138,0.0005666654709588206,0.0020263937249920374
osi_target_t06h,18171,0,138,0.0013109338723350974,0.0030821292662739576
osi_target_t06h,18173,3,138,0.00039016491103450215,0.0016814523377182392
osi_target_t06h,18175,4,138,0.0048568337534611525,0.0059324908334399415
osi_target_t06h,18177,1,138,0.0006287852703276827,0.0021345760708802375
osi_target_t06h,18179,0,138,0.003518118425464957,0.005049119901401785
osi_target_t06h,18181,2,138,0.013830555303052184,0.01001106464066178
osi_target_t06h,18183,1,138,0.001350866811909983,0.0031287201762664374
osi_target_t06h,39017,1,138,9.756577266317845e-05,0.000840831940777542
osi_target_t06h,39023,1,138,0.0008626855498867024,0.002500268898418007
osi_target_t06h,39025,1,138,0.00037048843096772655,0.0016385050427534403
osi_target_t06h,39027,0,138,0.00019059463192797562,0.0011752108411758355
osi_target_t06h,39029,2,138,0.0030707303526919826,0.004717167499931041
osi_target_t06h,39031,2,138,0.027069928349719292,0.014005673888996645
osi_target_t06h,39033,4,138,0.014382091214194247,0.010208724321714732
osi_target_t06h,39035,4,138,0.026890223042449868,0.013959107733426403
osi_target_t06h,39037,0,138,9.903261026353046e-05,0.0008471290401144876
osi_target_t06h,39039,1,138,0.0110727128100636,0.008957513569528485
osi_target_t06h,39045,2,138,0.0025490758212254752,0.004297855735354984
osi_target_t06h,39049,1,138,0.004382343503766524,0.005635256191703642
osi_target_t06h,39051,2,138,0.0008670484756814553,0.00250658332570577
osi_target_t06h,39053,4,138,0.0010027835263185945,0.002695653407276931
osi_target_t06h,39055,0,138,0.11853495245702991,0.029307830538066834
osi_target_t06h,39059,0,138,0.1767652413797905,0.03578976873675444
osi_target_t06h,39061,2,138,0.00040085237156123403,0.0017043260633323278
osi_target_t06h,39063,0,138,0.0002299707531780901,0.0012909123646377262
osi_target_t06h,39065,3,138,0.0025298399695962183,0.0042816087738986874
osi_target_t06h,39069,0,138,0.0022474458793726847,0.004035571794132668
osi_target_t06h,39073,2,138,0.0015417532549217364,0.0033424728922857036
osi_target_t06h,39075,3,138,0.022006599160963546,0.012628068334549615
osi_target_t06h,39077,1,138,0.0065121338657706815,0.006869452368196317
osi_target_t06h,39081,4,138,0.06620626089477019,0.021903321979330415
osi_target_t06h,39085,2,138,0.006971035952843518,0.007107373163235117
osi_target_t06h,39087,3,138,0.0021216308821983636,0.003920986716060688
osi_target_t06h,39089,1,138,0.057040859104066664,0.020330754012705007
osi_target_t06h,39091,3,138,0.13986855849052385,0.03183614736297154
osi_target_t06h,39093,3,138,0.0024524438854484454,0.004215605828733232
osi_target_t06h,39095,1,138,0.0009344435082058121,0.002602177889693042
osi_target_t06h,39097,4,138,0.004315193394206189,0.005591915356058262
osi_target_t06h,39099,0,138,0.002088581032309793,0.0038903271278473697
osi_target_t06h,39101,0,138,0.01939409458353578,0.011854826749978188
osi_target_t06h,39103,4,138,0.00530229352991669,0.006198581844539465
osi_target_t06h,39105,1,138,0.001530609227431524,0.003330371032373407
osi_target_t06h,39107,3,138,0.0032649803738860716,0.004864080393212904
osi_target_t06h,39109,1,138,0.000428786739478246,0.0017627110614261904
osi_target_t06h,39111,2,138,0.02499247046515478,0.013457520516170524
osi_target_t06h,39113,4,138,0.00044033608956068384,0.0017862925932502233
osi_target_t06h,39115,2,138,0.1453168848879445,0.03245028358866999
osi_target_t06h,39117,4,138,0.19035801842325561,0.03714035447600496
osi_target_t06h,39119,1,138,0.027871767214635978,0.014211591312808348
osi_target_t06h,39121,1,138,0.04383115949655559,0.01782181522183213
osi_target_t06h,39123,0,138,0.0005045104760241494,0.0019120337378476743
osi_target_t06h,39125,1,138,0.07603130153026177,0.02347235523683586
osi_target_t06h,39127,0,138,0.01652759523696029,0.0109437280154673
osi_target_t06h,39129,2,138,0.0007711658356388703,0.002363928558410168
osi_target_t06h,39131,3,138,0.004621389304721092,0.0057869100818209
osi_target_t06h,39133,0,138,0.01670318139771949,0.011001706520367019
osi_target_t06h,39135,0,138,0.004647066358086246,0.0058029642338356426
osi_target_t06h,39137,0,138,0.019338677937177966,0.01183787765483555
osi_target_t06h,39139,2,138,0.04956448149370768,0.018951593847871828
osi_target_t06h,39141,3,138,0.000258868243329474,0.0013696192301953219
osi_target_t06h,39143,4,138,0.00011272674023858391,0.0009038033173824256
osi_target_t06h,39145,3,138,0.0002283328463448767,0.0012863070562967524
osi_target_t06h,39147,4,138,0.00033429619509616393,0.0015564177448066487
osi_target_t06h,39149,3,138,0.39228597688202177,0.05331652657845841
osi_target_t06h,39151,4,138,0.0023657764182848226,0.004140447726861857
osi_target_t06h,39153,0,138,0.0016987624029624522,0.0035085427865760967
osi_target_t06h,39155,1,138,0.006400444854440174,0.00681028892023699
osi_target_t06h,39157,2,138,0.0501367543536713,0.019060687662228726
osi_target_t06h,39159,3,138,0.0039049422642881203,0.005319462667840766
osi_target_t06h,39161,3,138,0.00854213085851715,0.00786762346422107
osi_target_t06h,39163,2,138,0.0018790329815557777,0.003690010979084819
osi_target_t06h,39165,2,138,8.657046695343116e-05,0.0007920367569123455
osi_target_t06h,39167,4,138,0.0014868905966727345,0.0032824639436110753
osi_target_t06h,39169,4,138,0.014537537596647492,0.010263745677774041
osi_target_t06h,39171,3,138,0.022489315469599834,0.012765815842614018
osi_target_t06h,39173,1,138,0.010045007817313696,0.008531700400252253
osi_target_t06h,39175,2,138,0.001809004191651705,0.0036205974681620757
osi_target_t06h,42005,3,138,0.011628759610028894,0.00917967177984685
osi_target_t06h,42007,0,138,0.010247563455558214,0.00861729111726517
osi_target_t06h,42009,0,138,0.046265146971972336,0.01830996144732965
osi_target_t06h,42013,0,138,0.0030559766144100105,0.004705821721594949
osi_target_t06h,42015,4,138,0.0023411626310663298,0.00411885258317531
osi_target_t06h,42019,1,138,0.004313793583812693,0.005591008298665291
osi_target_t06h,42021,2,138,0.009987515997658077,0.00850725010393227
osi_target_t06h,42023,2,138,0.007703263219508493,0.0074713283937632435
osi_target_t06h,42025,1,138,0.00025224944795648133,0.001351996505324361
osi_target_t06h,42027,0,138,0.0008316507821358936,0.0024548838960353546
osi_target_t06h,42029,1,138,0.012710599956666178,0.009597176500796266
osi_target_t06h,42031,4,138,0.02434098659642115,0.013280962346292212
osi_target_t06h,42033,2,138,0.022802777445057307,0.012854474618505673
osi_target_t06h,42035,3,138,0.002386709585918377,0.004158725405627129
osi_target_t06h,42039,1,138,0.012139222709208908,0.009378986189924218
osi_target_t06h,42041,3,138,0.00012929857283102152,0.0009679598028507891
osi_target_t06h,42043,0,138,0.0002878373326813128,0.00144422220348982
osi_target_t06h,42045,2,138,0.011796893961986861,0.009245795739414604
