case,horizon,space,group,n,rmse,mae,sse,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
B0,osi_target_t01h,component_clipped,full,34177,0.017889389477486715,0.005139015268137882,10.93767405511549,6.756106152203811e-05,0.017889389477486715,0.0,0.0,0.0
B0,osi_target_t01h,component_clipped,common_120_215,22944,0.01328636576627572,0.0036154673024163925,4.050247310475643,1.0694756959113742e-05,0.01328636576627572,0.0,0.0,0.0
B0,osi_target_t01h,aligned,full,34177,0.017619356582525635,0.005123507813441712,10.609966882564088,1.5009150090318905e-05,0.017619356582525635,0.0,0.0,0.0
B0,osi_target_t01h,aligned,common_120_215,22944,0.012850683122866248,0.0035119038362208797,3.7889734614827857,-2.354261715150635e-05,0.012850683122866248,0.0,0.0,0.0
B0,osi_target_t06h,component_clipped,full,32982,0.016414587598718836,0.005077438297795572,8.88662674283982,3.670398354208998e-05,0.016414587598718836,0.0,0.0,0.0
B0,osi_target_t06h,component_clipped,common_120_215,22944,0.013349554472466064,0.003629829789229392,4.088864112248443,-1.0487109018703043e-05,0.013349554472466064,0.0,0.0,0.0
B0,osi_target_t06h,aligned,full,32982,0.015745560400377393,0.004883603533967478,8.176985578521982,4.876189522188124e-05,0.015745560400377393,0.0,0.0,0.0
B0,osi_target_t06h,aligned,common_120_215,22944,0.012850683122866248,0.0035119038362208797,3.7889734614827857,-2.354261715150635e-05,0.012850683122866248,0.0,0.0,0.0
B0,osi_target_t24h,component_clipped,full,28680,0.013919720788472166,0.0046269008597546344,5.556997417456413,0.00012435944663945724,0.013919720788472166,0.0,0.0,0.0
B0,osi_target_t24h,component_clipped,common_120_215,22944,0.013038243245700189,0.003761331702115855,3.9003833354147655,7.724700131438182e-05,0.013038243245700189,0.0,0.0,0.0
B0,osi_target_t24h,aligned,full,28680,0.01361046298859043,0.004256858023846132,5.312818075265496,5.465120876304688e-05,0.01361046298859043,0.0,0.0,0.0
B0,osi_target_t24h,aligned,common_120_215,22944,0.012850683122866248,0.0035119038362208797,3.7889734614827857,-2.354261715150635e-05,0.012850683122866248,0.0,0.0,0.0
B0,osi_target_t48h,component_clipped,full,22944,0.012620150671943798,0.0034690336986761025,3.6542496492319367,-0.00017162511786081785,0.012620150671943798,0.0,0.0,0.0
B0,osi_target_t48h,component_clipped,common_120_215,22944,0.012620150671943798,0.0034690336986761025,3.6542496492319367,-0.00017162511786081785,0.012620150671943798,0.0,0.0,0.0
B0,osi_target_t48h,aligned,full,22944,0.012850683122866248,0.0035119038362208797,3.7889734614827857,-2.354261715150635e-05,0.012850683122866248,0.0,0.0,0.0
B0,osi_target_t48h,aligned,common_120_215,22944,0.012850683122866248,0.0035119038362208797,3.7889734614827857,-2.354261715150635e-05,0.012850683122866248,0.0,0.0,0.0
NB_P24,osi_target_t01h,component_clipped,full,34177,0.017889389477486715,0.005139015268137882,10.93767405511549,6.756106152203811e-05,0.017889389477486715,0.0,0.0,0.0
NB_P24,osi_target_t01h,component_clipped,common_120_215,22944,0.01328636576627572,0.0036154673024163925,4.050247310475643,1.0694756959113742e-05,0.01328636576627572,0.0,0.0,0.0
NB_P24,osi_target_t01h,aligned,full,34177,0.01756344972643803,0.00508710251392667,10.54274208759983,-2.786770992389443e-07,0.017619356582525635,-5.5906856087604984e-05,-0.3173036190382339,0.06722479496425748
NB_P24,osi_target_t01h,aligned,common_120_215,22944,0.012780674513419453,0.0034885581591006212,3.7478023875162947,-3.1753687848524117e-05,0.012850683122866248,-7.000860944679499e-05,-0.5447851198059905,0.041171073966491
NB_P24,osi_target_t06h,component_clipped,full,32982,0.016414587598718836,0.005077438297795572,8.88662674283982,3.670398354208998e-05,0.016414587598718836,0.0,0.0,0.0
NB_P24,osi_target_t06h,component_clipped,common_120_215,22944,0.013349554472466064,0.003629829789229392,4.088864112248443,-1.0487109018703043e-05,0.013349554472466064,0.0,0.0,0.0
NB_P24,osi_target_t06h,aligned,full,32982,0.01568070296775516,0.0048458792018613115,8.109760783557725,3.29201612500929e-05,0.015745560400377393,-6.485743262223467e-05,-0.4119093317293432,0.06722479496425748
NB_P24,osi_target_t06h,aligned,common_120_215,22944,0.012780674513419453,0.0034885581591006212,3.7478023875162947,-3.1753687848524117e-05,0.012850683122866248,-7.000860944679499e-05,-0.5447851198059905,0.041171073966491
NB_P24,osi_target_t24h,component_clipped,full,28680,0.013607485838050146,0.004484511373201596,5.310494079482847,6.313660787917316e-05,0.013919720788472166,-0.0003122349504220204,-2.243112165587424,0.24650333797356616
NB_P24,osi_target_t24h,component_clipped,common_120_215,22944,0.012745535869105583,0.0036692939234791223,3.727222619248035,4.440271852631075e-05,0.013038243245700189,-0.0002927073765946059,-2.2449909169407145,0.17316071616673057
NB_P24,osi_target_t24h,aligned,full,28680,0.013524080079287376,0.004213475041924041,5.245593280301239,3.643321469549023e-05,0.01361046298859043,-8.638290930305416e-05,-0.6346801675701119,0.06722479496425748
NB_P24,osi_target_t24h,aligned,common_120_215,22944,0.012780674513419453,0.0034885581591006212,3.7478023875162947,-3.1753687848524117e-05,0.012850683122866248,-7.000860944679499e-05,-0.5447851198059905,0.041171073966491
NB_P24,osi_target_t48h,component_clipped,full,22944,0.012620150671943798,0.0034690336986761025,3.6542496492319367,-0.00017162511786081785,0.012620150671943798,0.0,0.0,0.0
NB_P24,osi_target_t48h,component_clipped,common_120_215,22944,0.012620150671943798,0.0034690336986761025,3.6542496492319367,-0.00017162511786081785,0.012620150671943798,0.0,0.0,0.0
NB_P24,osi_target_t48h,aligned,full,22944,0.012780674513419453,0.0034885581591006212,3.7478023875162947,-3.1753687848524117e-05,0.012850683122866248,-7.000860944679499e-05,-0.5447851198059905,0.041171073966491
NB_P24,osi_target_t48h,aligned,common_120_215,22944,0.012780674513419453,0.0034885581591006212,3.7478023875162947,-3.1753687848524117e-05,0.012850683122866248,-7.000860944679499e-05,-0.5447851198059905,0.041171073966491
