case,horizon,fold,n,rmse,mae,sse,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
B0,osi_target_t01h,0,6864,0.010265415866836476,0.0032798146824126392,0.7233198286766892,-0.0015161729609275475,0.010265415866836476,0.0,0.0,0.0
B0,osi_target_t01h,1,6864,0.008534719398159819,0.0033276869209881866,0.4999836112493542,0.0012916604597247546,0.008534719398159819,0.0,0.0,0.0
B0,osi_target_t01h,2,6864,0.007761474753413234,0.002937751886864997,0.41349072574778667,0.000596974094512447,0.007761474753413234,0.0,0.0,0.0
B0,osi_target_t01h,3,6721,0.01505342403434827,0.003122591354957348,1.5230160706362066,-0.0002267766999652999,0.01505342403434827,0.0,0.0,0.0
B0,osi_target_t01h,4,6864,0.012313227750585852,0.0037249952927788424,1.040689324905842,-0.0009260505754366035,0.012313227750585852,0.0,0.0,0.0
B0,osi_target_t06h,0,6624,0.010312043794288087,0.003237174984877594,0.7043845495542493,-0.001617387547974086,0.010312043794288087,0.0,0.0,0.0
B0,osi_target_t06h,1,6624,0.008076008870614463,0.0031971708517430164,0.43202999329908504,0.0011763675913095415,0.008076008870614463,0.0,0.0,0.0
B0,osi_target_t06h,2,6624,0.007638938905608458,0.0028433338741106796,0.3865328394863692,0.0005983398953346127,0.007638938905608458,0.0,0.0,0.0
B0,osi_target_t06h,3,6486,0.011591284930020433,0.0028172659779583955,0.8714452507293673,3.243121462196826e-05,0.011591284930020433,0.0,0.0,0.0
B0,osi_target_t06h,4,6624,0.012138110319232735,0.003645336825790933,0.9759385753352283,-0.0009321122761983276,0.012138110319232735,0.0,0.0,0.0
B0,osi_target_t24h,0,5760,0.010292288527218797,0.0031032469357711425,0.6101637300145132,-0.0017906865553814994,0.010292288527218797,0.0,0.0,0.0
B0,osi_target_t24h,1,5760,0.006936390394075493,0.0030706789773871325,0.27713382738637116,0.001262688593886408,0.006936390394075493,0.0,0.0,0.0
B0,osi_target_t24h,2,5760,0.006425406407371111,0.0026138385184966677,0.23780648159934176,0.0009502102313741534,0.006425406407371111,0.0,0.0,0.0
B0,osi_target_t24h,3,5640,0.006297646551881186,0.002443474538539895,0.22368438580125438,0.00016454696512030516,0.006297646551881186,0.0,0.0,0.0
B0,osi_target_t24h,4,5760,0.011983782189686838,0.003539471774807722,0.8271995648823676,-0.001058430198192056,0.011983782189686838,0.0,0.0,0.0
B0,osi_target_t48h,0,4608,0.009747827678557438,0.0024350176144370735,0.43785282562951905,-0.0014853907878811885,0.009747827678557438,0.0,0.0,0.0
B0,osi_target_t48h,1,4608,0.005400262868545189,0.0022557715794543267,0.1343823623395795,0.0006667636521539717,0.005400262868545189,0.0,0.0,0.0
B0,osi_target_t48h,2,4608,0.004382269551473135,0.0017654079598535012,0.08849335183150948,0.0006658304568994628,0.004382269551473135,0.0,0.0,0.0
B0,osi_target_t48h,3,4512,0.003945728344992405,0.0015838545188318462,0.070246300042214,0.00019026635052231554,0.003945728344992405,0.0,0.0,0.0
B0,osi_target_t48h,4,4608,0.012320193244812688,0.0031957518067621967,0.6994352406045459,-0.0014532217372648887,0.012320193244812688,0.0,0.0,0.0
NB_P24,osi_target_t01h,0,6864,0.010247017703498338,0.0032701782725675214,0.7207294161437084,-0.0014967264697985298,0.010265415866836476,-1.8398163338137485e-05,-0.17922472481192164,0.002590412532980757
NB_P24,osi_target_t01h,1,6864,0.008478861102848132,0.0032722828353213946,0.4934604115679481,0.001233272039438204,0.008534719398159819,-5.5858295311687206e-05,-0.6544830908410515,0.006523199681406078
