horizon,component,rank,feature,importance,importance_fraction
osi_target_t01h,P_t,1,last_osi,20.297460868174053,0.2029746086817405
osi_target_t01h,P_t,2,hours_since_obs,18.95610876002164,0.18956108760021637
osi_target_t01h,P_t,3,last_outage_pct,12.26928667503717,0.12269286675037168
osi_target_t01h,P_t,4,osi_mean_72h,3.725115385275721,0.0372511538527572
osi_target_t01h,P_t,5,pressure_change_6h,3.2912450495268066,0.03291245049526806
osi_target_t01h,P_t,6,cumul_gust_since_onset,3.206923979396334,0.03206923979396334
osi_target_t01h,P_t,7,last_D_t,3.1333026378444773,0.03133302637844477
osi_target_t01h,P_t,8,gust_max_last6h_obs,2.953673737539389,0.029536737375393883
osi_target_t01h,P_t,9,min_t2m_next_48h,2.1336281503855687,0.021336281503855685
osi_target_t01h,P_t,10,t2m_at_t48h,2.052368327877055,0.020523683278770546
osi_target_t01h,P_t,11,gust_gt30_since_onset,1.89119503664254,0.018911950366425397
osi_target_t01h,P_t,12,pct_agriculture,1.785692183706754,0.017856921837067538
osi_target_t01h,P_t,13,total_tp_next_24h,1.7720291987837573,0.01772029198783757
osi_target_t01h,P_t,14,pct_forest,1.6079336890564675,0.016079336890564674
osi_target_t01h,P_t,15,min_t2m_next_24h,1.471127146848189,0.014711271468481888
osi_target_t01h,P_t,16,last_P_t,1.4602714844298803,0.0146027148442988
osi_target_t01h,P_t,17,gust_x_hso,0.964938692747864,0.009649386927478638
osi_target_t01h,P_t,18,pre_event_mean_osi,0.9631724450848682,0.00963172445084868
osi_target_t01h,P_t,19,storm_phase,0.9044082801564816,0.009044082801564815
osi_target_t01h,P_t,20,wind_sin_t,0.890187562825749,0.008901875628257488
osi_target_t01h,P_t,21,gust_peak4h_mean_next_48h,0.8743782609817834,0.008743782609817832
osi_target_t01h,P_t,22,osi_trend_last6h,0.8383375940481446,0.008383375940481445
osi_target_t01h,P_t,23,soil_gust_x_phase,0.7287596022805045,0.007287596022805044
osi_target_t01h,P_t,24,gust_last_obs,0.6024280620941502,0.006024280620941501
osi_target_t01h,P_t,25,gust_gt30_next_48h,0.5332072337661077,0.005332072337661076
osi_target_t01h,P_t,26,t2m_at_t1h,0.5180763525856877,0.005180763525856877
osi_target_t01h,P_t,27,frac_zero_72h,0.4334124527523162,0.004334124527523161
osi_target_t01h,P_t,28,n_utilities,0.4214904338989766,0.004214904338989765
osi_target_t01h,P_t,29,gust_t,0.4013563335727445,0.0040135633357274445
osi_target_t01h,P_t,30,pct_wetland,0.3994592019209077,0.003994592019209077
osi_target_t01h,P_t,31,last_N_t,0.34736326866118633,0.003473632686611863
osi_target_t01h,P_t,32,days_since_onset,0.2954133739388693,0.0029541337393886925
osi_target_t01h,P_t,33,temp_change_6h,0.2871328887221975,0.0028713288872219745
osi_target_t01h,P_t,34,tree_canopy_std,0.2844645370627831,0.0028446453706278303
osi_target_t01h,P_t,35,temp_c_t,0.2827171195187814,0.0028271711951878137
osi_target_t01h,P_t,36,forest_x_customers,0.2756826486065347,0.0027568264860653464
