horizon,fold,valid_rows,rmse,mae
osi_target_t01h,0,6864,0.006519295652895146,0.0025443522696945607
osi_target_t01h,1,6721,0.009773804237504393,0.00328329705795828
osi_target_t01h,2,6864,0.012885203760937628,0.0038655925221254654
osi_target_t01h,3,6864,0.016842355078638335,0.004022431993043812
osi_target_t01h,4,6864,0.01249518909897367,0.003358875673132527
osi_target_t06h,0,6624,0.006988408934879368,0.0025817668201707075
osi_target_t06h,1,6486,0.00921731891844094,0.0029599894984689906
osi_target_t06h,2,6624,0.01299321818909138,0.0038180936486811065
osi_target_t06h,3,6624,0.013441631768245683,0.0036558305594048845
osi_target_t06h,4,6624,0.01055793542373436,0.003048774482558004
osi_target_t24h,0,5760,0.004894755525371846,0.0019528661087084799
osi_target_t24h,1,5640,0.00858904129893043,0.0025368568290125917
osi_target_t24h,2,5760,0.012777315160302607,0.003504394898905051
osi_target_t24h,3,5760,0.006418381537202518,0.0025450519569750027
osi_target_t24h,4,5760,0.007845070413600691,0.002382745955315078
osi_target_t48h,0,4608,0.003483323744680666,0.0013604656193800585
osi_target_t48h,1,4512,0.005717221360468872,0.001778679258730965
osi_target_t48h,2,4608,0.013339565238723346,0.0034119471912838996
osi_target_t48h,3,4608,0.004889243586341177,0.0017964496223054499
osi_target_t48h,4,4608,0.006719240410373398,0.00188381149476934
