horizon,component,fold,train_rows,valid_rows,best_round,rmse,mae
osi_target_t01h,P_t,0,27313,6864,1364,0.010367015665302386,0.004015002646173644
osi_target_t01h,P_t,1,27456,6721,1953,0.015763042141476658,0.005170862160301718
osi_target_t01h,P_t,2,27313,6864,1445,0.020649703693146986,0.005810535679483974
osi_target_t01h,P_t,3,27313,6864,390,0.027695290621241243,0.006703224913808956
osi_target_t01h,P_t,4,27313,6864,1155,0.019454398417068083,0.005264416331298294
osi_target_t01h,N_t,0,27313,6864,230,0.0017499356573332727,0.0005269112357946261
osi_target_t01h,N_t,1,27456,6721,270,0.00325478229516353,0.0007557923809957735
osi_target_t01h,N_t,2,27313,6864,308,0.005796409920907393,0.0009263644114015015
osi_target_t01h,N_t,3,27313,6864,214,0.005691319267067809,0.0008692841175300155
osi_target_t01h,N_t,4,27313,6864,688,0.003514535595810168,0.0007475412376771517
osi_target_t01h,D_t,0,27313,6864,816,0.010460602511290388,0.004134900795286268
osi_target_t01h,D_t,1,27456,6721,1200,0.014045587069024326,0.005061034821885323
osi_target_t01h,D_t,2,27313,6864,1870,0.018113919348102456,0.006294984693462886
osi_target_t01h,D_t,3,27313,6864,449,0.02328594465913202,0.005679287996061369
osi_target_t01h,D_t,4,27313,6864,964,0.01982561294559503,0.005355457423973266
osi_target_t01h,R_t,0,27313,6864,97,0.002323267523418095,0.0007972156754171333
osi_target_t01h,R_t,1,27456,6721,1443,0.0030980063864610823,0.0009832839372102451
osi_target_t01h,R_t,2,27313,6864,616,0.005268949860918446,0.0011562846552764332
osi_target_t01h,R_t,3,27313,6864,185,0.004940343271897808,0.0011393521200618382
osi_target_t01h,R_t,4,27313,6864,722,0.003980067231074057,0.0009873255223960826
osi_target_t06h,P_t,0,26358,6624,1026,0.01192899985927727,0.004277308898365782
osi_target_t06h,P_t,1,26496,6486,324,0.014184257128056824,0.004410985001137533
osi_target_t06h,P_t,2,26358,6624,1961,0.020648580132280762,0.006005165122476387
osi_target_t06h,P_t,3,26358,6624,819,0.019663147882014512,0.005543881583546816
osi_target_t06h,P_t,4,26358,6624,519,0.016773326650885084,0.0046757249871986085
osi_target_t06h,N_t,0,26358,6624,227,0.001750194050953672,0.0005205470457960122
osi_target_t06h,N_t,1,26496,6486,549,0.003003903718464174,0.0006969074293467361
osi_target_t06h,N_t,2,26358,6624,319,0.005876879065675425,0.0009132750020774421
osi_target_t06h,N_t,3,26358,6624,97,0.003140636883967823,0.0007409295255604381
osi_target_t06h,N_t,4,26358,6624,255,0.0035810853244998726,0.0007325826879289257
osi_target_t06h,D_t,0,26358,6624,964,0.009898656922869164,0.0038461902154220758
osi_target_t06h,D_t,1,26496,6486,140,0.014751249124521212,0.00499358539316652
osi_target_t06h,D_t,2,26358,6624,858,0.01854853170277973,0.0058573474137013
osi_target_t06h,D_t,3,26358,6624,438,0.02383906106605875,0.006153468115894976
osi_target_t06h,D_t,4,26358,6624,316,0.016050005448894254,0.00503804253930213
osi_target_t06h,R_t,0,26358,6624,180,0.0022739769070406627,0.0007608428345224028
osi_target_t06h,R_t,1,26496,6486,498,0.0030735979601855443,0.0009381839047363835
osi_target_t06h,R_t,2,26358,6624,412,0.005360045052052161,0.0010908204368509351
osi_target_t06h,R_t,3,26358,6624,181,0.004759104630557868,0.0011078757379864635
osi_target_t06h,R_t,4,26358,6624,837,0.003837448458812279,0.0009497388692563754
osi_target_t24h,P_t,0,22920,5760,972,0.007829076553547181,0.0031189573350699886
osi_target_t24h,P_t,1,23040,5640,34,0.013960198737923639,0.0039012639041407643
osi_target_t24h,P_t,2,22920,5760,1999,0.020451478778020234,0.0053728411189951355
osi_target_t24h,P_t,3,22920,5760,93,0.010623776760890958,0.0040983651195189074
osi_target_t24h,P_t,4,22920,5760,959,0.012949990389217883,0.0036992172299261956
osi_target_t24h,N_t,0,22920,5760,185,0.0016341990434360304,0.0005112536537297402
osi_target_t24h,N_t,1,23040,5640,824,0.003207039874533611,0.0007656822103558916
osi_target_t24h,N_t,2,22920,5760,551,0.0061772136497215985,0.0010083847047773064
osi_target_t24h,N_t,3,22920,5760,67,0.002388699434345353,0.0006842813279602406
osi_target_t24h,N_t,4,22920,5760,247,0.003775132082330665,0.0007680741701767918
osi_target_t24h,D_t,0,22920,5760,373,0.007444173670026435,0.003107893525666892
osi_target_t24h,D_t,1,23040,5640,1988,0.011875313858192457,0.004043961977237344
osi_target_t24h,D_t,2,22920,5760,1217,0.01752785234118023,0.005429742047412779
osi_target_t24h,D_t,3,22920,5760,137,0.00903298898911002,0.003961259422802601
