query_fips,query_name,query_state,window,variant,k,query_peak,query_mean,query_oof_peak,query_oof_mean,neighbors_low_count,neighbors_moderate_count,neighbors_high_count,neighbors_ge010_count,neighbor_peak_median,neighbor_peak_max,neighbor_mean_median,pool_high_fraction,pool_peak_max,query_above_all_matched_peaks,nearest_low_rank_in_full_ranking,excluded_fold,candidate_count,nearest_distance,fifth_distance,nearest_distance_percentile,fifth_distance_percentile,reference_d5_q95,is_focus
42053,Forest County,PA,early,context,5,0.5447,0.2354739130434782,0.09308727001033404,0.06266737705498235,0,2,3,3,0.1,0.1714,0.04628695652173913,0.21465968586387435,0.5087,True,13.0,3,191,1.8548065140576857,2.104133089893948,1.0,1.0,1.0205264624893728,True
42053,Forest County,PA,early,context,10,0.5447,0.2354739130434782,0.09308727001033404,0.06266737705498235,0,4,6,4,0.061950000000000005,0.1714,0.030289130434782607,0.21465968586387435,0.5087,True,13.0,3,191,1.8548065140576857,2.104133089893948,1.0,1.0,1.0205264624893728,True
42053,Forest County,PA,early,context_dem,5,0.5447,0.2354739130434782,0.09308727001033404,0.06266737705498235,0,1,4,3,0.1,0.1714,0.04628695652173913,0.21465968586387435,0.5087,True,11.0,3,191,1.7126833213049506,1.9448494673005543,1.0,1.0,0.9854336863357268,True
42053,Forest County,PA,early,context_dem,10,0.5447,0.2354739130434782,0.09308727001033404,0.06266737705498235,0,3,7,5,0.0825,0.1948,0.03925869565217391,0.21465968586387435,0.5087,True,11.0,3,191,1.7126833213049506,1.9448494673005543,1.0,1.0,0.9854336863357268,True
42053,Forest County,PA,early,weather_only,5,0.5447,0.2354739130434782,0.09308727001033404,0.06266737705498235,2,2,1,1,0.0167,0.1714,0.005004347826086957,0.21465968586387435,0.5087,True,2.0,3,191,0.39912845641883155,0.5687528344295113,0.837696335078534,0.7225130890052356,0.8239334884083092,True
42053,Forest County,PA,early,weather_only,10,0.5447,0.2354739130434782,0.09308727001033404,0.06266737705498235,4,3,3,2,0.018099999999999998,0.1714,0.005641304347826087,0.21465968586387435,0.5087,True,2.0,3,191,0.39912845641883155,0.5687528344295113,0.837696335078534,0.7225130890052356,0.8239334884083092,True
42053,Forest County,PA,early,context_rank,5,0.5447,0.2354739130434782,0.09308727001033404,0.06266737705498235,1,1,3,2,0.071,0.1714,0.04628695652173913,0.21465968586387435,0.5087,True,5.0,3,191,0.2588714310458971,0.28034591306111084,1.0,1.0,0.2509425832390556,True
42053,Forest County,PA,early,context_rank,10,0.5447,0.2354739130434782,0.09308727001033404,0.06266737705498235,1,3,6,4,0.0789,0.1948,0.04837826086956522,0.21465968586387435,0.5087,True,5.0,3,191,0.2588714310458971,0.28034591306111084,1.0,1.0,0.2509425832390556,True
42053,Forest County,PA,early,full_cache_rank,5,0.5447,0.2354739130434782,0.09308727001033404,0.06266737705498235,0,2,3,2,0.071,0.1714,0.04628695652173913,0.21465968586387435,0.5087,True,6.0,3,191,0.20832958673610902,0.2782029053148613,0.9267015706806283,0.9842931937172775,0.2611225596726123,True
42053,Forest County,PA,early,full_cache_rank,10,0.5447,0.2354739130434782,0.09308727001033404,0.06266737705498235,3,4,3,2,0.022199999999999998,0.1714,0.006578260869565217,0.21465968586387435,0.5087,True,6.0,3,191,0.20832958673610902,0.2782029053148613,0.9267015706806283,0.9842931937172775,0.2611225596726123,True
39117,Morrow County,OH,early,context,5,0.5087,0.29458260869565217,0.24654275190486313,0.20032125269431933,0,0,5,5,0.2157,0.3293,0.16290000000000002,0.20418848167539266,0.5447,True,18.0,4,191,0.8813824539064072,0.9410502334101538,0.9581151832460733,0.9109947643979057,1.0684133132991014,True
