query_fips,query_name,query_state,window,variant,k,query_peak,query_mean,query_oof_peak,query_oof_mean,neighbors_low_count,neighbors_moderate_count,neighbors_high_count,neighbors_ge010_count,neighbor_peak_median,neighbor_peak_max,neighbor_mean_median,pool_high_fraction,pool_peak_max,query_above_all_matched_peaks,nearest_low_rank_in_full_ranking,excluded_fold,candidate_count,nearest_distance,fifth_distance,nearest_distance_percentile,fifth_distance_percentile,reference_d5_q95,is_focus
18009,Blackford County,IN,early,context,5,0.0675,0.029430434782608695,0.0566166928679765,0.03220430001178927,2,1,2,1,0.0262,0.1808,0.018595652173913044,0.2094240837696335,0.5447,False,2.0,0,191,0.7329301379645883,0.8339400727906443,0.9162303664921466,0.8167539267015707,1.0026659553864583,False
18009,Blackford County,IN,early,context,10,0.0675,0.029430434782608695,0.0566166928679765,0.03220430001178927,4,3,3,2,0.01835,0.1808,0.007991304347826087,0.2094240837696335,0.5447,False,2.0,0,191,0.7329301379645883,0.8339400727906443,0.9162303664921466,0.8167539267015707,1.0026659553864583,False
18069,Huntington County,IN,early,context,5,0.0044,0.002656521739130434,0.0038868859440561176,0.0015814412918413617,5,0,0,0,0.0004,0.0058,5.652173913043478e-05,0.2094240837696335,0.5447,False,1.0,0,191,0.23600767580181045,0.4239929996013845,0.02617801047120419,0.06282722513089005,1.0026659553864583,False
18069,Huntington County,IN,early,context,10,0.0044,0.002656521739130434,0.0038868859440561176,0.0015814412918413617,10,0,0,0,0.00030000000000000003,0.0079,4.3478260869565214e-05,0.2094240837696335,0.5447,False,1.0,0,191,0.23600767580181045,0.4239929996013845,0.02617801047120419,0.06282722513089005,1.0026659553864583,False
18071,Jackson County,IN,early,context,5,0.0002,1.739130434782609e-05,0.0,0.0,5,0,0,0,0.0001,0.0001,4.347826086956522e-06,0.2094240837696335,0.5447,True,1.0,0,191,0.3269907128025321,0.5421170640420183,0.21465968586387435,0.3403141361256545,1.0026659553864583,False
18071,Jackson County,IN,early,context,10,0.0002,1.739130434782609e-05,0.0,0.0,10,0,0,0,0.0001,0.0002,4.347826086956522e-06,0.2094240837696335,0.5447,False,1.0,0,191,0.3269907128025321,0.5421170640420183,0.21465968586387435,0.3403141361256545,1.0026659553864583,False
18091,LaPorte County,IN,early,context,5,0.002,0.0008565217391304349,0.00247906645010525,0.0006944801760796419,4,1,0,0,0.0035,0.0375,0.002395652173913043,0.2094240837696335,0.5447,False,1.0,0,191,0.4593148860717776,0.596941442385425,0.5340314136125655,0.4607329842931937,1.0026659553864583,False
18091,LaPorte County,IN,early,context,10,0.002,0.0008565217391304349,0.00247906645010525,0.0006944801760796419,5,5,0,0,0.008,0.0375,0.0030347826086956527,0.2094240837696335,0.5447,False,1.0,0,191,0.4593148860717776,0.596941442385425,0.5340314136125655,0.4607329842931937,1.0026659553864583,False
18095,Madison County,IN,early,context,5,0.003,0.0020217391304347826,0.004170311980131832,0.0016321926309295148,5,0,0,0,0.0001,0.0004,1.739130434782609e-05,0.2094240837696335,0.5447,True,1.0,0,191,0.39580065939328773,0.506038041701592,0.39267015706806285,0.25654450261780104,1.0026659553864583,False
18095,Madison County,IN,early,context,10,0.003,0.0020217391304347826,0.004170311980131832,0.0016321926309295148,7,3,0,0,0.0004,0.0158,6.73913043478261e-05,0.2094240837696335,0.5447,False,1.0,0,191,0.39580065939328773,0.506038041701592,0.39267015706806285,0.25654450261780104,1.0026659553864583,False
18103,Miami County,IN,early,context,5,0.0088,0.0012391304347826087,0.006404711970188476,0.0027507413663451037,2,3,0,0,0.0152,0.0216,0.008530434782608697,0.2094240837696335,0.5447,False,3.0,0,191,0.5584749350813035,0.6783883747063282,0.7225130890052356,0.6020942408376964,1.0026659553864583,False
18103,Miami County,IN,early,context,10,0.0088,0.0012391304347826087,0.006404711970188476,0.0027507413663451037,6,3,1,0,0.00675,0.0533,0.0024152173913043478,0.2094240837696335,0.5447,False,3.0,0,191,0.5584749350813035,0.6783883747063282,0.7225130890052356,0.6020942408376964,1.0026659553864583,False
18125,Pike County,IN,early,context,5,0.0013,9.565217391304347e-05,0.0,0.0,5,0,0,0,0.0001,0.0007,8.695652173913044e-06,0.2094240837696335,0.5447,True,1.0,0,191,0.40233986773595404,0.4776198237780711,0.41361256544502617,0.193717277486911,1.0026659553864583,False
18125,Pike County,IN,early,context,10,0.0013,9.565217391304347e-05,0.0,0.0,10,0,0,0,0.0001,0.0007,6.521739130434784e-06,0.2094240837696335,0.5447,True,1.0,0,191,0.40233986773595404,0.4776198237780711,0.41361256544502617,0.193717277486911,1.0026659553864583,False
18135,Randolph County,IN,early,context,5,0.0231,0.006786956521739131,0.01696158361761187,0.011613315434259886,2,3,0,0,0.0119,0.027,0.008517391304347827,0.2094240837696335,0.5447,False,3.0,0,191,0.43395909792744053,0.5120864175120708,0.4712041884816754,0.2617801047120419,1.0026659553864583,False
18135,Randolph County,IN,early,context,10,0.0231,0.006786956521739131,0.01696158361761187,0.011613315434259886,6,4,0,0,0.00685,0.027,0.0027434782608695657,0.2094240837696335,0.5447,False,3.0,0,191,0.43395909792744053,0.5120864175120708,0.4712041884816754,0.2617801047120419,1.0026659553864583,False
18137,Ripley County,IN,early,context,5,0.0,0.0,0.0010402610664217368,4.5228742018336384e-05,5,0,0,0,0.0002,0.0041,3.0434782608695646e-05,0.2094240837696335,0.5447,False,1.0,0,191,0.31234911072717214,0.4302848298835483,0.16230366492146597,0.07853403141361257,1.0026659553864583,False
