domain,space,case,horizon,n,rmse,mae,sse,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction,ci_low,ci_high,replicates,bootstrap_seed,unit
OSI,v18_rule,AB_P06,osi_target_t01h,34177,0.010853078422434704,0.0032389658650502882,4.025685290369706,-0.0001206261886411442,0.010991492021847564,-0.00013841359941286005,-1.2592794421152131,0.10333708583114998,-0.000276202885600078,-3.5447809342229006e-05,2000,20260910,county_full_trajectory
OSI,v18_rule,AB_P06,osi_target_t06h,32982,0.009923105829220319,0.003112572987423417,3.2476725423035444,-0.00010472637115503994,0.01007974033020953,-0.00015663450098921117,-1.553953731523905,0.10333708583114953,-0.00030063325336132315,-4.2162930774560095e-05,2000,20260910,county_full_trajectory
P,component_clipped,AB_P06,osi_target_t06h,32982,0.016247431187159732,0.005153770877592177,8.706556043625927,0.00015903789504835344,0.0167042692272652,-0.00045683804010546863,-2.7348579808555984,0.4964975131462186,-0.0012654178655967913,0.0003150364241670695,2000,20260910,county_full_trajectory
P,aligned,AB_P06,osi_target_t06h,32982,0.01570824624527064,0.004887397269315959,8.138275521366115,6.378545417664188e-05,0.01567935700916176,2.8889236108879668e-05,0.1842501327828705,-0.0299068863333396,-0.00038986098569282425,0.0006050192995911387,2000,20260910,county_full_trajectory
OSI,v18_rule,AB_P06,osi_target_t24h,28680,0.008492701524253245,0.0028144565793908724,2.0685730828839315,-8.299437331765771e-05,0.008492701524253245,0.0,0.0,0.0,0.0,0.0,2000,20260910,county_full_trajectory
OSI,v18_rule,AB_P06,osi_target_t48h,22944,0.007691202257793633,0.0022350036403240283,1.357242962755131,-0.0001565905410230873,0.007691202257793633,0.0,0.0,0.0,0.0,0.0,2000,20260910,county_full_trajectory
OSI,v18_rule,AB_P24,osi_target_t01h,34177,0.011022762560311164,0.003319833374475841,4.152549740793512,-8.644491829767496e-05,0.010991492021847564,3.1270538463600006e-05,0.28449766784568453,-0.02352736459265614,-4.0292223209182494e-05,0.00010203882799722447,2000,20260910,county_full_trajectory
OSI,v18_rule,AB_P24,osi_target_t06h,32982,0.010115063255410069,0.0031963704790745335,3.3745369927273514,-6.930664898753196e-05,0.01007974033020953,3.5322925200538535e-05,0.35043487275832064,-0.023527364592657474,-4.5479974293914565e-05,0.00010872663963148989,2000,20260910,county_full_trajectory
OSI,v18_rule,AB_P24,osi_target_t24h,28680,0.00872476499169468,0.002898741590466887,2.183165312917435,2.806063791418616e-06,0.008492701524253245,0.00023206346744143562,2.7325046898058813,-0.11459223003350338,-0.00013868113708837685,0.0005600927731138743,2000,20260910,county_full_trajectory
P,component_clipped,AB_P24,osi_target_t24h,28680,0.014641207975706252,0.004753011861400768,6.147987367932523,0.0003012027998606925,0.01363012843468114,0.0010110795410251117,7.417975156070233,-0.8198054630680156,0.00012296998362608955,0.001971419883656241,2000,20260910,county_full_trajectory
P,aligned,AB_P24,osi_target_t24h,28680,0.013628690165220555,0.004356477369337287,5.327057490369539,0.00018294398509033079,0.013411932285436487,0.00021675787978406823,1.616156980000838,-0.16810116596598768,-4.57211077177176e-05,0.00047464235747443276,2000,20260910,county_full_trajectory
OSI,v18_rule,AB_P24,osi_target_t48h,22944,0.007691202257793633,0.0022350036403240283,1.357242962755131,-0.0001565905410230873,0.007691202257793633,0.0,0.0,0.0,0.0,0.0,2000,20260910,county_full_trajectory
OSI,v18_rule,AB_P48,osi_target_t01h,34177,0.011023872246364013,0.0033120388687559368,4.153385875738097,-0.0001005458265308517,0.010991492021847564,3.238022451644909e-05,0.2945935315431969,-0.02436349953724104,-9.136344812794373e-06,8.18676377741587e-05,2000,20260910,county_full_trajectory
OSI,v18_rule,AB_P48,osi_target_t06h,32982,0.01011631632124386,0.003188293563727097,3.375373127671936,-8.391845969292516e-05,0.01007974033020953,3.657599103432975e-05,0.3628664016741556,-0.02436349953724193,-1.0535207395624603e-05,8.756181560996487e-05,2000,20260910,county_full_trajectory
OSI,v18_rule,AB_P48,osi_target_t24h,28680,0.008492701524253245,0.0028144565793908724,2.0685730828839315,-8.299437331765771e-05,0.008492701524253245,0.0,0.0,0.0,0.0,0.0,2000,20260910,county_full_trajectory
OSI,v18_rule,AB_P48,osi_target_t48h,22944,0.00799463177099171,0.0022928932572510146,1.4664459628556408,-0.00013584611341555268,0.007691202257793633,0.00030342951319807694,3.9451506153099336,-0.10920300010050976,-5.759505131259887e-05,0.0005790022222703839,2000,20260910,county_full_trajectory
P,component_clipped,AB_P48,osi_target_t48h,22944,0.01330628101036137,0.003736474761974671,4.0623984311118875,8.525534046408594e-05,0.01234645607437439,0.0009598249359869786,7.774092664364929,-0.5649303051387942,0.00014277424073463034,0.0015926895703010867,2000,20260910,county_full_trajectory
P,aligned,AB_P48,osi_target_t48h,22944,0.01253846754369878,0.0035244249620045493,3.6070989344936324,0.00010153000915403698,0.012349986900148224,0.00018848064355055615,1.5261606759137125,-0.10763011839577441,-2.527600230102338e-05,0.0003542517849220733,2000,20260910,county_full_trajectory
