case,horizon,space,P71_group,n,rmse,mae,sse,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
B0,osi_target_t48h,aligned,0<p<.01,8352,0.011823894218750448,0.0031131989064375944,1.1676469709922646,-0.00023803077386258482,0.011823894218750448,0.0,0.0,0.0
B0,osi_target_t48h,aligned,.01<=p<.1,5856,0.011596485250460446,0.0034122398506580723,0.7875059212812429,0.0009297052379605238,0.011596485250460446,0.0,0.0,0.0
B0,osi_target_t48h,aligned,.1<=p<.5,3456,0.00871102595542918,0.003799598414185593,0.26224809936593185,0.0007049356486142952,0.00871102595542918,0.0,0.0,0.0
B0,osi_target_t48h,aligned,.5<=p<=1,192,0.0067575273413088225,0.004386313385247417,0.008767521747558966,-0.0014595940864016582,0.0067575273413088225,0.0,0.0,0.0
AB_P06,osi_target_t01h,component_clipped,p=0,7579,0.015801984222593383,0.003830069040133475,1.8924968040074925,-0.00047086896137930396,0.015801984222593383,0.0,0.0,0.0
AB_P06,osi_target_t01h,component_clipped,0<p<.01,12441,0.011914002929454506,0.003158726775266141,1.7659186580557518,-0.0002871476903313053,0.011914002929454506,0.0,0.0,0.0
AB_P06,osi_target_t01h,component_clipped,.01<=p<.1,8723,0.013718099875019143,0.0051264517298555985,1.6415487824508652,0.001020011575014584,0.013718099875019143,0.0,0.0,0.0
AB_P06,osi_target_t01h,component_clipped,.1<=p<.5,5148,0.031505862123289055,0.011438188630750095,5.110004404181992,-0.0004728526327843452,0.031505862123289055,0.0,0.0,0.0
AB_P06,osi_target_t01h,component_clipped,.5<=p<=1,286,0.041544205317156566,0.02256253956635589,0.49361340469414117,0.005626361763222023,0.041544205317156566,0.0,0.0,0.0
AB_P06,osi_target_t01h,aligned,p=0,7579,0.015210819424871198,0.003842838027578455,1.7535458599987992,-0.00029754682863678087,0.015258361457521616,-4.75420326504182e-05,-0.3115801967516152,0.01097868771916155
AB_P06,osi_target_t01h,aligned,0<p<.01,12441,0.011683469848111621,0.0031548412434276693,1.698239641552855,-0.0001530013643805243,0.011615384395314989,6.80854527966325e-05,0.5861661610105262,-0.01973532054067295
AB_P06,osi_target_t01h,aligned,.01<=p<.1,8723,0.013377881664377334,0.0050188416327283415,1.5611354025969242,0.0009803330736394746,0.013683402443192647,-0.0003055207788153127,-2.2327836960412295,0.07211988503341371
AB_P06,osi_target_t01h,aligned,.1<=p<.5,5148,0.031428953159886794,0.011166063306705689,5.08508678994729,-0.0009631512588561814,0.03189354025390013,-0.00046458709401333426,-1.4566808523444497,0.15144805035766673
AB_P06,osi_target_t01h,aligned,.5<=p<=1,286,0.03679345763946033,0.019617501171808265,0.38717493816909376,0.005242575048523857,0.022318165738020267,0.01447529190144006,64.85878844774673,-0.24471818890290764
AB_P06,osi_target_t06h,component_clipped,p=0,7314,0.015775061320538034,0.004079874028217525,1.8201076214025012,-0.0004136654919375862,0.01600317238221829,-0.00022811106168025772,-1.4254115136178913,0.05301894191908696
AB_P06,osi_target_t06h,component_clipped,0<p<.01,12006,0.012352394183462033,0.0032717054071809996,1.831895194615902,-0.00027623979103991793,0.012118788557097153,0.00023360562636487968,1.927631836006194,-0.06863357129980541
AB_P06,osi_target_t06h,component_clipped,.01<=p<.1,8418,0.012784073514614904,0.004895445610178548,1.3757750849087447,0.0011399088691173911,0.013875215200713088,-0.0010911416860981838,-7.863962254380796,0.2448717175100814
AB_P06,osi_target_t06h,component_clipped,.1<=p<.5,4968,0.025314590866833346,0.010796426624175485,3.1836360414316465,8.700686265988364e-06,0.02710828102971857,-0.0017936901628852232,-6.616760985024528,0.46714297568699337
AB_P06,osi_target_t06h,component_clipped,.5<=p<=1,276,0.04235555595825761,0.021793002566522824,0.49514210126713326,0.007059762043992501,0.03270639871119677,0.009649157247060836,29.50235313971612,-0.19990255067013962
AB_P06,osi_target_t06h,aligned,p=0,7314,0.015453259594168363,0.0039274491392104335,1.7466068394679093,-0.0003617858188013854,0.01550175097146026,-4.849137729189684e-05,-0.3128122583130888,0.010978687719161329
AB_P06,osi_target_t06h,aligned,0<p<.01,12006,0.01183341050564554,0.003165471973099599,1.6811954279666375,-0.00022358251669334138,0.011763750084226613,6.96604214189267e-05,0.5921616909588368,-0.01973532054067295
AB_P06,osi_target_t06h,aligned,.01<=p<.1,8418,0.01254929430557582,0.004661944638514379,1.325706941747068,0.0010053385614438505,0.012886121587861645,-0.00033682728228582454,-2.613876331906617,0.07211988503341371
AB_P06,osi_target_t06h,aligned,.1<=p<.5,4968,0.024654703876121547,0.010062180307625561,3.0198207745531978,-0.0004668859672725207,0.02526537423924385,-0.0006106703631223037,-2.4170248077060696,0.15144805035766673
AB_P06,osi_target_t06h,aligned,.5<=p<=1,276,0.03636298173545622,0.01895998365239953,0.3649455376313019,0.004676646735373697,0.02087118434522687,0.01549179739022935,74.22577048806644,-0.24471818890290759
AB_P06,osi_target_t24h,component_clipped,p=0,6360,0.015471878031553497,0.004425016103498078,1.5224505024759827,-0.00018127263799395412,0.015471878031553497,0.0,0.0,0.0
AB_P06,osi_target_t24h,component_clipped,0<p<.01,10440,0.012614773398161382,0.003447170890607934,1.6613433823398627,-0.0002739953543550755,0.012614773398161382,0.0,0.0,0.0
AB_P06,osi_target_t24h,component_clipped,.01<=p<.1,7320,0.012386829927381937,0.004085479302080477,1.1231336273571566,0.0008049739554067755,0.012386829927381937,0.0,0.0,0.0
AB_P06,osi_target_t24h,component_clipped,.1<=p<.5,4320,0.014852721592596976,0.006866775120785665,0.9530064232150887,0.00016856933256543722,0.014852721592596976,0.0,0.0,0.0
AB_P06,osi_target_t24h,component_clipped,.5<=p<=1,240,0.01686317109813775,0.009898314909437012,0.06824796947641643,-0.003020038273807508,0.01686317109813775,0.0,0.0,0.0
AB_P06,osi_target_t24h,aligned,p=0,6360,0.015730271752918162,0.004214175195954267,1.573727618315366,-0.00039450172472688317,0.01580211125919468,-7.183950627651786e-05,-0.45461967137281345,0.014407122461705946
AB_P06,osi_target_t24h,aligned,0<p<.01,10440,0.012560423372948465,0.003349546439328938,1.6470586166124934,-0.0003528389104012342,0.012485840774709338,7.458259823912676e-05,0.5973374127131059,-0.01950208136393705
AB_P06,osi_target_t24h,aligned,.01<=p<.1,7320,0.012305047626049245,0.004012109672148964,1.1083519226207699,0.0008560825018197674,0.012351257307499154,-4.6209681449908835e-05,-0.37412937241499966,0.008340115175925478
AB_P06,osi_target_t24h,aligned,.1<=p<.5,4320,0.012747113393359611,0.00640898704181226,0.7019520474088856,0.0007401045430672998,0.013110176138693475,-0.00036306274533386314,-2.769320118150942,0.04055537602540693
AB_P06,osi_target_t24h,aligned,.5<=p<=1,240,0.02407842248883497,0.012883935190214675,0.13914490309220007,-0.0011058999487900262,0.018715589218052903,0.005362833270782068,28.654365130054906,-0.05507931594526452
AB_P06,osi_target_t48h,component_clipped,p=0,5088,0.01578495889674735,0.0039359960949824566,1.2677511504687535,-0.0006659270758382052,0.01578495889674735,0.0,0.0,0.0
AB_P06,osi_target_t48h,component_clipped,0<p<.01,8352,0.011597304138948545,0.0032184386315769614,1.1233228134087125,-6.739328737993277e-05,0.011597304138948545,0.0,0.0,0.0
AB_P06,osi_target_t48h,component_clipped,.01<=p<.1,5856,0.011819436195316968,0.003306045506210644,0.8180777654865887,0.000675549432019518,0.011819436195316968,0.0,0.0,0.0
AB_P06,osi_target_t48h,component_clipped,.1<=p<.5,3456,0.008954253481607003,0.003685351466003394,0.2770974331068826,0.00018540188578526834,0.008954253481607003,0.0,0.0,0.0
AB_P06,osi_target_t48h,component_clipped,.5<=p<=1,192,0.007644089322720343,0.004868432856129282,0.011218963502155612,-0.003147953325415167,0.007644089322720343,0.0,0.0,0.0
